Topic,Count,Name,Representation,Representative_Docs
16,35,16_台湾_協会_統一_解散,"['台湾', '協会', '統一', '解散', '朝鮮', '統一教会', '命令', '判断', '韓国', '禁止']","['家庭 教会 とか 何とか 言い ながら 二 世 問題 で 家庭 が まとまら ず 仲たがい に なる し 、 統一教会 と いい ながら 、 他 教 と 統一 する こと も 当然 に なく 、 自分 の ところ の 朝鮮半島 すら 統一 でき て い ない 。   口 だけ の え せ 団体 だって こと は 言動 を 見れ ば わかる 。 金 の 問題 と 男女 問題 を 引っ提げ て 彼ら は 分派 ともども 地獄 に しか 行か ない よ 。 神 とか 氏族 メシア とか いっ て も 、 しょせん 韓国 や 北朝鮮 民族 の それ で しか ない から 、 大した こと ない ん だ よ ね 。   何 が 世界 だ 、 宇宙 だ 霊界 だ だ よ ｗ ｗ 。 近親 相関 で 異常 に なっ た 遺伝子 もっ て いろいろ と やる の は 朝鮮半島 だけ に し て ください 。', 'ロシア で は   統一 協会 は   カルト 宗教 と 認定 さ れ て い て   禁止 さ れ て い ます   中国 で も 同様 で   統一 協会 は 禁止 さ れ て い ます   フランス で も 禁止 さ れ て い ます   欧州 の ほとんど の 国 で   統一 協会 は 禁止 さ れ て いる はず です   米国 において は 大量 の 献金 によって なぜ か   統一教会 は 活動 でき て い ます', 'キリスト 教 は 異端 で ある 統一 協会 （ 現 ・ 世界 平和 統一 家庭 連合 ） を 、 「 あんな もの は 異端 に も 入ら ない 」 、 カトリック は 「 あんな ところ は キリスト教 で も エキュメニズム の 対象 で も 何 で も ない 」 と 言っ て 、 解体 しよ う と し て い ます 。 哀れ 統一 協会 は キリスト教 の 強大 な 力 に 敵 う はず も なく 解体 する でしょ う 。   文 鮮明 も 暗殺 さ れ まし た 。 安倍 晋 三 も 暗殺 さ れ まし た 。   統一 協会 から は さっさと 脱会 し た ほう が 良い でしょ う 。   統一 協会 は 、 「 基督教 」 という 言葉 を 使う な 、 「 教会 」 という 言葉 を 使う な と 、 基督教 から 言わ れ て 、 名前 を 、 旧称 ・ 世界 基督教 統一 神霊 教会 から 、 世界 平和 統一 家庭 連合 に 変更 さ せ られ まし た 。 まだ 悪 さ が 止まら ん ので 、 日本 で は 、 2025 年 3 月 25 日 、 東京 地方裁判所 は 日本 の 統一教会 に対し 、 過去 の 問題 行為 （ いわゆる 霊感 商法 など ） によって 、 公益 に 反する 活動 と 判断 し 、 解散 命令 を 出し まし た 。 これ により 、 宗教 法人 として の 地位 が 剥奪 さ れ 、 免税 特権 も 撤廃 さ れる こと に なり まし た   そして 、 本場 、 韓国 で も 、 カトリック で は 、 「 日本 ・ 韓国 に 於け る オブ レート 会 （ オブ レート 会 と は カトリック 最強 の 教派 ） が 担当 し て い て 、 解体 が 進ん で い ます 。   日本 で は 、 どんどん 統一 協会 の 信徒 の 殺害 が 進行 中 です 。   統一 協会 の 信徒 へ 、 逃げ て ください 、 統一 協会 から 脱退 し て ください 。   殺さ れ ます よ 。']"
17,34,17_kill_あ_肉_お前,"['kill', 'あ', '肉', 'お前', '白人', 'amy', '阿弥陀', '天使', '属', '悪魔']","['onward christian soldiers marching as to war, (kill!! kill! kill!!) with the cross of jesus going on before, (kill!! kill! kill!!), christ the royal master, (kill! kill! kill!) leads against the foe, (kill! kill! kill!), forward into battle, (kill! kill! kill!)\n\nonward then ye people, join our happy throng, (kill!! kill! kill!!), blend with us your voices, in our trumpsters song, (kill!! kill! kill!!).', '共存 不可 な のに いつ まで やる ん だ こんな こと 。 。   イエス お前 ・ ・ ・ 責任 とれ よ 。   俺 様 、 お前 とか ヤクザ 基本 的 に 嫌い だ から エロ い 人 lilith と lilin 。   恫喝 か よ 山口組 の lilin 。   殺し ます よ ジェノサイド 。   しばらく 付き合えよ 木山 と 前川 、 馬場 くん ならびに ヒット マン たち 。   肉 に さ れる ぞ こいつ ら と 付き合っ て いる と amy 属 。   性癖 悪い の は 実は こいつ ら だっ た 阿弥陀 から の ・ ・ ・ ・ 。   まあ 、 こいつ ら の 中 でも 独立 し たい やつ も いる だろ う に 棲み 分け 。   安易 に 受け入れ ない ほう が いい 案件 。 。   どこ で キャッチ さ れる か わから ん ぞ よ 上級 天使 の 阿弥陀 と 素 戔嗚 & barvert & satan と jesus & japhkiel ＆ エンリル 。   窓口 ・ ・ ・ ・ すなわち 仕掛け て くる の barverit らしい お ブリ テン の クソジジイ 。 。   生き て ゆけ ない の は 無能 な 証拠 amy 属 すなわち 阿弥陀 と その 配下 の 天使 たち 。 。 。   いつ まで 神様 ごっこ を ・ ・ ・ イエス よ 。   精神 疾患 を 見直せ 阿弥陀 の 。', '結果 、 白人 女 は 大体 が 安産 型 故に 子供 作っ て 愛 を 語る スルッ と お産 ・ ・ ・ 。   そして 、 うん この よう に 公衆 便所 で 赤ちゃん 産ん で 流し ちゃっ た ぜ こら あ それ 殺人 罪 。   そう なら ない で なんとか 蘊蓄 垂れ流し て 中絶 許可 しろ 恫喝 バチカン と 法曹界 と 議会 へ 猛 アピール デモ 。   だって だって だって ！ ！ ！   でも ？   てめえ この やろ う ・ ・ ・   性癖 。   だっ たら ケツアナ で 遊ん だ る わ ！ ！   結果 、 ホモ 量産 。 w   この 馬鹿 っ たれ ！ ！ 白人 を 頂点 に 堕天使 。 ヤフェト 。   金髪 なら 何 やっ て も 許さ れる の か 恫喝 という 侵略 戦争 植民 地 化 。   こんな 女 連中 の ご 要望 答える 必要 ない ん じゃ ね 肉 。   性欲 処理 と 肉 と 奴隷 ＝ 愛 だって さ ・ ・ ・ 主観 的 。   これ が 愛 の 教え な の か 聖書 。 japhkiel & jesus とき たら エンリル 貴様 。 。 。   かつて 智 天使 barberit ＝ satan は 愛 の 天使 だっ た とか ・ ・ ・ 悪魔 。   悪魔 は 恋煩い ・ ・ ・ 病気 じゃ ね お前 ら amy 属 と 上位 天使 の 堕天使 ども 。   トカゲ 野郎 に 騙さ れ た 人類 と 天使 たち 。   ザーメン 臭え ぞ ！ ！ お前 。']"
18,31,18_母親_山上_壺_とか,"['母親', '山上', '壺', 'とか', '家族', '兄', '母', '統一教会', '自殺', '自分']","['>> 173   母親 が 渡そ う と し た が 山上 が 受けとら なかっ た ん だ よ   山上 は 母親 に 非常 に 冷たく   母親 から の 連絡 は 無視 し 続け   正月 に 母親 が おせ ち を 届け て も ガン 無視 だっ た   いくら 母親 が 嫌い でも 40 すぎ た 男 の 態度 として は どう か と 思う   そんなに 母親 が 憎い なら 母親 を 殺せよ   母親 を 愛し て た なら 母親 を 洗脳 し た 統一教会 に 憎悪 が 向かう の も 理解 できる が', '壺 が 捏造 歴史 観 捏造 戦争 責任 に 基づき 日本 から 金銭 巻き上げ 永久 機関 構築 目的 の   ウリストゴミカスカルト と は いえ   山上 愚母 に 壺 が 強制 し た とか 人質 に 取っ た とか 脅迫 恐喝 し た って の とか 、   詐欺 っ た とか 認知 症 の 人間 を 誑かし て とか そういう の で も なく   いくら 壺 が 教義 や 体質 諸々 で 何もかも が クソ 粕 で も 、 山上 愚母 は 精神 的 に 依存 し 極度 の 浪費 で   自ら へ の 遺産 や 夫 の 死亡 保険 金 という 、 子供 や 家族 に 本来 使う はず の 金 を 注ぎ込ん で 壺 に 献金 し て   自ら の 欲求 を 満たし て い た という 事実 は 変わら ず   家族 が いくら 止め たり 、 壺 から 返金 さ せ て も 一向に 懲り ず 家族 を 蔑ろ に し て の 所業 だ し なぁ …   壺 は 徹底的 に 活動 禁止 し て 取り締まれ 、 海外 流出 し た 金 を 取り戻せ 、 教祖 ババア や 朝鮮 人 幹部 を 指名 手配 し   日本 へ の 身柄 引き渡し て 逮捕 しろ   破防法 強化 し て 反 社 団体 認定 しろ と まで 思う けど   ただ 、 結局 の ところ 暴走 し て 家族 すら 止め られ ない 浪費 に 明け暮れ た 個人 が 元凶 な わけ で   脱会 し たり 反省 し て 無茶苦茶 し ない よう に 本人 が 自省 し たり し ない と   いくら 家族 や 周囲 が 返金 さ せ て も 一時しのぎ で 元の木阿弥 で 際限 が なく 、 肝心 な 問題 は 解決 し ない わけ で …   と なる と どうしても 極度 の 浪費 し て しまう 対象 者 の 大人 の 個人 の 金銭 や 行動 の 大幅 な 制限 という   個人 の 権利 の 領域 へ の 強制 力 の 何かしら の 行使 、 に 踏み込ま ざる を 得 なく なっ て しまう わけ で …   その あたり どこ まで やりゃ ー いい ん だろ う ね ？   水商売 系 とか ロマンス 詐欺 とか 博打 や 投資 で の 浪費 の ケース に もっ て なる し   誰 が どの よう に どの 範囲 で とか 、 いろいろ 面倒くさい こと に なっ て くる わ なぁ …', '勿論 言わずもがな で 壺 は 超 汚染 銭 ゲバクソカルト な の は 間違い ない し   取り 潰し て 今後 全面 活動 禁止 しろ って 個人 的 見解 で は ある が ｗ   山上 による 暗殺 なんて もってのほか だ けど   ただ 、 山上 愚母 って 山上 の 伯父 が 弁護士 で 壺 から 寄付 を 返還 さ せ て も   一向に 懲り ず 戻っ た 額 を また 性懲り も なく 寄進 し て 元の木阿弥 状態 だっ た と いう し   宗教 法人 へ の 寄進 寄付 額 の 制限 は 必要 だ けど 、 ここ まで 無自覚 で 感覚 が ぶっ 壊れ てる と   果たして それ で 済む もの か … ？ そりゃ 壺 の 教義 や 体質 が 銭 金 至上 主義 で 腐り きっ てる から 潰す こと に 全く 異論 も 躊躇 も ない が ｗ   でも さあ ， 壺 が 他 の 件 の よう に 程なく し て 痴呆 症 と 診断 さ れ た 老女 に 漬け込ん で 誑かし て とか   脅迫 強要 や 監禁 や 身 の 危険 が 及ぶ とか 諸々 の 壺 による 犯罪 行為 による もの なら まだしも   と なる と まあ 、 宗教 法人 へ の 個人 へ の 寄進 寄付 額 の 制限 とか   家族 の 共有 財産 とか に対する 無断 処分 使用 の 制限 とか その あたり も 求め られ て くる けど   結局 の ところ 山上 愚母 が 自己 の 欲求 や 精神 的 充足 快楽 を 満たす 目的 という 結局 は 浪費 目的 の 何 物 で も ない って の が 元凶 だ し   本人 が 自覚 し て 反省 し 脱会 と 今後 の 改善 克服 を 強く 決意 し 努力 し ない 限り   そう なる と どうしても 個人 の 権利 とか の 大幅 な 制限 が 不可欠 で 不可避 と なる わな   本人 が 納得 し た 上 で なら いい けど 、 まず 強く 拒否 る だろ う し   そう なっ たら 家族 親族 が 申し立て て 後見人 制度 的 に する に し て も   医療 、 司法 、 行政 の 認定 が 不可欠 だ し 、 ふん縛っ て 強制 的 に 連れ て 行っ て 医療 機関 で も 果たして 認定 出る か どう か ？   壺 とか の カルト のみ なら まだしも 、 改名 し てる し トンネル や ダミー 的 に マネ ロン し て も 抜け 道 たくさん ある だろ う し   全般 的 に 資産 の 凍結 とか 使い道 や 額 の 大幅 制限 を 課し たり の 範囲 は どの 程度 か   認定 とか は どこ が し て 、 後見人 的 に する に は 管理 とか は 誰 が する の か とか   結構 それ は それ で 特例 に する と 面倒くさい こと に なっ て はき そう で は ある   カルト の みっ て だけ じゃ なく 、 他 の 浪費 系 とか 博打 や 投資 大損 とか そういう の に も 適用 しろ って なる かも   壺 に関して は 、 まあ 強化 変則 破防法 的 に 反 社 組織 認定 すりゃ 、 反 社 に 資金 流入 禁止 なっ て ストップ は かけ やすく なる だろ う けど ｗ']"
19,30,19_prison_钱_thousand_集め,"['prison', '钱', 'thousand', '集め', 'ministry', '教堂', '資金', 'religions', '海外', '信徒']","['>> 529   グローバル 化 だろ う ね   キリスト 教 に しろ イスラム教 に しろ 仏教 に しろ 最初 は 属地 的 な もの が 長い 時間 かけ て 世界 宗教 に なっ て こ れ た もの だ けど   近代 資本 主義 に なっ て 資金 が あれ ば 即 広範囲 化 し て 世界 宗教 を 模倣 し た 宗教 詐欺 が できる よう に なっ た   グローバル 化 で 敵 の 敵 は 味方 という 理屈 で 資金 が 舞い込ん で くる から 安心 し て 詐欺 が できる こと に なる 。 政治 も 後押し し て くれる   キリスト 以前 の 小さい 宗教 は 弾圧 さ れ たり 吸収 さ れ たり で 消え て いっ た よ', ""i lived in pohnpei in the early 60s and there was one catholic and one new england protestant church on the island. five years later there were seven day, jehovah, mormon, baptist, unitarian and three or four others all fighting for a slice of the pie. it seemed that whichever church had the best bbq or singing group on friday got the largest crowd. it also began animosity that wasn't present before. one island, kosrae, has introduced ordinances to ban any religion not based on christianity. all these religions target poor, contented, isolated areas because they dont want to confront the reality of inner cities worldwide. it is reported that the mormon church spends less than two percent of its seven billion in tithes income on helping poor, non mormons. hawaii has about a thousand or so churches with six hundred thousand people claiming a relationship with the christian faith, and seven or eight thousand homeless. go figure."", 'i was interested in doing prison ministry at a church i attended. pastor said, ""oh, we have a prison ministry writing letters to prisoners."" i wrote letters to prisoners 20 years ago.  total negativity from him for working outside the established parameters. basically, i ignored his counsel, got a pass into the prison, and eventually baptized 8 inmates into the body of christ.\n\nthis particular pastor hated dr.ford but the prison chaplain, a baptist loved him. he didn\'t like the amazing facts brand of adventism. when he interviewed me, i said i was a vegeburger eating, sabbath keeping legalist who had learned the gospel. ""come on, you are welcome, he said. he was a former jw.\n\nthat church talked about gifts, small groups, etc. but bottom line was near absolute control by the pastoral staff. church members wanted to have a meeting about prison ministry and hear my experience but the pastors wouldn\'t allow it. ""my way or the highway"" was their motto.']"
20,30,20_women_priests_men_male,"['women', 'priests', 'men', 'male', 'priesthood', 'exercise', 'leadership', 'ordained', 'theology', 'married']","[""i sincerely hope that in some future century, (if we survive the present political and environmental dangers), the institutional church will be honest enough and brave enough to acknowledge the courage and foresight these pioneering women showed in the earliest stages of breaking down this mysogynistic barrier.  i hope the female pope of that day will lead a universal ritual of apology for the institutional oppression of all women and in particular those women denied consideration of ordination. i hope for equality, the freedom for women to serve as minister and leader, and for women's influence and wisdom in theology and scriptural interpretation.  women's place is not a step behind men's but equal before god in common humanity and in christian baptism."", '""god calls men and women to the priesthood.""\nif this is true, then the same god calls men and women for pregnancy. do you agree ? what is the difference ? pregnancy is the in born nature of womanhood;  so is male priests to catholics. why to change this ? any pressing need?\n\ninstead of such meaning less requests, catholic women should be demanding for holy sacraments like confession to be administered by women. there you have a point..', ""um, actually it has everything to do with it.\n\nyou see, women exercise motherhood.  pregnancy is the quintessential aspect of being a mother.  it is true that not every women can or will become pregnant.   getting pregnant however is part of the female nature.  it is not part of the male nature.  this is because males exercise fatherhood, not motherhood.\n\nwomen cannot be priests because of what the priesthood is at it's core: fatherhood.  you will notice that many of the debates about women's ordination are as much about what the priesthood is as who can exercise it.  it is not a coincidence that those who support women's ordination also tend to take a very protestant notion in their theology of ministry.  the idea that ordination isn't a sacrament but just a formal commissioning of someone specially trained in theology to represent and act on behalf of the congregation.  indeed--if that is all the priesthood was, there is no reason women cannot get ordained.""]"
21,30,21_プロテスタント_conscience_改革_分派,"['プロテスタント', 'conscience', '改革', '分派', 'meaning', '逃避', '内部', 'catholic', 'teachings', '現実']","['プロテスタント の 連中 が 言う 「 宗教 改革 」   コイツ ら は 何 も 改革 し て い ませ ん 。   教会 から 逃げ出し て 分派 し た だけ です 。   教会 を 内部 から 改善 し た 対抗 宗教 改革 だけ が 本物 の 改革 です 。   プロテスタント は 部外 者 です 。 何 も し て い ませ ん 。', '>> 237   プロテスタント の 矛盾 点   プロテスタント 以前 は どこ が 本物 の キリスト教 だっ た の か ？   初代 教会 から プロテスタント の 時代 まで 空白 だっ た の か 。   ローマ カトリック 教会 が 本物 の キリスト教 の 時代 が あっ た なら ば 、   教会 内部 の 聖人 と 義人 たち が 対抗 宗教 改革 を し た 後 に 帰 正 する べき で は ない か 。   初代 教会 を 自称 する プロテスタント は 、 主 キリスト の 時代 から 一 千 数 百 年 後 に 初代 教会 を 再現 できる の か 。   プロテスタント 牧師 の 数 だけ 聖書 解釈 が 違う の なら それ は 誤っ た 聖書 解釈 で は ない か 。   ルター と は 異なる 福音 派 など は 、 ルター による 分派 の 正当 性 を 認め て い ない の で ない か 。   それ は プロテスタント が 分派 し た 行為 も 正しく ない という 否認 に なら ない か 。', '>> 250   プロテスタント が 初代 教会 を 自称 する なら 、 プロテスタント 以前 は どこ の 教会 が 本物 だっ た の か 。   キリスト の 時代 から 一 千 数 百 年 も 空白 だっ た という こと は ない だろ う 。   分派 元 の ローマ カトリック 教会 に も 正しい 時期 が あっ た と いう なら ば 、   対抗 宗教 改革 で 教会 の 内側 から 改善 し た 聖人 と 義人 たち に こそ 功績 が ある という もの 。   ルター が 正しい 教会 を 作る ため に 分派 し た の なら 、 ルター から 分派 し た 他 の プロテスタント は 偽 の 教会 だろ う 。   ルター と は 異なる プロテスタント 教会 も 偽 の 教会 という こと に なる 。   ユダヤ から 遠く 離れ た 地 の 日本 で 、 二 千 年 後 の 日本 で 、 正しい 教会 が 生まれる と は 思え ない 。   日本 の 単 立 プロテスタント 教会 は 全て 偽 と 考える の が 正しい 論理 。']"
22,28,22_理解_選ば_洗礼_聖霊,"['理解', '選ば', '洗礼', '聖霊', 'knowledge', 'まるで', '引き', '裸', 'mercy', 'すら']","['そりゃ 理解 でき て ない ん だ から さ   全て が 理解 でき ない   イエス の 話 の 全て が   山上 の 説教   守る 意味 が わから ない   自ら 死刑 に なり 復活 する   意味 が わから ない   君たち は その 程度 な ん だ よ   下等 な ん だ よ ね   ようするに   怒り の 子 とか これから も 恥 を 知ら ない 浅い 人生   そういう の を 恥ずかしい と 思っ た ほう が いい よ   俺 は カトリック だ とか 洗礼 受け た とか 言う なら さ   俺 から は 恥 知ら ない 奴 だ なあ と しか 感じ ない', 'キリスト 教 の 精神 と まるで 違う 生き 様 を し ながら   自分 は クリスチャン の つもり な の が 凄い よ な   マジ 頭 が 狂っ て いる   マジ どういう 理解 度 で 生き てる ん だろ な   逃げ た 弟子 に対して イエス は 福音 の 布教 の お 題 を 出し た   弟子 たち は 全員 が 殉教 し た と 噂 さ れ てる   それ を 無職 引き こもり は まるで キリスト 教 の 精神 と は 違う よ', '聖霊 体験 を 知ら ない と   絶対 に 天 から 選ば れ ない のに   マジ で 自称 クリスチャン は 間抜け 揃い で ある   だって 生物 の 進化 な ん だ から さ   魂 の 進化   それ を 想像 でき ない 間抜け   それ を 知識 や 洗礼 やら の 儀式 で 埋め れる と 勘違い し て いる   聖書 の イエス も 聖霊 体験 だ と 語っ てる のに   最低限 の 理解 度 も 無く 知識 人 を 気取る']"
23,28,23_中国_佛教_邪教_信徒,"['中国', '佛教', '邪教', '信徒', '家里', '教义', '教', '指導', '中', '伊斯兰教']","['有人 认为 ， 相比 阿拉伯地区 的 伊斯兰教 和 欧美地区 的 基督教 ， 中国 受 宗教 危害不大 ； 也 有人 认为 ， 中国 人 目前 最 缺乏 的 是 信仰 。 其实不然 ， 当今 中国 最大 的 宗教信仰 ， 一是 中医 教 ， 二是 反转 教 ， 其 教徒 的 信仰 可谓 根深蒂固 ： 除了 选择性 相信 自己 希望 相信 的 观点 ， 对 其他 任何 逻辑 、 证据 ， 基本 可以 不看 、 不 听 、 不 思考 。', '>> 1   自民党 ら 与党 の 政権 は 口 ばかり の 保守 で アメリカ や 欧州 の 言いなり だ から キリスト 教 を 大事 に し て き た   そもそも 与野党 問わ ず 既存 の 政党 が 反日 左翼 政権 と 言っ て も 過言 で は なく 、 日本 の キリスト教 は ds の 管理 下 に ある よう な もの   日本 の キリスト教徒 の 人口 は 他 の 新興 宗教 と 比べ て 少な すぎる から 弾圧 の 対象 に も なり にくい   日本 の キリスト教 は 形骸 化 し て 指導 者 も 形 だけ の 信仰 を 続け て いる から 未 信者 の 日本人 に 向け て 宣教 する 能力 も なく 年々 信者 離れ が 加速 し て いる 。 迷え る 子羊 、 社会 不 適応 者 を 量産 し た カルト 宗教 に なり 果て た   キリスト 教 の 指導 者 だけ で なく 国 の 指導 者 や あらゆる 権威 に 威張り たい だけ の 素人 が 侵入 し 大衆 を 洗脳 し て いい よう に あしらっ て いる', '那 他们 夫妇 信 巴哈伊 教 算不算 邪教   / / @ 袁伯银 : 中   / / @ 张欣 : 胡 主编 说 对 了 一半 ， 确实 在 中国 信教 的 人 增长 很快 ， 是 全世界 第一 。 这 其实 是 反映 了 人类 对 信仰 的 追求 。 但 从 1949 年 以来 中国 没有 允许 新 的 宗教 注册 ， 那时 允许 的 5 个 宗教 是 ： 基督教 ， 天主教 ， 穆斯林 教 （ 回教 ） ， 佛教 ， 道教 。']"
24,27,24_十字架_恶魔_死_罪,"['十字架', '恶魔', '死', '罪', 'reward', '那位', '钉死', '信', '主耶稣', '这话']","['apologies, i missed some people out:\n\n""do not be deceived, neither the immoral, nor idolaters, nor adulterers, nor homosexuals, nor thieves, nor the greedy nor drunkards, nor revilers, nor robbers, will inherit the kingdom of god.""  (1 cor 6:9-10)\n\n""[t]he law is not laid down for the just but for the lawless and disobedient, for the ungodly and sinners, for the unholy and profane, for those who strike their fathers and mothers, for murderers, the sexually immoral, men who practice homosexuality, enslavers, liars, perjurers, and whatever else is contrary to sound doctrine, in accordance with the gospel of the glory of the blessed god with which i have been entrusted."" (1 timothy 1:8-11)', 'matthew 6\n1 “be careful not to practice your righteousness in front of others to be seen by them. if you do, you will have no reward from your father in heaven.\n2 “so when you give to the needy, do not announce it with trumpets, as the hypocrites do in the synagogues and on the streets, to be honored by others. truly i tell you, they have received their reward in full.\n3 but when you give to the needy, do not let your left hand know what your right hand is doing, so that your giving may be in secret.""', '我 可以 提前 将 结论 放在 这 ： 这里 将 “ 死 ” 与 “ 种到 土里 的 种子 ” 联系 到 一块 ， 是因为 人家 5 章后 就 被 犹大 卖 到 犹太人 手里 受辱 挨刑 最后 钉 十字架 ， 是 将 种子 比做 自己 ， 才 挨 上 了 “ 死 ” 字 。 没有 耶稣 以 无罪 者 的 身份 被 犹太人 钉死 ， 就 没有 为 后世 信 耶稣 的 人 所供 的 福音 ， 更 别提 因 信称义 。']"
25,27,25_present_islamic_war_穆斯林,"['present', 'islamic', 'war', '穆斯林', 'give', 'civil', '罗马', 'al', 'iraq', 'death']","['穆斯林 与 基督教 国家 首次 联手 么', ""how so? were the crusades not fought under the banner of the christian church? instigated by the popes?\nthe very first paragraph in wikipedia's entry for each states: \n1) 'the crusades were a series of religious wars sanctioned by the latin church in the medieval period. the most commonly known are the campaigns in the eastern mediterranean aimed at recovering the holy land from islamic rule but the term crusades is also applied to other church-sanctioned campaigns.'\n2) 'the inquisition was a group of institutions within the government system of the catholic church whose aim was to combat heresy.'\n\nfeel free to explain, however, why these church-sanctioned events should not be considered cases of  'christians behaving very badly'."", 'i give you the crusades from 1095 to 1291 ad for length and deaths.  \n\ni give you the islamic jihads of shia vs sunni since the death of muhammed and continuing  in syria on this very day.\n\nsome conflicts fought as jihad since the 1980s include:\niran–iraq war (1980–88, considered a jihad by the islamic republic of iran)[165]\nkashmir conflict (lashkar-e-taiba, 1990–present)\nsomali civil war (1991–present)\nafghan civil war (taliban 1994–present)\neast turkestan irredentism (east turkestan islamic movement, 1997–present)\nchechen war and insurgency in the north caucasus (arab mujahideen in chechnya, 1994–present)\nnigerian sharia conflict (boko haram 2001–present)\niraqi insurgency (islamic state of iraq, 2003–present)\nal-qaeda insurgency in yemen (abyan governorate, 2010–present)\nsyrian civil war (al-nusra front, 2011–present)\n\ni give you northern ireland;  i give you the ""30 -years war"" where ""christians"" fought catholics. from 1618 to 1648.\n\ndeath and religion are inseparable!']"
26,27,26_vote_catholic_abortion_pro,"['vote', 'catholic', 'abortion', 'pro', 'republican', 'issue', 'candidate', 'catholics', 'bishops', 'voting']","[""i believe you do not understand the standards by which the bishops measure political positions.  donald trump has said he is pro-life.  therefore, he is pro-life and pro-catholic, regardless of his current or past actions, or, for that matter, regardless of whether he actually does or doesn't oppose legal abortion.  what matters is that he is a man and he has paid service to the one issue chosen by the bishops to rally the faithful.  the bishops recognize the inherent veracity of trump because he, like them, is a man, and jesus was a man, as was his father.  it is all very clearly based upon the gospel.  we, as laity, particularly those who have the wrong set of chromosomes (you know who you are), should not worry too much about all this, we should simply follow the leaders.  it's what jesus would want us to do.  just ask your local priest."", 'of course--same reasons--why would you even ask?\n\nyou think i would vote for john kerry---who claims to be catholic yet supports abortion?  i would have had more respect for him if he said ""i am pro-abortion.  i know this puts me at odds with the catholic church, but this is who i am.  my political advancement matters more to me than my faith."" \n\nthe democratic party platform on moral issues can\'t be more antithetical to the catholic faith.  what\'s more, they are, in many ways, now openly hostile to the catholic faith--at least a catholic faith of any substance.\n\nbe that as it may. what i said stands: i would vote for a democrat who was pro-life over a republican who is pro-abortion.  that issue is fundamental for me. as i also said: while voting republican is no guarantee of a decent justice, a vote for a democrat is a guarantee for liberal justices.  republican justices often times do not pan out--but democratic appointed justices always pan out for the left.', '""pope francis had it right when asked -- u.s. voters should ponder and pray and then vote their consciences. by placing so much emphasis on a single issue, by essentially making it obligatory to vote according to a candidate\'s or party\'s stance on that one issue, bishops put many catholics in a difficult position as they try to reconcile that issue with the myriad others that have raised themselves this election cycle.""\n\nit is intelligent writing like this that has made me an ncr subscriber for decades.  the republican bishops and their fellow shills among the clergy and laity tell us we have to vote ""pro-life.""  my question is what party is ""pro-life?""  the republican party has ""pro-life"" verbiage in its platform, but when it comes to doing anything to change the law on abortion they do nothing.  in just two years the republicans in the house voted 53 times to overturn obamacare.  how many times did they vote to change the law on abortion?  that\'s right: zero.']"
