text,lang,post_id,source,tokenized_text,topic
"You remind me of the promise of second coming of Jesus--for 2,000 years it's always been just around the corner (""the end is near""). Would you believe that in late middle age I'm just about ready to be both the world's fastest sprinter and the strongest man? I'm close. Don't blink. Get ready.",en,5611676,Jigsaw,"you remind me of the promise of second coming of jesus--for 2,000 years it's always been just around the corner (""the end is near""). would you believe that in late middle age i'm just about ready to be both the world's fastest sprinter and the strongest man? i'm close. don't blink. get ready.",-1
The Church doesn't use sponge cake and orange juice at Mass. Go figure.,en,6227466,Jigsaw,the church doesn't use sponge cake and orange juice at mass. go figure.,42
"Marty, it would be uplifting for just ONCE you could make a kind or useful statement re the role of women in the church. That also applies to the treatment accorded to the Pope. Very unchristian behavior.",en,985815,Jigsaw,"marty, it would be uplifting for just once you could make a kind or useful statement re the role of women in the church. that also applies to the treatment accorded to the pope. very unchristian behavior.",20
"What about ""“Encountering Jesus: Meeting the Jesus of History and the Christ of Faith""  are you afraid of hearing?
Doesn't sound to me like it has anything to do with being gay.",en,5970791,Jigsaw,"what about ""“encountering jesus: meeting the jesus of history and the christ of faith""  are you afraid of hearing?
doesn't sound to me like it has anything to do with being gay.",10
"and for most of us gay folks, the trials are from outside sources, like those who label us objectively disordered and who try to deny us the right to marry the ones we love, the right to housing, jobs and free association.   here in Kansas I can be denied housing, work, access to healthcare or stores/good/services, all because of who I love.   how is that Christian in any sense of the word?",en,515442,Jigsaw,"and for most of us gay folks, the trials are from outside sources, like those who label us objectively disordered and who try to deny us the right to marry the ones we love, the right to housing, jobs and free association.   here in kansas i can be denied housing, work, access to healthcare or stores/good/services, all because of who i love.   how is that christian in any sense of the word?",-1
There's that progressive Catholic love and tolerance I hear so much about.,en,695873,Jigsaw,there's that progressive catholic love and tolerance i hear so much about.,-1
"And if Bannon is not enough Alaska's own Jerry Ward is reported to have quit his slushy appointment at the US Dept of Education over a dispute with the controversial Secretary of Ed. Ms. Dubos. She was hiring Jeb Bushes Florida Christianity Education experts- And Jerry didn't like that ???
In an Administration full of Russian spies it it pretty safe to say Jerry isn't one! So what is he shooting for next?
It gonna be a looong 4 years in the New Swamp!",en,5102336,Jigsaw,"and if bannon is not enough alaska's own jerry ward is reported to have quit his slushy appointment at the us dept of education over a dispute with the controversial secretary of ed. ms. dubos. she was hiring jeb bushes florida christianity education experts- and jerry didn't like that ???
in an administration full of russian spies it it pretty safe to say jerry isn't one! so what is he shooting for next?
it gonna be a looong 4 years in the new swamp!",1
"So Nazism was related to Christianity too? After all, they did practice age old anti semitism that Christian establishments had",en,1013292,Jigsaw,"so nazism was related to christianity too? after all, they did practice age old anti semitism that christian establishments had",25
"""In short, people feel betrayed and abandoned by the institution, and their response is to abandon the institution whether it is a party or a church.""

Distrust of institutions, both religious and secular, was growing long before the Internet appeared in the 1990s.  Thanks to Woodward and Bernstein, The Boston Globe, and many others, we have seen that institutions are often run by people who put their own interests before the common good or even basic public decency.  A continuing problem is that too many leaders of institutions don't believe they need to earn trust.  They believe they already have it because of their high offices.  Pope Francis is the kind of leader who knows better.",en,542518,Jigsaw,"""in short, people feel betrayed and abandoned by the institution, and their response is to abandon the institution whether it is a party or a church.""

distrust of institutions, both religious and secular, was growing long before the internet appeared in the 1990s.  thanks to woodward and bernstein, the boston globe, and many others, we have seen that institutions are often run by people who put their own interests before the common good or even basic public decency.  a continuing problem is that too many leaders of institutions don't believe they need to earn trust.  they believe they already have it because of their high offices.  pope francis is the kind of leader who knows better.",0
"Of course it is not a lie.

You have a plethora of personal opinions supported by unnamed “scholars” and an attitude.

The Church has two thousands years, the Tradition of the Apostles, and has considered all of these issues more than a couple of times.

There is no “stifling attitude toward intellectual inquiry”. You can stand outside the Church making faces at it, ranting at it, and giving it the bird.

You just can’t do it within the Church.

No functional organization, not even a divinely founded one, allows that.",en,674240,Jigsaw,"of course it is not a lie.

you have a plethora of personal opinions supported by unnamed “scholars” and an attitude.

the church has two thousands years, the tradition of the apostles, and has considered all of these issues more than a couple of times.

there is no “stifling attitude toward intellectual inquiry”. you can stand outside the church making faces at it, ranting at it, and giving it the bird.

you just can’t do it within the church.

no functional organization, not even a divinely founded one, allows that.",0
"Gee, count Jesus among the protestants.  He did not have his back to the Twelve or the disciples when the Last Supper occurred.  After 'Humanae Vitae' was published, Pope Paul VI realized that this encyclical alienated millions of Catholics.  He never published another encyclical again.  Your understanding of Marxism is confused.  The Church's teaching of ""preferential option for the poor"" was supported by the CELAM [Latin American Bishops at Puebla, Mexico] in 1979.  There is nothing ""Marxist"" about it.  Jesus stated many times in his preaching, that he came for the poor [Mt. 11:2-7; Lk 7:18-23].",en,6134205,Jigsaw,"gee, count jesus among the protestants.  he did not have his back to the twelve or the disciples when the last supper occurred.  after 'humanae vitae' was published, pope paul vi realized that this encyclical alienated millions of catholics.  he never published another encyclical again.  your understanding of marxism is confused.  the church's teaching of ""preferential option for the poor"" was supported by the celam [latin american bishops at puebla, mexico] in 1979.  there is nothing ""marxist"" about it.  jesus stated many times in his preaching, that he came for the poor [mt. 11:2-7; lk 7:18-23].",-1
"@theochick Well-said, Lisa. I would say it's our personal agendas that matter more than scriptural commands. It was no different than when Obama was president. Many Christians either prayed or didn't pray for him depending on whether or not they supported him politically. It's idolatry.",en,train,Messuring,"@theochick well-said, lisa. i would say it's our personal agendas that matter more than scriptural commands. it was no different than when obama was president. many christians either prayed or didn't pray for him depending on whether or not they supported him politically. it's idolatry.",-1
"Consider that the early explorers - Columbus and later - ""discovered"" America and promply relegated the natives to second class, usually outright slavery ! The condescending arrogance was mind boggling .... The prime objective being treasure, gold, silver, pearls .... Settlement as such came much later ..... Usually the Church ( Catholic ) and missionaries saw to it that native cultures were denigrated and their religions being ""heathenish"" were obscured, ditto for any of native written records ( e.g. Mexico, Aztec .. ). The treasure hunters and church were perhaps the most destructive of native Americans.",en,5512988,Jigsaw,"consider that the early explorers - columbus and later - ""discovered"" america and promply relegated the natives to second class, usually outright slavery ! the condescending arrogance was mind boggling .... the prime objective being treasure, gold, silver, pearls .... settlement as such came much later ..... usually the church ( catholic ) and missionaries saw to it that native cultures were denigrated and their religions being ""heathenish"" were obscured, ditto for any of native written records ( e.g. mexico, aztec .. ). the treasure hunters and church were perhaps the most destructive of native americans.",-1
"""Except their child molestations?""  Thanks for proving your utter and complete ignorance on the subject. And if your concerned with child molestation, you might take a good look at the Catholic Church: It's swimming in them and cover ups by highly placed officials.",en,5664228,Jigsaw,"""except their child molestations?""  thanks for proving your utter and complete ignorance on the subject. and if your concerned with child molestation, you might take a good look at the catholic church: it's swimming in them and cover ups by highly placed officials.",-1
"(b) condemn Islamophobia and all forms of systemic racism and religious discrimination.” 
--------------

the objection is that Islamophobia is singled out for special attention
and other religions (Christianity, Judaism, Hinduism, Buddhism ) are all lumped together under ""religious discrimination""

Could Ms. Renzetti defend this discrimination?",en,1010536,Jigsaw,"(b) condemn islamophobia and all forms of systemic racism and religious discrimination.” 
--------------

the objection is that islamophobia is singled out for special attention
and other religions (christianity, judaism, hinduism, buddhism ) are all lumped together under ""religious discrimination""

could ms. renzetti defend this discrimination?",-1
"Not a word about the horrific attack in Nigeria yesterday?  And the last few weeks?  Why?

https://www.google.com/amp/s/www.washingtonpost.com/amphtml/world/africa/8-killed-after-gunman-attacks-church-in-southern-nigeria/2017/08/06/5ad3621c-7ab8-11e7-b2b1-aeba62854dfa_story.html

http://www.news.va/en/news/africanigeria-new-attacks-against-catholic-churche",en,5726616,Jigsaw,"not a word about the horrific attack in nigeria yesterday?  and the last few weeks?  why?

https://www.google.com/amp/s/www.washingtonpost.com/amphtml/world/africa/8-killed-after-gunman-attacks-church-in-southern-nigeria/2017/08/06/5ad3621c-7ab8-11e7-b2b1-aeba62854dfa_story.html

http://www.news.va/en/news/africanigeria-new-attacks-against-catholic-churche",-1
"Could you send a few to us so they can share their traditionalist views?  Many of us have looked but have found so very few, they are statistically insignificant.  BTW - those who attend Mass and/or a Catholic school do not automatically count as ""traditionalists.""  Thanks so much!",en,846450,Jigsaw,"could you send a few to us so they can share their traditionalist views?  many of us have looked but have found so very few, they are statistically insignificant.  btw - those who attend mass and/or a catholic school do not automatically count as ""traditionalists.""  thanks so much!",-1
"@Pontifex The Jews crucified Christ and were proud of it, the Christians in the world must hate them. The Bible says that your greatest enemy is Jews, so do not be friends with them.",en,train,Messuring,"@pontifex the jews crucified christ and were proud of it, the christians in the world must hate them. the bible says that your greatest enemy is jews, so do not be friends with them.",36
"Unnecessary to engage in satire to expose the flaws in this poster's thinking.  In fact, impossible to satirize such a diseased viewpoint.  This is an example of a ""catholic"" whose religion is used to support right-wing politics and a truly hateful personal philosophy.",en,5532089,Jigsaw,"unnecessary to engage in satire to expose the flaws in this poster's thinking.  in fact, impossible to satirize such a diseased viewpoint.  this is an example of a ""catholic"" whose religion is used to support right-wing politics and a truly hateful personal philosophy.",-1
"The Pope will apologize 
when Trudeau apologizes for not allowing pro-life candidates to run for the Liberal party",en,5322657,Jigsaw,"the pope will apologize 
when trudeau apologizes for not allowing pro-life candidates to run for the liberal party",-1
"I sincerely hope that in some future century, (if we survive the present political and environmental dangers), the institutional Church will be honest enough and brave enough to acknowledge the courage and foresight these pioneering women showed in the earliest stages of breaking down this mysogynistic barrier.  I hope the female Pope of that day will lead a universal ritual of apology for the institutional oppression of all women and in particular those women denied consideration of ordination. I hope for equality, the freedom for women to serve as minister and leader, and for women's influence and wisdom in theology and Scriptural interpretation.  Women's place is not a step behind men's but equal before God in common humanity and in Christian baptism.",en,6227479,Jigsaw,"i sincerely hope that in some future century, (if we survive the present political and environmental dangers), the institutional church will be honest enough and brave enough to acknowledge the courage and foresight these pioneering women showed in the earliest stages of breaking down this mysogynistic barrier.  i hope the female pope of that day will lead a universal ritual of apology for the institutional oppression of all women and in particular those women denied consideration of ordination. i hope for equality, the freedom for women to serve as minister and leader, and for women's influence and wisdom in theology and scriptural interpretation.  women's place is not a step behind men's but equal before god in common humanity and in christian baptism.",20
"Phrogge,
I'd agree.  I think there should be a place for both those priests committed to celibacy, and married priests.  Each will have gifts to bring to the church, and we could all benefit.  I'm saddened to see so many gifts rejected by church leadership.  I'm gonna guess that there's a much higher percentage of gays in the episcopacy than in society or the church in general.  Odd that they feel THEY can contribute and lead, while holding others at bay?  

The church has SO many who offer great wisdom, insight, experience and intuition.  Our gifts are amazing.  If the church is EVER to have even a chance at moving towards what I suspect Jesus may have had in mind, we're going to need ALL of those gifts, and will need to live as a true community, where we don't write people off because of their gender, their sexuality, their education, wealth, age, marital status...   But UNTIL all those voices are truly brought to bear, we're so much less than we could and should be.

Thank you.",en,5922714,Jigsaw,"phrogge,
i'd agree.  i think there should be a place for both those priests committed to celibacy, and married priests.  each will have gifts to bring to the church, and we could all benefit.  i'm saddened to see so many gifts rejected by church leadership.  i'm gonna guess that there's a much higher percentage of gays in the episcopacy than in society or the church in general.  odd that they feel they can contribute and lead, while holding others at bay?  

the church has so many who offer great wisdom, insight, experience and intuition.  our gifts are amazing.  if the church is ever to have even a chance at moving towards what i suspect jesus may have had in mind, we're going to need all of those gifts, and will need to live as a true community, where we don't write people off because of their gender, their sexuality, their education, wealth, age, marital status...   but until all those voices are truly brought to bear, we're so much less than we could and should be.

thank you.",20
"From all the slimy, disgusting, horrifying, even multi-suicidal depositions and court documents I've read, Ballarat (Pell) appears among the most egregious to me...alongside the abominations in Ireland and, of course, in our own country.  

If the status, prestige and ontological superiority of ONE offending senior cleric stands before God as more precious and important than ONE abused child, then why the heck do we all pretend to be Catholic Christians? 

I will no longer believe any of their lies, their subterfuges, their weak excuses, their phony penitential statements, their cover-up commissions, their despicable money maneuvering, until perpetrators and their superiors wear orange and walk in shackles.",en,1066861,Jigsaw,"from all the slimy, disgusting, horrifying, even multi-suicidal depositions and court documents i've read, ballarat (pell) appears among the most egregious to me...alongside the abominations in ireland and, of course, in our own country.  

if the status, prestige and ontological superiority of one offending senior cleric stands before god as more precious and important than one abused child, then why the heck do we all pretend to be catholic christians? 

i will no longer believe any of their lies, their subterfuges, their weak excuses, their phony penitential statements, their cover-up commissions, their despicable money maneuvering, until perpetrators and their superiors wear orange and walk in shackles.",3
"Onward Christian soldiers marching as to war, (KILL!! KILL! KILL!!) with the cross of Jesus going on before, (KILL!! KILL! KILL!!), Christ the royal master, (KILL! KILL! KILL!) leads against the foe, (KILL! KILL! KILL!), forward into battle, (KILL! KILL! KILL!)

Onward then ye people, join our happy throng, (KILL!! KILL! KILL!!), blend with us your voices, in our Trumpsters song, (KILL!! KILL! KILL!!).",en,914996,Jigsaw,"onward christian soldiers marching as to war, (kill!! kill! kill!!) with the cross of jesus going on before, (kill!! kill! kill!!), christ the royal master, (kill! kill! kill!) leads against the foe, (kill! kill! kill!), forward into battle, (kill! kill! kill!)

onward then ye people, join our happy throng, (kill!! kill! kill!!), blend with us your voices, in our trumpsters song, (kill!! kill! kill!!).",17
"But we're not just Biblical illiterates.

We're also terribly illiterate in philosophy (the substantial kind), metaphysics, logic, rational inquiry, Church history (real vs. what gets picked up in the ether here...e.g., the Crusades, the Inquisition, the real details of Galileo, the Reformation, prior actual heresies), and bioethics.

We're really illiterate in what the Church actually teaches about marriage, conjugal union, etc...and, of course, the Sacraments, and grace, and sin, and the universal call to holiness (see Vatican II).

We have people here who pretend to be Vatican II fans, but draw a blank when the universal call to holiness and apostolate is mentioned!

They reject the fact that we all are called to do apostolate, every day, like the beating of our heart (as a modern-day saint said). 

Holiness?  What's that?
Apostolate?  What's that? 

Heresies get repeated all the time because so few know what was teased out before.",en,6113491,Jigsaw,"but we're not just biblical illiterates.

we're also terribly illiterate in philosophy (the substantial kind), metaphysics, logic, rational inquiry, church history (real vs. what gets picked up in the ether here...e.g., the crusades, the inquisition, the real details of galileo, the reformation, prior actual heresies), and bioethics.

we're really illiterate in what the church actually teaches about marriage, conjugal union, etc...and, of course, the sacraments, and grace, and sin, and the universal call to holiness (see vatican ii).

we have people here who pretend to be vatican ii fans, but draw a blank when the universal call to holiness and apostolate is mentioned!

they reject the fact that we all are called to do apostolate, every day, like the beating of our heart (as a modern-day saint said). 

holiness?  what's that?
apostolate?  what's that? 

heresies get repeated all the time because so few know what was teased out before.",-1
"He has visited and held mass with sex abuse victims, co-authored a book with one, and has apologized for the crimes of the Catholic Church.  This doesn't absolve the Church of its rather criminal negligence nor does it mean the Pontiff has done enough. 

But I don't think it's fair to prisoners, migrants, refugees, the poor, indigenous people who the Pontiff speaks out for to say ""he cares about their issues more than ours"". That comes across as a sort of oppression olympics there.",en,5130924,Jigsaw,"he has visited and held mass with sex abuse victims, co-authored a book with one, and has apologized for the crimes of the catholic church.  this doesn't absolve the church of its rather criminal negligence nor does it mean the pontiff has done enough. 

but i don't think it's fair to prisoners, migrants, refugees, the poor, indigenous people who the pontiff speaks out for to say ""he cares about their issues more than ours"". that comes across as a sort of oppression olympics there.",0
"Whenever Hobson tries to re-state one's words, be careful, as he's ever ready to twist, distort, and create caricatures out of what one writes. 

To Hobson:  No..I am a part of the Church, the Magesterium is a part of the Church. We have different roles.   We both need to seek holiness in these vocations that God gave us.",en,1061262,Jigsaw,"whenever hobson tries to re-state one's words, be careful, as he's ever ready to twist, distort, and create caricatures out of what one writes. 

to hobson:  no..i am a part of the church, the magesterium is a part of the church. we have different roles.   we both need to seek holiness in these vocations that god gave us.",0
"No and Yes, you are trolling by asking silly questions. Like asking ""Can God make a rock so big that he cannot lift it?"".

Why do you think educating uncaring, disrespectful Teenagers is going to make any difference in regards to their choice about sex ? If they are ""independent"" enough to get a room, take off their clothes, have an intimate relationship with a person of the opposite sex, Explaining how things work is going to somehow inhibit them from having sex ? This is nonsense.

I am an ""Evangelical"" and have already had a discussion with my 12 year old boy (and have two more coming) about the mechanics of sex, and am planning on another one this month, and I do not know any of my fellow evangelicals who do not do the same thing.

I also teach them how to honor the ladies they are attracted to by respecting them enough not to want to violate them physically and waiting until they are ready to make a lifelong commitment. You are big on stereotypes, but very little on substance.",en,860385,Jigsaw,"no and yes, you are trolling by asking silly questions. like asking ""can god make a rock so big that he cannot lift it?"".

why do you think educating uncaring, disrespectful teenagers is going to make any difference in regards to their choice about sex ? if they are ""independent"" enough to get a room, take off their clothes, have an intimate relationship with a person of the opposite sex, explaining how things work is going to somehow inhibit them from having sex ? this is nonsense.

i am an ""evangelical"" and have already had a discussion with my 12 year old boy (and have two more coming) about the mechanics of sex, and am planning on another one this month, and i do not know any of my fellow evangelicals who do not do the same thing.

i also teach them how to honor the ladies they are attracted to by respecting them enough not to want to violate them physically and waiting until they are ready to make a lifelong commitment. you are big on stereotypes, but very little on substance.",-1
"2/2
I'm old enough to remember a time when I thought I didn't know any gay people (not the word we used). When I found out that I did, I was surprised in two instances by who they were and how much they suffered. Both men were friends of my parents; both were in relationships with other men (not each other; they didn't even know each other.)  Both lived most of their adult lives in faithful relationships with their partners, but neither ever shared a home with his partner. Only late in her life, after my father was gone, did my mother realize the nature of the relationship that her great friend and neighbor had with his ""friend."" I was moved by the way the insight dawned on her, and on the compassion she had for him as his life-partner was dying -- compassion rooted in her own then-recent loss of my father. I learned a lot; and I was changed.
The teaching of the church about homosexuality is not only wrong; it is evil.",en,5643148,Jigsaw,"2/2
i'm old enough to remember a time when i thought i didn't know any gay people (not the word we used). when i found out that i did, i was surprised in two instances by who they were and how much they suffered. both men were friends of my parents; both were in relationships with other men (not each other; they didn't even know each other.)  both lived most of their adult lives in faithful relationships with their partners, but neither ever shared a home with his partner. only late in her life, after my father was gone, did my mother realize the nature of the relationship that her great friend and neighbor had with his ""friend."" i was moved by the way the insight dawned on her, and on the compassion she had for him as his life-partner was dying -- compassion rooted in her own then-recent loss of my father. i learned a lot; and i was changed.
the teaching of the church about homosexuality is not only wrong; it is evil.",3
"When did Jesus, whose only crown was a crown of thorns, ever teach that His church should have any of the attributes of a sovereign state? Governments should recognize the Pope as a religious leader only.",en,1072379,Jigsaw,"when did jesus, whose only crown was a crown of thorns, ever teach that his church should have any of the attributes of a sovereign state? governments should recognize the pope as a religious leader only.",-1
A remarkable out poor of Christian hate. Very moving ...,en,5063984,Jigsaw,a remarkable out poor of christian hate. very moving ...,-1
"Actually, Jesus rests His head where our consciences are unclean. He comes to call sinners, not the saved. Knowing that you are a sinner makes you welcome to hear his voice. Thinking you are fine is the problem. That does not mean, however, that we must listen to those who would damn an action, like contraception, that is evil. Reaon, not conscience, controls that dialogue and it is still God given. Neither can we run from God when the pain is too great, as the Europeans have done or as some have done when they regret an abortion (which is a personal matter, not one for law enforcement). Again, if someone needs an abortion to survive, it is reason, not conscience, that informs everyone involved.",en,5028981,Jigsaw,"actually, jesus rests his head where our consciences are unclean. he comes to call sinners, not the saved. knowing that you are a sinner makes you welcome to hear his voice. thinking you are fine is the problem. that does not mean, however, that we must listen to those who would damn an action, like contraception, that is evil. reaon, not conscience, controls that dialogue and it is still god given. neither can we run from god when the pain is too great, as the europeans have done or as some have done when they regret an abortion (which is a personal matter, not one for law enforcement). again, if someone needs an abortion to survive, it is reason, not conscience, that informs everyone involved.",-1
"Valid points. It is dumbfounding and mystifying how stubbornly people simply refuse to address the root-causes of the problem (one of the basic principles of Catholic social teaching). Only a blind ideology can be this blinding. 

They simply refuse to ask: Who is benefiting from this? 
The #1 beneficiary: Weapons' industry. In the past fifteen years or so, many trillions of dollars have been pocketed by those providing the weapons that create destitute people.  
#2 beneficiary, are countries who gain political and geo-strategic capital: Turkey, Saudi Arabia, Iran, the US, just to name a few. 
#3 beneficiary, (radical) Islamist leaders driven by (radical) Islamist ideology when they funnel the stream of millions of people into countries which they consider to be evil, bad and the abode of Satan.",en,4986012,Jigsaw,"valid points. it is dumbfounding and mystifying how stubbornly people simply refuse to address the root-causes of the problem (one of the basic principles of catholic social teaching). only a blind ideology can be this blinding. 

they simply refuse to ask: who is benefiting from this? 
the #1 beneficiary: weapons' industry. in the past fifteen years or so, many trillions of dollars have been pocketed by those providing the weapons that create destitute people.  
#2 beneficiary, are countries who gain political and geo-strategic capital: turkey, saudi arabia, iran, the us, just to name a few. 
#3 beneficiary, (radical) islamist leaders driven by (radical) islamist ideology when they funnel the stream of millions of people into countries which they consider to be evil, bad and the abode of satan.",35
"Respecting Pope Francis's priorities (and an American national priority), an aspect of common urgency is to drain the swamp of male-ego self-satiety. Humanity, and our Church specifically, suffers the arrogant frustration of male-cultic self-superiority.",en,579578,Jigsaw,"respecting pope francis's priorities (and an american national priority), an aspect of common urgency is to drain the swamp of male-ego self-satiety. humanity, and our church specifically, suffers the arrogant frustration of male-cultic self-superiority.",20
"I agree whole-heartedly.

I had to chuckle when I read this sentence from MSW, ""The church doesn't fit into the usual boxes our culture erects and, just so, can challenge us all to think more deeply as well as more clearly."" 
The ""church"" is every bit as political as the secular society. What is politics but the mechanism in which we express our values. What is church but an organization that teaches values. We think of politics as dirty and disgusting, while church is pure and to be emulated. 
They (church & politics) are different sides of the same coin!",en,5338144,Jigsaw,"i agree whole-heartedly.

i had to chuckle when i read this sentence from msw, ""the church doesn't fit into the usual boxes our culture erects and, just so, can challenge us all to think more deeply as well as more clearly."" 
the ""church"" is every bit as political as the secular society. what is politics but the mechanism in which we express our values. what is church but an organization that teaches values. we think of politics as dirty and disgusting, while church is pure and to be emulated. 
they (church & politics) are different sides of the same coin!",-1
"""This is what church believes and teaches. Can it help? How?""  
It can help, Dennis, to realize how and why the Roman Catholic Church continues to believe and teach this way...despite the great event of the Second Ecumenical Vatican Council back in the 60's:
http://churchandstate.org.uk/2015/01/opus-dei-influence-rises-to-the-top-in-the-vatican/  Definitely a blow-your-mind article.

And as for what we can do about it, see https://RiteBeyondRome.com",en,6302711,Jigsaw,"""this is what church believes and teaches. can it help? how?""  
it can help, dennis, to realize how and why the roman catholic church continues to believe and teach this way...despite the great event of the second ecumenical vatican council back in the 60's:
http://churchandstate.org.uk/2015/01/opus-dei-influence-rises-to-the-top-in-the-vatican/  definitely a blow-your-mind article.

and as for what we can do about it, see https://ritebeyondrome.com",-1
URL Every church should be burned down. Every. One. IDGAF.,en,train,Messuring,url every church should be burned down. every. one. idgaf.,-1
You post this complaint about every article on climate change.  That is like saying only someone without sin can preach the Gospel.,en,5986435,Jigsaw,you post this complaint about every article on climate change.  that is like saying only someone without sin can preach the gospel.,43
"The fact that you need to consult a web site in order to locate those measly 200 or so gay-friendly parishes out of a total of 17,651 Catholic parishes in the United States is a statement in and of itself. I'll say no more.",en,5628432,Jigsaw,"the fact that you need to consult a web site in order to locate those measly 200 or so gay-friendly parishes out of a total of 17,651 catholic parishes in the united states is a statement in and of itself. i'll say no more.",-1
"Because they are sick and tired of the abuse they've been getting, from both priest and bishop!  And they know better than to just roll over and let it happen, happen, happen!  Clearly, neither the priest nor the bishop is living up to what their own people and Catholic Canon Law expects of them!  Meanwhile, all the usual suspects are busy, busy, busy in this thread trying to run interference for them, if not attempting to justify their outrageous conduct.   Spiritual leaders these two are NOT!",en,922735,Jigsaw,"because they are sick and tired of the abuse they've been getting, from both priest and bishop!  and they know better than to just roll over and let it happen, happen, happen!  clearly, neither the priest nor the bishop is living up to what their own people and catholic canon law expects of them!  meanwhile, all the usual suspects are busy, busy, busy in this thread trying to run interference for them, if not attempting to justify their outrageous conduct.   spiritual leaders these two are not!",0
"Michelle - 

Jesus said - ""judge not lest ye be judged""  (liberals love to quote that one)

Jesus said - ""Let him who is without sin cast the first stone""  (liberals hate that one)

""They tie up heavy, cumbersome loads and put them on other people’s shoulders.”???    Like $10 trillion in new debt under (D) Barack Hussein Obama?  That's $80,000 per taxpayer Michelle.",en,523546,Jigsaw,"michelle - 

jesus said - ""judge not lest ye be judged""  (liberals love to quote that one)

jesus said - ""let him who is without sin cast the first stone""  (liberals hate that one)

""they tie up heavy, cumbersome loads and put them on other people’s shoulders.”???    like $10 trillion in new debt under (d) barack hussein obama?  that's $80,000 per taxpayer michelle.",1
Oh no it isn't I have an easy time at disposing the hypocrites and so does Jesus.,en,5089680,Jigsaw,oh no it isn't i have an easy time at disposing the hypocrites and so does jesus.,-1
"Not sure what your point is. No one is talking of forbidding the hijab on the street, only in positions representing the State. That is what France does, and it includes Catholic habits or even large crosses, i.e. priests, nuns, etc.",en,5587566,Jigsaw,"not sure what your point is. no one is talking of forbidding the hijab on the street, only in positions representing the state. that is what france does, and it includes catholic habits or even large crosses, i.e. priests, nuns, etc.",-1
@marcorubio Quoting scripture will not get you into God's good graces....he actually warns Christians about those who speak and act pious and yet do not live his word....he don't like that,en,train,Messuring,@marcorubio quoting scripture will not get you into god's good graces....he actually warns christians about those who speak and act pious and yet do not live his word....he don't like that,36
"When Bishop Morlino  took charge of the Madison diocese he wasted little time in writing in the Catholic Herald that the city of Madison existed below a ""moral minimum"" and had ""virtually no public morality"" specifically mentioning that the local lesbian and gay community theatre was evidence of the utter depravity to which the city had sunk.  Obviously,    Bishop Morlino has  a   talent  for ferreting out the evil in communities.  He  should be transferred to Las Vegas",en,6326244,Jigsaw,"when bishop morlino  took charge of the madison diocese he wasted little time in writing in the catholic herald that the city of madison existed below a ""moral minimum"" and had ""virtually no public morality"" specifically mentioning that the local lesbian and gay community theatre was evidence of the utter depravity to which the city had sunk.  obviously,    bishop morlino has  a   talent  for ferreting out the evil in communities.  he  should be transferred to las vegas",-1
"Pardon me, but...judge much? You know  nothing about people's personal spirituality. Just as one example, Tim Kaine was raised in a devoutly Catholic home, was educated by the Jesuits, served a service year at a Catholic mission in Honduras...he and his wife were married in a poor, predominantly African American parish and have attended Sunday liturgy there for more than thirty years, he is in ministries in his parish and he sings in the choir.  I think that should be enough.  Whenever I see a phrase like ""they are not practicing Catholics"" or ""they don't follow Church teaching"", it says way more about the person who made the statement than it does about those being ""commented"" upon.",en,565833,Jigsaw,"pardon me, but...judge much? you know  nothing about people's personal spirituality. just as one example, tim kaine was raised in a devoutly catholic home, was educated by the jesuits, served a service year at a catholic mission in honduras...he and his wife were married in a poor, predominantly african american parish and have attended sunday liturgy there for more than thirty years, he is in ministries in his parish and he sings in the choir.  i think that should be enough.  whenever i see a phrase like ""they are not practicing catholics"" or ""they don't follow church teaching"", it says way more about the person who made the statement than it does about those being ""commented"" upon.",26
Except for women. Because they're too dumb duh,en,train,Messuring,except for women. because they're too dumb duh,-1
"Yes, Middle Eastern Christians are being persecuted and I'm entirely in favor of reaching out in compassion to them. I'm just not in favor of granting preferential treatment based on religion.",en,993961,Jigsaw,"yes, middle eastern christians are being persecuted and i'm entirely in favor of reaching out in compassion to them. i'm just not in favor of granting preferential treatment based on religion.",35
"Actually, liberals and Democrats have endlessly tried to prevent Christian attempts at using the machinery of gubmit to grant themselves special privilege and enforce their dogma on society,  while standing up for individual rights.",en,6274161,Jigsaw,"actually, liberals and democrats have endlessly tried to prevent christian attempts at using the machinery of gubmit to grant themselves special privilege and enforce their dogma on society,  while standing up for individual rights.",44
"""verifiable observation""...VERY Fascinating - given the fact that none of the things you mentioned have ever been observed.

There is a mountain of evidence for the Bible - you simply do not accept it as such. There are eyewitness accounts, narratives, and explanations of the supernatural.

You also have this piety about you that puts off the vibe then no Christian could ever be a logical thinking scientist - which is another lie.

It is human pride that does not want to accept a supreme being that keeps men from realizing the truth, because being accountable to a creator is not something you can handle. Good Day !",en,1041836,Jigsaw,"""verifiable observation""...very fascinating - given the fact that none of the things you mentioned have ever been observed.

there is a mountain of evidence for the bible - you simply do not accept it as such. there are eyewitness accounts, narratives, and explanations of the supernatural.

you also have this piety about you that puts off the vibe then no christian could ever be a logical thinking scientist - which is another lie.

it is human pride that does not want to accept a supreme being that keeps men from realizing the truth, because being accountable to a creator is not something you can handle. good day !",5
