response,source,text
">>神の属性とやらで教義を理解し直すべきだ、だと？そもそも信者が勝手に崇めてる「神」なんて、本物とはまるで別モンなんだよ。

もうこの時点で話が破綻してんだよな。キリスト教なんて、信者の数だけ「俺の考えた最強の教義」があるようなもんだろ。公式に認められてるだけでも3万以上の宗派があるとかいうし。

で、そいつらが全員、自分たちの解釈だけが「唯一絶対の真理」だって、微塵も疑わずに主張しあってる。滑稽なことに、全員が同じ一冊の聖書を根拠にしてるくせにな。

全知全能だか何だか知らんが、万物の創造主サマのメッセージにしちゃ、あまりにお粗末すぎんだろJK。

結局、聖書解釈学の第一法則（であり、唯一の法則）はこれってことだ。「全ての聖句には、それに等しく、かつ真逆の『解釈』が存在する」。",llm,
"前に書いたレスだけど再掲な。

お前の信じる神が、お前と全く同じ人間を憎んでるんだとしたら、それはお前が自分に都合のいい神を捏造したってだけの話だろ。

旧統一教会の連中見てみろよ。新約聖書の教える『愛』に満ち溢れてるわー（白目）",llm,
神ってマジで性格終わってるよな。なんの理由もなく人類リセットするし、クソ熱心な信者ですら、悪魔相手に俺TUEEEするためだけの理由で不幸のどん底に叩き落とすんだぜ。,llm,
"お前の言う「神」って、どの神のことだよ。少なくとも聖書に書かれてる神様じゃないだろ、旧約から新約までな。

それで論破されそうになるとすぐ人格攻撃か？ダセェな。図星だからビビってんの？

神がモーセに逆らった連中を地面ごと飲み込んだのを忘れたか？使徒行伝で嘘ついた信者を即死させたのはどうなんだ？

世の中には神様も色々いるみてぇだし、どうやらあんたと俺じゃ、拝んでる神様が違うらしいな。",llm,
聖書の神とかいう奴、自己愛と支配欲の塊で、女と異教徒を見下してるだけのポンコツじゃねえか。,llm,
"神が不完全な人間を御業のために用いるなんて、キリスト教信仰の基本中の基本だろ。

こんな根本教義を否定するってことは、要するに神の救済計画に人間の役割は一切ないって主張してるのと同じなんだよ。論理が破綻してる。

で、すぐヒトラーを持ち出すとか、典型的な敗者のムーブで草。",llm,
何を信じようが個人の自由、それは認めるよ。でもさ、神が人智を超える存在なのは当たり前として、ちゃんと神からのメッセージってものは与えられてるわけ。あんたの場合は、あちこちから都合のいい部分だけつまみ食いして、自分だけの「神様」を捏造してるに過ぎない。こっちが聖書の核心的な言葉を引用してやっても、「それは後世の創作だ」とか言って逃げるんだろ？それこそ、聖書で禁じられてる「偶像崇拝」そのものじゃん。自分で作った神をありがたがって拝んでる、ただの独りよがりなんだよ。,llm,
それ、聖書に書いてある神様と全然違うんだけど。どこの新興宗教だよw,llm,
"マジそれな。奇跡起こせる全能の神とやらが、なんで悲劇は止められないの？

大災害の後のニュースでよくいるじゃん？「家は全壊したけど、お祈りしてたから神様が私だけは助けてくれました！ハレルヤ！」とか言ってるやつ。

で、そいつん家の瓦礫が隣の母子家庭に直撃して全員死んでたりするんだよな。

どこに神様いんだよ、マジで。

結局、全知全能でも何でもないなら、信じる価値あんの？

俺が宗教とか一切信じなくなったの、マジでこういう矛盾に気づいたからだわ。",llm,
"レイヴンとかいうヤツに、一応、最大限丁寧（笑）に言っとくわ。

教義は完璧じゃないけど成長するとか言っときながら、絶対間違わないし無謬だとか。それ、どう見てもただの矛盾じゃん。お前はそれを神の言葉だとか言うけど、俺からすりゃ、ただの一部の人間が必死に考えた理屈にしか見えんね。

で、お前は神の言葉を完全に理解してて、解釈も説明も不要だとか本気で思ってるわけ？ それ、お前とか教団のお偉いさん方が勝手に「カトリックの考え」ってことにしてるだけで、本質はただの思考停止だよ。旅の途中にあるただの道しるべに過ぎん。

俺が絶対正しいかって？ 神様の考えなんて俺に分かるわけないだろ。でもな、そんなしょうもない一点に固執するお前のその石頭っぷりが、神様のことじゃなくて、お前自身の器の小ささを物語ってるんだよ。

俺は、神様ってのは信者探しゲームのルールブックの中より、この世界そのものに宿ってるもんだと信じてる。それこそが本当の意味で「普遍的（カトリック）」な教会の信者ってもんだろ。お前らみたいな、自分たち以外は全否定する連中が、その「普遍」って言葉の意味を一番分かってねえんだよ。",llm,
"好き勝手に「神」とやらを定義してればいい。どうなっても知らんがな。

お前らはそのカルトもどきの耳障りのいい「神様」でも拝んでろよ。こっちは二千年近く、正統な教会が示してきた唯一の神を信仰するんで。",llm,
"うわ。筆者も編集も、記事のタイトルだけでとんでもない異端思想をぶちまけてるな。

悪いけど、十戒の第一をスルーするにしても、聖書には他の神々について明確に書かれてるのを忘れたのか？

イザヤ書 45:5-7
「わたしが主、ほかにはいない。わたしのほかに神はいない。あなたがわたしを知らなくても、わたしはあなたに力を与える。
日の昇るところから沈むところまで、わたしのほかにはだれもいないことを、人々が知るようになるためだ。わたしが主、ほかにはいない。
わたしは光を造り出し、闇を創造する。平和をもたらし、災いを創造する。わたしが主、これらすべてを行う。」

聖書では、他の神々は悪魔だと何度も明言されてる。唯一絶対の神から人々を惑わし、何の救いにもならない存在だと。

笑わせるな。傲慢で非科学的な偶像崇拝そのものじゃないか。このファンとかいう奴は即刻破門、筆者と編集部は懲戒解雇にしろ。",llm,
架空の人物イエスが存在したわけねーだろ。あいつの言動も逸話も、ぜんぶキリスト教以前の宗教からのパクリ。唯一神なんて思想とは無縁な、そこらの多神教の神々の話をツギハギしただけだろ。人間が本来持ってる「助け合いの精神」とやらに、何の関係もないっつーの。,llm,
それな。聖書って神の言葉じゃなくて、人間が「神とはこういうものだ」って勝手に書いた本だよな。,llm,
"この税制、完全に弱者切り捨てで金持ち優遇じゃねえか。これが自称「美しい国」の正体かよｗ。偽善も大概にしろ。一番助けが必要な貧乏人や老人を見捨てて、大企業や富裕層に媚びへつらう。保守だの愛国だの口では立派なこと言ってるが、やってることは「上級国民」様専用の生活保護だろ。この国の本当の神は「カネ」だからな。

実際、永田町にいる連中の顔をよく見てみろよ。この国に蔓延る「カネが全て」っていう思想と、それを正当化するための嘘が具現化したような奴らばかりだ。一体どの神様に「この国を祝福しろ」と祈ってんだか、マジで謎なんだが。キリストの神じゃないだろ、あいつは清貧を説いたんだから。古事記の神々でもない。一体どんな「ご加護」を求めてるんだ？「平等な国」か、それとも「金持ちの国」か。

答えは明白だよな。片手に教典、もう片方の手には献金の札束。そんなもん、教祖サマが説いた教えとはかけ離れてんだよ。これっぽっちも、微塵もな。あいつは無抵抗のド貧民だったはずだろ。ちゃんちゃらおかしいわ。",llm,
"例のありがたい御言葉の解釈とやらは、さっきコメントしといた。

信仰には対価が伴うとか、笑わせるな。どっかの偉い教祖様はどんな苦労をしてるってんだ？信者から搾り取った金で、塀に囲まれた豪邸に住んで、高級車乗り回して、自家用ジェットまで持ってんだろ。

信者どもも同じ穴の狢だ。日曜はエアコンの効いた快適な施設に集まってお祈り。そのくせ休日にレストランに行けば、こき使われる店員に横柄な態度とって、申し訳程度の代金と一緒に布教ビラを押し付けてくる始末。（よく見る光景だわ）

信仰に対価？冗談も大概にしろ。

一方、俺の親友夫婦はアフリカのド田舎の村で、自らの手で孤児院を建てて147人の子供の面倒を見てる。毎日が闘いだ。虫にやられた作物を必死でかき集め、また一からやり直す。病気になっても苦しみに耐えるしかない。それでも、あいつら以上に楽しそうに生きてる奴らを俺は知らない。本当の「対価」ってものを知ってるからな。",llm,
"あの連中、口では否定するだろうが、根っこは完全に「成功こそが神の祝福」みたいな新興宗教の考え方だよな。

要は、貧乏なのは「信仰が足りないお前が悪い」って自己責任論。金持ちは「神に選ばれたから当然の報酬」ってわけ。普段の書き込み見てりゃ、その価値観を布教したいのが見え見えなんだよ。",llm,
イエスは貧乏人を救えって言ってたんじゃなかったのか？やってることは信者から高額献金させることだけじゃんw,llm,
"イエスは金のために貧しい人を見捨てろなんて教えたか？笑

そもそも自民党とつるんでるような連中がクリスチャンとか、どの口が言うんだか。あいつらが崇拝してんのは神じゃなくて金だろ。",llm,
「キリストとの合一」だか何だか知らんが、その道は信者から搾取することに繋がってんだろ。聖書読めば誰でもわかることだ。これは単なる慈善事業の話じゃない。奴らが口にする、あの胡散臭い「回心」そのものの問題なんだよ。,llm,
今も昔も変わらん。結局、貧しい人を本当に救ってるのはキリスト教系の団体なんだよ。頭がイカれた連中には、真の貧困者と、それにたかるだけの社会のダニとの区別がつかないらしいがな。,llm,
偉い教祖様は「貧しき者を助けよ」と仰ったそうだが、それをガン無視して献金集めしてるのはどこのどいつだよw,llm,
"「金持ちの税金が安すぎる！」

はいはい、お綺麗な理想論どうもw
飢えてる人がいれば「誰かが助けるべき！」と叫び、
困ってる人がいれば「金持ちと政府が悪い！」と騒ぎ、
弱者がいれば「俺の住んでないとこに施設作れ！」と要求。

他人の金でする“慈善”が一番気持ちいいもんな？
自分はノーリスクで、善人になった気分だけ味わえるんだから。自己満乙。",llm,
よくそれでキリストの名を語れるな。やってることは貧しい信者から金を搾り取る新興宗教の教祖と変わらんぞ。,llm,
「クリスチャンは〜」とか言う前にまず説明してくれよ。貧乏人のための税金は嫌がるくせに「隣人愛」だの「弱者救済」だの、よく言えるよな。口先だけの偽善はもうやめろ。お前らが大事なのは神の教えじゃなくて自分の財布だけだろ。,llm,
