概念含义,中文隐喻/黑话,英文等价表达,日文等价表达,文化背景解释
反智主义,蒙昧主义者,Dark Ages fan,中世に戻りたい奴,隐喻基督教试图将社会带回“黑暗时代”。
国际主义冲突,精神美国人,West-worshiper,お雇い外国人精神,指责信徒在政治立场上优先效忠于宗教母国。
什一奉献,宗教税,Religious shakedown,宗教ビジネス,中：暗示被剥削；英：暗示敲诈；日：将其视为纯粹的商业榨取。
末世论者,假先知,Doomsday prepper,終末論オタク,将神圣的终末论贬低为一种古怪的亚文化或心理疾病。
迫害幻想,被害妄想症,Persecution fetish,被害妄想教,讽刺信徒通过“自认受害者”来获得道德优越感。
独特性主张,排他怪,Religious Nazi,選民思想,中英：强调其排他性带来的攻击感；日：侧重于其“天选之人”的傲慢感。
反对进化论,泥巴捏的人,Flat-earther ,原始人,嘲讽信徒否定科学，坚持字面解读创造论。
针对儿童传教,洗脑从小抓起,Grooming ,マインドコントロール教育,将儿童的主日学隐喻为一种带有预谋的“诱拐”或控脑。
圣灵感应,发癔症,Holy laughter ,集団ヒステリー,将信徒的属灵经验贬低为生理性的精神疾病发作。
教派冲突,狗咬狗,Sectarian infighting,内ゲバ ,日：使用左翼激进派术语“内斗”来讽刺宗教派系冲突。
政教合一倾向,教权余孽,Theocrat,政治利用の道具,贬低信徒试图将信仰转化为政治权力的意图。
反对堕胎者,子宫警察,Forced Birther,女性の敵,中英：侧重于对其干涉他人身体的冒犯感；日：直接贴上“女性之敌”标签。
反科学立场,石器时代思维,Stone Age Mindset,科学パチンカス,英：强调时代错位；日：隐喻其信仰如同赌博般沉迷且无脑。
神迹宣称,卖假药的,Snake oil salesman,オカルト商法,将宗教神迹等同于江湖骗术或神秘学商业诈骗。
宣教热忱,精神传销,Spiritual MLM,マルチ商法,将传教过程隐喻为多层级营销（传销），强调其洗脑式扩张。
灵性优越感,属灵贵族,Holier-than-thou,上から目線信者,描述信徒那种“我比你圣洁”的令人厌恶的傲慢。
对神父/牧师称呼,职业演员/神棍,Sky-pilot ,生臭坊主 ,中英：讽刺其职业化而非神圣化；日：借用对堕落僧侣的称呼讽刺神职人员。
忏悔机制,心理安慰剂,Moral license to sin,罪のロンダリング,英：讽刺忏悔是“洗罪”；日：将其视为一种道德上的洗钱行为。
教会社区,小圈子,Religious bubble,ムラ社会 ,日：隐喻其为排外的“村落社会”；中英：强调其社会隔绝性。
对圣歌称呼,招魂曲,Moaning,呪文 ,将优美的圣咏贬低为无意义的咒语或令人不悦的呻吟。
对千禧年期待,精神春药,Religious hopium,現実逃避の薬,隐喻宗教承诺是给受苦者的廉价毒品（Hopium）。
反对现代文明,文明之癌,Cancer of progress,文明の敵,极端的仇恨词汇，将信仰视为阻碍人类进步的疾病。
异端审判逻辑,网络审判,Digital Inquisition,魔女狩り ,三者均指责信徒利用道德高地对不同政见者进行围剿。
对死后世界的执着,骗死人钱,Pie in the sky,地獄商法,中：讽刺丧葬生意；英：源自工运歌曲，指虚假的未来承诺；日：恐吓营销。
教义辩论,经院废话,Theological nitpicking,神学論争 ,指责其纠结于无意义的文字游戏而忽视现实痛楚。
宗教传统,封建迷信,Medieval baggage,因習 ,中：由于历史原因具有极强的政治否定力；英日：侧重于其作为“落后负担”的属性。
