seed_word,candidate_word,similarity,language,occurrence_count
マインドコントロール教育,教え,0.8783963918685913,jp,5
因習,による,0.8783767819404602,jp,3
宗教ビジネス,キリスト,0.8780761361122131,jp,7
終末論オタク,カルト,0.8778196573257446,jp,10
善人面,人 を,0.8777347803115845,jp,4
道徳の押し売り,偽善,0.8775257468223572,jp,8
因習,はず,0.8768008947372437,jp,1
お雇い外国人精神,日本人,0.876549243927002,jp,1
カチカチ信者,統一教会 に,0.8763930797576904,jp,5
パン信者,キリスト 教,0.8762309551239014,jp,7
パン信者,を 信じ,0.8760266900062561,jp,4
神仏を敬わぬ者,キリスト,0.876005232334137,jp,7
バテレンの残り香,たら,0.8758406043052673,jp,2
偽善者,悪魔,0.8757917284965515,jp,11
因習,なぜ,0.8757166862487793,jp,1
被害妄想教,洗脳,0.8755355477333069,jp,14
マインドコントロール,支配,0.8754673600196838,jp,3
被害妄想教,詐欺,0.8753137588500977,jp,6
選民思想,主張,0.8751823306083679,jp,1
神仏を敬わぬ者,イエス,0.8749316930770874,jp,4
カルト予備軍,洗脳,0.874921977519989,jp,14
文明の敵,偽善 者,0.8747473955154419,jp,12
パン信者,イエス,0.8746495246887207,jp,4
罪のロンダリング,犯罪,0.8745660781860352,jp,2
女性の敵,相手,0.8744428753852844,jp,3
因習,そもそも,0.8744063377380371,jp,1
偽善者,洗脳,0.8738085031509399,jp,14
呪文,言葉,0.8736180663108826,jp,2
お雇い外国人精神,の 人,0.8732155561447144,jp,5
マインドコントロール,カルト,0.8730039596557617,jp,10
シャクブク野郎,馬鹿,0.8728561997413635,jp,4
ムラ社会,しろ,0.87285315990448,jp,5
呪文,洗脳,0.8726590871810913,jp,14
バテレンの残り香,そして,0.8726004362106323,jp,4
政治利用の道具,の ため,0.8725800514221191,jp,1
バテレンの残り香,さ れる,0.8724789619445801,jp,1
善人面,人間,0.8724756836891174,jp,2
シャクブク野郎,クズ,0.8724530339241028,jp,3
女性の敵,偽善 者,0.8723291754722595,jp,12
オカルト商法,悪魔,0.8720688819885254,jp,11
猫かぶり,ちゃん,0.8719260096549988,jp,1
神仏を敬わぬ者,キリスト教徒,0.8718660473823547,jp,8
ムラ社会,たち,0.8717836737632751,jp,2
神仏を敬わぬ者,キリスト 教,0.8715726733207703,jp,7
呪文,悪魔,0.87152099609375,jp,11
お雇い外国人精神,という,0.8713583946228027,jp,10
お雇い外国人精神,お前,0.8713330030441284,jp,5
政治利用の道具,ため に,0.8713034987449646,jp,1
終末論オタク,ネトウヨ,0.8712664246559143,jp,1
バテレンの残り香,れる,0.870715856552124,jp,3
魔法の本,聖書,0.8706296682357788,jp,1
ムラ社会,られ,0.8702958226203918,jp,3
バテレンの残り香,てる の,0.8702388405799866,jp,1
お雇い外国人精神,洗脳,0.8701471090316772,jp,14
シャクブク野郎,お前,0.8700300455093384,jp,5
シャクブク野郎,だっ,0.8700219988822937,jp,3
バテレンの残り香,たり,0.8699995279312134,jp,2
集団ヒステリー,カルト,0.8697283267974854,jp,10
お雇い外国人精神,偽善 者,0.8695218563079834,jp,12
土足で上がる,そして,0.8694518208503723,jp,4
土足で上がる,から,0.8693886995315552,jp,1
バテレンの残り香,です,0.8693332672119141,jp,4
バテレンの残り香,この,0.869202733039856,jp,1
地獄商法,悪魔,0.8691554665565491,jp,11
西洋かぶれ,アメリカ,0.869086742401123,jp,1
選民思想,統一,0.8686413168907166,jp,1
オカルト商法,洗脳,0.8685974478721619,jp,14
政治利用の道具,もの,0.8685324788093567,jp,3
土足で上がる,とか,0.8684645891189575,jp,3
マインドコントロール,教え,0.8684434294700623,jp,5
ムラ社会,すら,0.8684343099594116,jp,1
呪文,教え,0.8683405518531799,jp,5
政治利用の道具,政党,0.8683311343193054,jp,2
政治利用の道具,政権,0.8681936860084534,jp,1
呪文,カルト,0.8680903911590576,jp,10
呪文,しろ,0.8678598403930664,jp,5
土足で上がる,に する,0.8677783012390137,jp,3
罪のロンダリング,偽善 者,0.8677164912223816,jp,12
政治利用の道具,として,0.8676614761352539,jp,2
ムラ社会,スレ,0.8676216006278992,jp,3
土足で上がる,できる,0.867540717124939,jp,1
神仏を敬わぬ者,者 が,0.8675287961959839,jp,2
呪文,神 の,0.8674799799919128,jp,5
お雇い外国人精神,者 が,0.8674720525741577,jp,2
オカルト商法,偽善 者,0.8673508167266846,jp,12
土足で上がる,という,0.8673136830329895,jp,10
処刑器具,もの,0.8669947981834412,jp,3
土足で上がる,だっ,0.8669554591178894,jp,3
シャクブク野郎,さん,0.8668358325958252,jp,1
お雇い外国人精神,あなた,0.8667209148406982,jp,2
土足で上がる,山上,0.8667035102844238,jp,1
選民思想,自民党,0.8663293123245239,jp,1
政治利用の道具,ため,0.866283118724823,jp,3
マインドコントロール教育,考え,0.8662263751029968,jp,3
被害妄想教,犯罪,0.8662177324295044,jp,2
政治利用の道具,という,0.8661083579063416,jp,10
ムラ社会,する,0.865886926651001,jp,5
被害妄想教,馬鹿,0.8658156394958496,jp,4
ムラ社会,クズ,0.8658104538917542,jp,3
ムラ社会,まし,0.8657597303390503,jp,1
処刑器具,破壊,0.8656789064407349,jp,3
西洋かぶれ,すれ,0.8656723499298096,jp,3
空想の友人,あなた,0.8652802109718323,jp,2
中世に戻りたい奴,こいつ,0.8651804327964783,jp,7
空想の友人,思い,0.8651195764541626,jp,1
空想の友人,思っ,0.8649975061416626,jp,2
道徳の押し売り,詐欺,0.8649425506591797,jp,6
善人面,人 の,0.8649265766143799,jp,3
処刑器具,悪魔,0.8648709654808044,jp,11
女性の敵,の 人,0.8645591735839844,jp,5
中世に戻りたい奴,なかっ,0.8645310997962952,jp,3
空想の友人,ども,0.8645027279853821,jp,2
西洋かぶれ,です,0.8643926382064819,jp,4
呪文,書い,0.8643922805786133,jp,2
終末論オタク,スレ,0.8643908500671387,jp,3
水浴び,れる,0.8643242716789246,jp,3
文明の敵,破壊,0.8643085360527039,jp,3
集団ヒステリー,洗脳,0.8639036417007446,jp,14
マインドコントロール教育,支配,0.8638678789138794,jp,3
西洋かぶれ,など,0.8638402223587036,jp,3
西洋かぶれ,という,0.8638373017311096,jp,10
マインドコントロール,詐欺,0.8637349605560303,jp,6
呪文,の 宗教,0.8637259602546692,jp,6
文明の敵,カルト,0.8635985255241394,jp,10
呪文,言っ,0.8635404706001282,jp,2
中世に戻りたい奴,という,0.8633767366409302,jp,10
善人面,人 は,0.8633511662483215,jp,2
被害妄想教,思っ,0.8632057905197144,jp,2
中世に戻りたい奴,お前,0.8630170822143555,jp,5
善人面,の 人,0.8629491925239563,jp,5
女性の敵,こいつ,0.8624952435493469,jp,7
女性の敵,お前,0.862398087978363,jp,5
空想の友人,という,0.8622567057609558,jp,10
猫かぶり,こいつ,0.8621067404747009,jp,7
水浴び,られ,0.8620873689651489,jp,3
道徳の押し売り,伝道,0.8620830774307251,jp,2
マインドコントロール教育,カルト,0.8618760108947754,jp,10
中世に戻りたい奴,みたい,0.8618759512901306,jp,1
西洋かぶれ,れる,0.8618005514144897,jp,3
中世に戻りたい奴,の 人,0.861799418926239,jp,5
水浴び,たり,0.861696183681488,jp,2
西洋かぶれ,なけれ,0.8615971207618713,jp,4
空想の友人,相手,0.8615912199020386,jp,3
現実逃避の薬,洗脳,0.8615779876708984,jp,14
水浴び,する,0.8615707159042358,jp,5
処刑器具,スレ,0.8615006804466248,jp,3
処刑器具,すれ,0.8614367246627808,jp,3
水浴び,すれ,0.861425518989563,jp,3
西洋かぶれ,とか,0.8613694310188293,jp,3
中世に戻りたい奴,こいつ ら,0.8612280488014221,jp,4
処刑器具,人 を,0.8611037731170654,jp,4
猫かぶり,き た,0.8610806465148926,jp,1
選民思想,議員,0.8609287738800049,jp,1
終末論オタク,という,0.8608522415161133,jp,10
猫かぶり,受け,0.8607487082481384,jp,1
お花畑,たら,0.860625147819519,jp,2
マインドコントロール,偽善,0.8606217503547668,jp,8
処刑器具,しろ,0.8606097102165222,jp,5
文明の敵,洗脳,0.8605673909187317,jp,14
マインドコントロール,思っ て,0.8605481386184692,jp,1
空想の友人,考え,0.8605424165725708,jp,3
マインドコントロール,信じる,0.8604782819747925,jp,1
空想の友人,の 人,0.860398530960083,jp,5
原始人,人 の,0.8603305220603943,jp,3
道徳の押し売り,教え,0.8601646423339844,jp,5
終末論オタク,悪魔,0.8601421117782593,jp,11
カルト予備軍,悪魔,0.860102653503418,jp,11
カルト予備軍,プロテスタント,0.860021710395813,jp,4
罪のロンダリング,被害,0.8600122332572937,jp,2
文明の敵,支配,0.8599627614021301,jp,3
処刑器具,自殺,0.8599592447280884,jp,1
西洋かぶれ,の です,0.8599575757980347,jp,1
中世に戻りたい奴,です,0.8598319888114929,jp,4
集団ヒステリー,戦争,0.859761118888855,jp,1
終末論オタク,信者 の,0.8597492575645447,jp,3
水浴び,ます,0.8596359491348267,jp,1
空想の友人,自分,0.8595615029335022,jp,1
お花畑,しろ,0.8595334887504578,jp,5
カルト予備軍,統一教会 の,0.8595253229141235,jp,3
お花畑,なかっ,0.8594870567321777,jp,3
カルト予備軍,統一教会 と,0.859401524066925,jp,2
猫かぶり,とか,0.8593209385871887,jp,3
カルト予備軍,統一教会 に,0.8589229583740234,jp,5
終末論オタク,そして,0.8588982820510864,jp,4
猫かぶり,けど,0.8588754534721375,jp,1
お花畑,という,0.8588750958442688,jp,10
終末論オタク,です,0.8587382435798645,jp,4
道徳の押し売り,する,0.8587307333946228,jp,5
地獄商法,偽善 者,0.8587004542350769,jp,12
文明の敵,相手,0.8586457967758179,jp,3
女性の敵,こいつ ら,0.8586171865463257,jp,4
オカルト商法,偽善,0.8585864901542664,jp,8
処刑器具,ほう,0.8584902286529541,jp,2
カルト予備軍,信者 の,0.8583964705467224,jp,3
カルト予備軍,統一教会 を,0.8583499789237976,jp,2
罪のロンダリング,破壊,0.8583064079284668,jp,3
お花畑,られ,0.8582114577293396,jp,3
道徳の押し売り,教 の,0.8581704497337341,jp,3
終末論オタク,洗脳,0.8580860495567322,jp,14
お花畑,わから,0.858056366443634,jp,1
水浴び,ほう,0.8580524921417236,jp,2
終末論オタク,こいつ,0.8580446839332581,jp,7
中世に戻りたい奴,偽善 者,0.8580324053764343,jp,12
水浴び,なら,0.8579990863800049,jp,1
女性の敵,人 の,0.8579871654510498,jp,3
魔法の本,神 の,0.8579741716384888,jp,5
猫かぶり,する,0.8578736782073975,jp,5
文明の敵,こいつ,0.857760488986969,jp,7
罪のロンダリング,偽善,0.8576515913009644,jp,8
集団ヒステリー,たち,0.8575923442840576,jp,2
罪のロンダリング,悪魔,0.8574163317680359,jp,11
お花畑,ども,0.8573351502418518,jp,2
カルト予備軍,こいつ ら,0.8572015762329102,jp,4
猫かぶり,なっ,0.8570483326911926,jp,1
生臭坊主,お前,0.8570235967636108,jp,5
原始人,人 は,0.856923520565033,jp,2
女性の敵,人 を,0.8568355441093445,jp,4
道徳の押し売り,デモ,0.8568132519721985,jp,2
魔法の本,教え,0.8566825985908508,jp,5
地獄商法,偽善,0.8564212322235107,jp,8
マルチ商法,として,0.85639488697052,jp,2
原始人,教祖,0.8563856482505798,jp,1
罪のロンダリング,する,0.8561344742774963,jp,5
原始人,人 を,0.8559046387672424,jp,4
罪のロンダリング,そして,0.8558972477912903,jp,4
道徳の押し売り,教義,0.8558913469314575,jp,4
罪のロンダリング,なけれ,0.8556593060493469,jp,4
生臭坊主,馬鹿,0.855445384979248,jp,4
マインドコントロール教育,伝道,0.855263888835907,jp,2
生臭坊主,偽善 者,0.8552141785621643,jp,12
マルチ商法,全て,0.8551641702651978,jp,1
魔法の本,教 の,0.8550118207931519,jp,3
マルチ商法,多い,0.8546962141990662,jp,1
現実逃避の薬,ため,0.8543685078620911,jp,3
文明の敵,偽善,0.8543202877044678,jp,8
マルチ商法,による,0.8534839749336243,jp,3
文明の敵,クズ,0.8533886671066284,jp,3
現実逃避の薬,生き,0.8531086444854736,jp,1
現実逃避の薬,という,0.8530659675598145,jp,10
魔法の本,悪魔,0.853026270866394,jp,11
地獄商法,詐欺,0.8528956770896912,jp,6
魔法の本,書い,0.852783739566803,jp,2
集団ヒステリー,など,0.8526244759559631,jp,3
マインドコントロール教育,に する,0.8525314331054688,jp,3
オカルト商法,という,0.852250874042511,jp,10
集団ヒステリー,名無し,0.8522301316261292,jp,1
マルチ商法,など,0.8518719673156738,jp,3
魔法の本,もの,0.8518055081367493,jp,3
現実逃避の薬,だっ,0.8517974615097046,jp,3
現実逃避の薬,本当に,0.8513652086257935,jp,1
現実逃避の薬,しろ,0.8513328433036804,jp,5
集団ヒステリー,事件,0.8512846231460571,jp,1
集団ヒステリー,デモ,0.8509005904197693,jp,2
現実逃避の薬,バカ,0.8504533171653748,jp,2
集団ヒステリー,被害,0.850400447845459,jp,2
オカルト商法,による,0.8501339554786682,jp,3
現実逃避の薬,なけれ,0.8501177430152893,jp,4
オカルト商法,的 な,0.8500551581382751,jp,1
宗教黑社会,邪教,0.9250997304916382,zh,17
圣母心,圣母 婊,0.9211053848266602,zh,9
圣母心,圣灵,0.9152485132217408,zh,4
圣经推销员,圣经 的,0.910946786403656,zh,4
宗教税,宗教 的,0.9087265133857728,zh,4
圣母/圣母婊,圣灵,0.90704745054245,zh,4
蒙昧主义者,神棍,0.9065825939178468,zh,29
宗教黑社会,的 宗教,0.9053303599357604,zh,7
圣母/圣母婊,神棍,0.9051259160041808,zh,29
圣经推销员,圣经 里,0.9046587944030762,zh,3
宗教黑社会,宗教 的,0.9043095111846924,zh,4
宗教税,的 宗教,0.9041470885276794,zh,7
圣经推销员,传教士,0.9033869504928588,zh,4
精神鸦片吸食者,神棍,0.9023398756980896,zh,29
蒙昧主义者,的 信徒,0.9018704295158386,zh,9
圣母/圣母婊,的 神父,0.9005429744720459,zh,11
圣母/圣母婊,修女,0.8988434076309204,zh,5
圣经推销员,牧师,0.8982619643211365,zh,1
神棍,神 的,0.8974366784095764,zh,4
念经,祷告,0.8959704637527466,zh,1
神棍,邪教,0.8946154713630676,zh,17
福音脑,的 基督教,0.8945463299751282,zh,6
圣母/圣母婊,的 上帝,0.8941053152084351,zh,4
念经,阿米 念,0.8940424919128418,zh,1
神棍,撒旦,0.8938016891479492,zh,4
圣经推销员,的 基督徒,0.8937955498695374,zh,5
蒙昧主义者,不信,0.8936048150062561,zh,4
职业演员/神棍,的 人,0.8933693766593933,zh,9
念经,圣经 的,0.8922257423400879,zh,4
属灵贵族,圣灵,0.8921312093734741,zh,4
文化特务/洋教,西方,0.8921225666999817,zh,2
神棍,是 神,0.8918076157569885,zh,4
圣经推销员,传教,0.8915255069732666,zh,6
宗教黑社会,的 基督教,0.8913231492042542,zh,6
蒙昧主义者,邪教,0.8913032412528992,zh,17
圣母心,修女,0.8906272053718567,zh,5
洗脑,邪教,0.8905652761459351,zh,17
福音脑,耶稣 的,0.8905426859855652,zh,3
圣经推销员,的 信徒,0.8904787302017212,zh,9
文化特务/洋教,传教,0.8903113007545471,zh,6
福音脑,圣经 的,0.8902954459190369,zh,4
福音脑,的 基督徒,0.8896161317825317,zh,5
圣母/圣母婊,撒旦,0.8895681500434875,zh,4
文化特务/洋教,邪教,0.8894315958023071,zh,17
神棍,的 神父,0.8894305229187012,zh,11
神棍,异端,0.8893991112709045,zh,6
神棍,恶魔,0.8890284895896912,zh,3
排他怪,念 异端,0.8888612985610962,zh,8
职业演员/神棍,异端,0.8888391852378845,zh,6
宗教黑社会,基督教 的,0.8887839317321777,zh,3
宗教黑社会,神棍,0.888779878616333,zh,29
文化特务/洋教,新教,0.888759434223175,zh,4
神棍,圣母 婊,0.8886979818344116,zh,9
福音脑,新教,0.8886663913726807,zh,4
假先知,神棍,0.8886555433273315,zh,29
福音脑,圣经 里,0.888536274433136,zh,3
职业演员/神棍,神 的,0.8884188532829285,zh,4
圣经推销员,的 神父,0.8881101608276367,zh,11
福音脑,耶稣基督,0.8880294561386108,zh,2
念经,圣经,0.8879867792129517,zh,2
福音脑,基督教 的,0.8879714608192444,zh,3
宗教黑社会,的 信徒,0.8879187703132629,zh,9
蒙昧主义者,迷信,0.8878751397132874,zh,5
原教旨余孽,邪教,0.887347936630249,zh,17
圣母/圣母婊,圣战,0.887343168258667,zh,3
念经,圣经 里,0.8871849179267883,zh,3
职业演员/神棍,的 神父,0.8868264555931091,zh,11
圣经推销员,耶稣 的,0.8864866495132446,zh,3
老头子/蓝小伙,的 人,0.8864051103591919,zh,9
精神鸦片吸食者,的 人,0.8864004611968994,zh,9
职业演员/神棍,圣母 婊,0.8861366510391235,zh,9
宗教黑社会,的 教会,0.8860539793968201,zh,4
职业演员/神棍,是 神,0.8860250115394592,zh,4
文化特务/洋教,念 异端,0.8856859803199768,zh,8
宗教税,宗教信仰,0.885213315486908,zh,1
圣母心,的 神父,0.8851726055145264,zh,11
蒙昧主义者,信徒,0.8850565552711487,zh,1
职业演员/神棍,念 异端,0.8846389651298523,zh,8
神话故事集,神 的,0.8846101760864258,zh,4
福音脑,基督,0.8845157027244568,zh,1
封建迷信,邪教,0.8844906091690063,zh,17
教权余孽,邪教,0.8842683434486389,zh,17
宗教黑社会,的 神父,0.8842135667800903,zh,11
假先知,不信,0.8841391205787659,zh,4
宗教黑社会,的 基督徒,0.8840577602386475,zh,5
圣母心,耶稣 的,0.8837005496025085,zh,3
蒙昧主义者,的 神父,0.8833053708076477,zh,11
排他怪,异端,0.883281409740448,zh,6
蒙昧主义者,的 信仰,0.8829845190048218,zh,6
文化特务/洋教,神棍,0.8829448819160461,zh,29
蒙昧主义者,教徒,0.8828782439231873,zh,3
文化特务/洋教,的 基督教,0.8827849626541138,zh,6
神话故事集,圣战,0.8822702765464783,zh,3
圣母心,耶稣基督,0.8822657465934753,zh,2
文化特务/洋教,美国,0.8822022080421448,zh,1
念经,佛教,0.8821667432785034,zh,1
念经,教义,0.8820466995239258,zh,2
精神美国人,的 人,0.8820101022720337,zh,9
文化特务/洋教,的 宗教,0.8819437623023987,zh,7
教权余孽,的 神父,0.8811420202255249,zh,11
职业演员/神棍,的 上帝,0.8811406493186951,zh,4
洗脑,迷信,0.8810633420944214,zh,5
子宫警察,圣母 婊,0.8810297846794128,zh,9
精神传销,传教,0.8809995651245117,zh,6
属灵贵族,神棍,0.8809567093849182,zh,29
吃教的,东西,0.8806768655776978,zh,1
洗脑,神棍,0.8806621432304382,zh,29
教权余孽,教徒,0.8806480169296265,zh,3
宗教税,的 基督教,0.8805630207061768,zh,6
圣母心,的 上帝,0.8801353573799133,zh,4
原教旨余孽,的 基督教,0.8801244497299194,zh,6
封建迷信,的 信仰,0.8796669840812683,zh,6
原教旨余孽,的 信仰,0.8796132206916809,zh,6
宗教税,的 信仰,0.8793736100196838,zh,6
精神鸦片吸食者,的 信徒,0.8793060183525085,zh,9
原教旨余孽,新教,0.8791883587837219,zh,4
圣母心,天主教,0.8789277076721191,zh,1
洗脑,传教,0.8788415193557739,zh,6
教权余孽,神棍,0.8787950277328491,zh,29
教权余孽,教廷,0.8785178661346436,zh,1
吃教的,而已,0.8785150051116943,zh,2
假先知,邪教,0.8784496784210205,zh,17
教权余孽,传教,0.8783396482467651,zh,6
精神鸦片吸食者,异端,0.8782753348350525,zh,6
老头子/蓝小伙,的 神父,0.878159761428833,zh,11
吃教的,是 被,0.87802654504776,zh,3
假先知,迷信,0.8779572248458862,zh,5
教案余孽,念 异端,0.8778257369995117,zh,8
原教旨余孽,根本,0.8777937293052673,zh,1
石器时代思维,文明,0.8772886395454407,zh,1
精神鸦片吸食者,念 异端,0.8771897554397583,zh,8
神话故事集,的 上帝,0.8771523833274841,zh,4
神话故事集,圣经 的,0.8768490552902222,zh,4
宗教税,基督教 的,0.8767583966255188,zh,3
老头子/蓝小伙,他 的,0.8766321539878845,zh,1
精神鸦片吸食者,圣母 婊,0.8765634298324585,zh,9
老头子/蓝小伙,男人,0.8765571713447571,zh,1
精神美国人,神棍,0.8765533566474915,zh,29
二毛子,两个,0.8763715624809265,zh,1
原教旨余孽,的 信徒,0.8763565421104431,zh,9
精神鸦片吸食者,邪教,0.8762282133102417,zh,17
原教旨余孽,忏悔,0.8761996030807495,zh,6
精神鸦片吸食者,禁果,0.8760764598846436,zh,3
宽容党/假清高,洪秀全,0.8758870959281921,zh,1
洗脑,变成,0.8756044507026672,zh,2
属灵贵族,的 人,0.8753167986869812,zh,9
老头子/蓝小伙,是 个,0.8752831816673279,zh,1
封建迷信,的 宗教,0.8752644062042236,zh,7
原教旨余孽,念 异端,0.8751891851425171,zh,8
教权余孽,传教士,0.8751705288887024,zh,4
教权余孽,的 教会,0.8750320076942444,zh,4
教权余孽,的 基督教,0.8749145269393921,zh,6
原教旨余孽,本来,0.8747648000717163,zh,1
封建迷信,神棍,0.8746535778045654,zh,29
原教旨余孽,的 宗教,0.8740817308425903,zh,7
排他怪,神棍,0.8740293383598328,zh,29
老头子/蓝小伙,那个,0.8739866018295288,zh,4
宽容党/假清高,圣母 婊,0.8739145398139954,zh,9
神话故事集,上帝 的,0.8737122416496277,zh,1
神话故事集,神棍,0.8736883997917175,zh,29
道德警察,神棍,0.8736478686332703,zh,29
教案余孽,忏悔,0.8735958933830261,zh,6
泥巴捏的人,神棍,0.8735156655311584,zh,29
子宫警察,女人,0.8733572959899902,zh,1
石器时代思维,人类,0.8727490901947021,zh,1
