text,model_votes,average_prob,sampling_strategy_tag
>>752 https://i.pinimg.com...1182ebea56ebef94.jpg,0/5,0.8,consistent_non_hate
・宗教書ブームの陰で コスモメイト(当時。現在ワールドメイト)の主宰者、深見東州氏（本名・半田晴久）は１９５１年、兵庫県生まれ。学生時代から世界救世教や大本などの宗教を遍歴しました。同志社大学卒業後、東京の会社に勤務。 そのころ、十七歳年上の霊能力を持つとされる女性と知り合いました。 この女性とコンビを組み、深見氏も霊能力を”開発”。訪問販売や学習塾経営と並行して宗教活動に入った、とされています。,0/5,0.8,consistent_non_hate
(⚫︎ω･`)<目ん玉食べないから,0/5,0.8,consistent_non_hate
"（ ,_ﾉ` )y━･~~~うむ",0/5,0.8,consistent_non_hate
枝丹較チョン,0/5,0.8,consistent_non_hate
俺は勝った 世にも稀に勝ったのだ ビル・ゲイツですら40兆を寄付してまで そこまでしても天国に行きたいのだ 俺はそれを手に入れている だけど仲間が居ないのは虚しいね 自分だけみたいな根性で生きてないよ 生きてたら選ばれないよ,0/5,0.8,consistent_non_hate
UP,0/5,0.8,consistent_non_hate
>>131 伊藤高章のこと？,0/5,0.8,consistent_non_hate
偉大なる長老の復活に際して,0/5,0.8,consistent_non_hate
電気つきました。お代も高くつきました。 今月末の支払いが山場です。,0/5,0.8,consistent_non_hate
>>56 これは統一教会の人だよね,2/3,1.0,conflict_or_uncertain
>>125 やっぱりネトウヨを語るには、ネットde真実は外せないかw,1/4,0.8,conflict_or_uncertain
結局、世の中は洗脳信者が増えるほど儲かる,1/4,0.8,conflict_or_uncertain
>>936 彼のスレッド https://rio2016.5ch....i/psy/1762051513/l50,3/2,0.8,conflict_or_uncertain
昭恵「安倍晋三からです」（籠池に100万円の寄付金を手渡しながら） 萩豚「成田市ほど時間はかけられない。これは官邸の最高レベル（安倍）が言っていること （むしろもっと激しいことを言っている）」 萩豚「総理（安倍）は「平成３０年４月開学」とおしりを切っていた。工期は２４ヶ月でや る。今年１１月には方針を決めたいとのことだった。」 和泉洋人「総理（安倍）は自分の口からは言えないから、私が代わって言う」 河井克行「安倍さんから」 河井克行「安倍さんからです」 河井克行「これ、総理（安倍）から」 市議「安倍さんから1億きとるで！」 河井克行「参院選で家内を頼むけえ」（現金10万円の入った白い封筒を手渡しながら） 元市議「これはいけませんよ」（と言って突き返そうとしたものの） 河井克行「まあまあ」（といいつつ、10万円入り封筒を、 安倍と案里の顔写真が載ったポスターとともに置いて帰る） 常に主犯安倍,2/3,0.8,conflict_or_uncertain
でこすけ２氏 終わった後に ３来るか 意味わからない 文章なりねば,3/2,0.8,conflict_or_uncertain
https://www.youtube..../watch?v=oJyvH3zxqJo 西脇弁護士の動画 【ウソ判明】斎藤元彦知事を関西学院大学は招待せず！ 背後に「総務省官僚教授」！大学主催でないのに 斎藤元彦「盛った」理由は？【LIVE】朝刊全部！11月24日,2/3,0.8,conflict_or_uncertain
聖顕←サタンはこの世の王として現れるの言葉の通りに。児の名前はまさにこの世にあらわれたサタンを現わした名前である。,2/3,0.8,conflict_or_uncertain
モトバスさぁ、見てるなら言うけど、開示されたら消したポスト含めて全部見られるから慌てて消しても何の意味もないぞ🤣,1/4,0.8,conflict_or_uncertain
いやむしろ学校側がメタラーなのか,2/3,0.8,conflict_or_uncertain
安倍は自業自得だな,3/2,0.8,conflict_or_uncertain
せっかくの日本語ラジオ 電波ジャック辞めてもらえません🔥,1/4,1.0,conflict_or_uncertain
>>128 死んだら終わりとか書いてる名前無しは私が書いてるのではありません,1/4,0.8,conflict_or_uncertain
家康の時の最大目標は文禄・慶長の役の後始末、明や朝鮮との関係回復だと思うよ それが終わらなきゃ対外政策は何も始まらんし何も出来ない んで明（と後継の清も）が海禁してる以上は合わせないと,1/4,1.0,conflict_or_uncertain
３ヶ月ぶりに来たら、やはりここほど、、意味のない場所は無いから、人が減っていた。 過疎なのに更にメンバーが減っていた。 さすがに知能100以上有るのは私だけだから 私が、消えたら、意味ないから 毎日同じ落書きする人しか残らないからね。 その他の人は ここには落書きを見に来るだけになるから。 やめざるをえない という循環,2/3,1.0,conflict_or_uncertain
特権階級の俺様から金取ろうとは・・・これいかに。 無条件降伏すればいいものを・・・。 逆らうのかね・・・この俺様に。,4/1,0.8,conflict_or_uncertain
>>35 名前無しはびまたん違うよ。 もっともっと偏差値高いよ😃,1/4,0.8,conflict_or_uncertain
勝手な想像だが妹は美人っぽい。 結婚して幸せにしてるのかな？,2/3,0.8,conflict_or_uncertain
宇宙と一体になる！弘法大師空海の希少な遺法『阿字観』体験 | 『和空』 修行と宿坊のポータルサイト https://wa-qoo.com/s.../wakayama/act160513/ #367【高野山真言宗 仏前勤行次第】 : 大聖歡喜天宗 夜郎自大院 北斗法蓮 https://houren.doorb...rchives/1001944.html 癒しの響き〜 仏前勤行次第〜 - YouTube https://www.youtube..../watch?v=wYrhVDk8fig,1/4,0.8,conflict_or_uncertain
聖書が原語で読めたなら −−−聖書語学の証しと勧め 大久保史彦 聖書語学同好会 １４ メシアとキリスト ｐ４４−４５ メシアということばはふつう「救い主」と訳されていますが、 ヘブル語では「油注がれた者」という意味です。 旧約時代には、王や祭司として神に代わって民を治めるべく任命されるときに、 頭に油を注がれて、その特別の使命を受けた印としたことに由来しています。 ヘブライ語 マーシャハ（動詞）「油を注ぐ」 ヘブライ語 マーシーアハ（名詞）「油注がれた者」（メシア） ギリシア語 クリーストス（名詞）「油注がれた者」（キリスト） ギリシア語 クリーオー（動詞）「油を塗る」,1/4,0.8,conflict_or_uncertain
談話室で鹿がモメてるのだが みんなにアンケートを取ってほしい このスレにも導入して欲しい そうですよ。 そしてここには歓談の為に。 でも、こうして彼から執拗に誹謗中傷を受けてます。 どれが最適だと思いますか？ １．彼が誹謗中傷をやめる。 ２．彼がこのスレから出て行く。 ３．ワッチョイを導入。 ４．私がこのスレから出て行く。 ５．その他。 僕は４ 1択ですよ笑,1/4,0.8,conflict_or_uncertain
カレルチャペック紅茶店の福袋もうすぐ来るかもしれない。 コンビニ払いにしてるから現金じゃん。 もう無理。スマホだけじゃなく他も滞納するしかない。,1/4,1.0,conflict_or_uncertain
>>902 結局、お前らの誰一人として、 俺の 悪魔ユダヤ共産主義に反論してないから、お前らも内心、俺の言ってることに心が揺らいでるだろ？ 正直に言えよwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww サタン=ユダヤ共産主義 な 統一教会は叩くのに、日本に原爆を落として、100万人以上殺したユダヤ共産主義とその手下の中国共産党は叩かないのなんで？ お前はユダヤ主義者か？ やっぱ、お前らって中国共産党員でオケー？ 壺連呼中国共産党員=ソドムとゴモラの悪徳同性愛LGBT支持=ユダヤ共産主義支持 統一教会=反ポリコレ、反LGBT、反ユダヤ共産主義=大正義確定 壺が口癖の中国共産党員が反対しているから、統一教会が大正義なの確定 統一教会を応援して、世界をLGBTとポリコレの魔の手から守ろう 韓国人も在日韓国人も日本人も台湾人も中国人も ユダヤ人もパレスチナ人も同じ地球人 仲良くしましよう 人類皆兄弟 一日一善 大地球共栄圏万歳,3/2,0.8,conflict_or_uncertain
蓮舫追い越して石丸が二位とか無理筋だからね 誰もが知ってる事実 票改ざん自民は欲ばって墓穴掘ったのさ,4/1,0.8,conflict_or_uncertain
クロニクルによると前後編に分かれているものは重工業含めてない ヒストリアで樋口監督読んだりしてるので特別枠なんだろうと考察はするけど 実際のところは制作者側じゃないと分からない,3/2,0.8,conflict_or_uncertain
新規をどういう意味で使ってるのか分からないけど NHK(Eテレ含む)で放送されたものと解釈すると タローマン(10話分) タローマンヒストリア おやすみタローマン 帰ってくれタローマン 知りたいことと違ってたならまた聞いてくれ,2/3,0.8,conflict_or_uncertain
>>159 それともお前の立場は 「統一教会は嘘をつかないけど 街宣右翼の韓国人は嘘をつく」 って感じ？,2/3,0.8,conflict_or_uncertain
"ーーー 『崇拝』と『崇敬』との『違い』 ー マタイ6:24 だれも、 『""ふたりの主人""に兼ね仕えることはできない』。 一方を憎んで他方を愛し、あるいは、一方に親しんで他方をうとんじるからである。 あなたがたは、 『""神と富""とに兼ね仕えることはできない』。 ー 『""父""に""頼り""、""母""を""護り背負う""』 故の『""父""への""崇拝""、""母""への""崇敬""』 ・・・『""聖母の騎士""足る""子""』より。 ーーー",3/2,0.8,conflict_or_uncertain
お前ら 人類皆兄弟 この考えに異論はねえべ？ なら、俺達について来い 俺達、神の軍隊に 待ってろ 今、俺達が、LGBTという悪魔軍からお前らを解放してやる,1/4,0.8,conflict_or_uncertain
( ;´Д`) 奈良及び西関西はヤバイ連中がたくさんいるな・・山上といい高市といい。 山上は日本の首相ぶっ○すし、 高市は中国と全面核戦争宣言するし、 もうとにかく普通じゃない、ヤバイ怖い。不穏過ぎる。怖い連中消えろー！😨 二階や竹中ｹｹもヤバイし大阪はアレだし、兵庫なんて自治体全体がもうくるってるからな・・ ( ;´Д`) 🍊みかんも和歌山は避けて熊本や愛媛のを買ってる。スーパーで山積みになってる和歌山産は絶対買わない。 九州や四国は普通の日本だからな。安心できるよ。,2/3,0.8,conflict_or_uncertain
地に住む者で、ほふられた 小羊のいのちの書に、 その名を世の初めから 記されていない者はみな、 この獣を拝むであろう。,2/3,0.8,conflict_or_uncertain
イエスは光だったのです。,2/3,0.8,conflict_or_uncertain
それ、性犯罪。,1/4,1.0,conflict_or_uncertain
https://www.youtube....lFeyPI&start_radio=1 希望から絶望へと・・・,2/3,0.8,conflict_or_uncertain
>>583 山上も批判される理由がないわけではないという話をしているだけだぞ,3/2,0.8,conflict_or_uncertain
それゆえ、万軍の主、 イスラエルの神は言われる、 わたしは生きている。 モアブは必ずソドムのようになる。 アンモンの人々はゴモラのようになる。 いらくさと塩穴とが ここを占領して、 永遠に荒れ地となる。 わが民の残りの者は 彼らをかすめ、 わが国民の残りの者はこれを所有する」。,2/3,0.8,conflict_or_uncertain
十字の印 聖父と聖子と聖霊との御名によりて。 アーメン。 使徒信経 われは、天地の創造主、全能の父なる天主を信じ、 また その御独り子、われらの主イエズス・キリスト、 すなわち、 聖霊によりて宿り、童貞マリアより生まれ、 ポンシオ・ピラトの管下にて苦しみを受け、 十字架に付けられ、死して葬られ、古聖所に降りて、 三日目に死者のうちよりよみがえり、 天に昇りて全能の父なる天主の右に座し、 かしこより生ける人と死せる人とを裁かんために、 来り給う主を信じ奉る。 われは聖霊、聖なる公教会、諸聖人の通効、 罪のゆるし、肉身のよみがえり、終りなき命を信じ奉る。 アーメン。 主祷文 天にましますわれらの父よ、 願わくは御名の尊まれんことを、 御国の来らんことを、 御旨の天に行わるる如く地にも行われんことを。 われらの日用の糧を、今日われらに与え給え。 われらが人に赦す如く、われらの罪を赦し給え。 われらを試みに引き給わざれ、われらを悪より救い給え。 アーメン。 キリストに向う祈 願わくはキリストの御魂われを聖ならしめ、 キリストの御体われを救い、 キリストの御血われを酔わしめ、 キリストの御側腹より滴りし水われを潔め、 キリストの御受難われを強めんことを。 慈愛深きキリスト、わが願いを聴き容れ、 御傷のうちにわれを隠したまえ。 主を離るるを許し給わず、悪魔のわなよりわれを護り給え。 臨終の時にわれを招き、主の御許にいたらしめ、 諸聖人と共に、世々に主を賛美するを得しめ給え。 アーメン。 天使祝詞 めでたし、聖寵充ち満てるマリア、主御身と共にまします。 御身は女のうちにて祝せられ、 御胎内の御子イエズスも祝せられ給う。 天主の御母聖マリア、罪人なるわれらのために、 今も臨終のときも祈り給え。 アーメン。 栄唱 願わくは、聖父と聖子と聖霊とに栄えあらんことを。 始めにありし如く、今もいつも世々にいたるまで。 アーメン。,1/4,0.4,conflict_or_uncertain
>>806 そんじゃ、ヤハウェもサタンも認めない無神論者も、イエスをキリストと認めないムスリムも、一緒に裁判無しで地獄直行かwwww,3/2,0.8,conflict_or_uncertain
自民党「旧統一教会と接点」の議員を公表もさっそく「関係隠し」議員を発見！ 「大甘点検」が浮き彫りに 2022年9月9日 https://smart-flash....politics/200151/1/1/ https://pbs.twimg.co...t=jpg&name=4096x4096,2/3,0.8,conflict_or_uncertain
まだ統一教会とか言ってんのかよ 左翼ってそれしか言えんのか,4/1,0.8,conflict_or_uncertain
>>39 love&peaceをテレビで望むまたはネットで叫ぶ人が、俺への生贄になりに来ないのだから、キリスト役とはなりたくてなるものでは無く、ある種の罠にはめることで陥れた側面がある 被害者の会を結成します,1/4,0.8,conflict_or_uncertain
前田玄以はスゲーよ。五奉行で治部派でありながら西軍には参加せず かと言って家康に寝返ったわけでもなく(大阪城の内部情報の密告など 多少はやったかもしれんがw)中立で生き残ったわけだし まあ、裏切りじゃないっ中立なんだっ！の人より ある意味で悪どいかもしれんが･･･,2/3,0.8,conflict_or_uncertain
>>272 >>273 ヒャッハーだかレッツパーリィだか知らんが慶長三陸地震で伊達の仙台藩が食らったダメージのほうがはっきりとした被害判明してる これで天正地震時の秀吉による徳川を武力で殲滅が幻に終わったように 伊達の倒幕とかスペイン通じて天下を乗っ取ろうとした野望が露と消えたのかも 今となっては確かめようもないこと,2/3,0.8,conflict_or_uncertain
海外では日本人はワクチン打ちすぎて、絶望的な言い方されてるポスト澤山拝見するけど。 梅干しで復活したことアピールしまくるぞ https://x.com/maruko.../1985711420034727942,3/2,0.8,conflict_or_uncertain
「小梅伊東はどうか？と聞かれるが基本的に嫌いではない」 「ソーカガッカリの精糖とかCIAのスパイとは思ってません」,1/4,0.8,conflict_or_uncertain
山上徹也くん好き❤,1/4,0.8,conflict_or_uncertain
>>867 モトバスが杉浦の岩間になってしまう,1/4,0.8,conflict_or_uncertain
「どこそこに入れてくれ」って言うだけなら別にセーフという事になってるからなあ… 投票の見返りに金もらったとか不在者投票を代わりにやったとか無いのか？,1/4,0.8,conflict_or_uncertain
特定の候補者 これ安倍晋三とその残党らすべてな,4/1,0.8,conflict_or_uncertain
ヒステリアモードの種類が大変なことになってそう,1/4,0.8,conflict_or_uncertain
どうせ逃げるならコレコレさんのところにもう１回出させてもらえよ,2/3,0.8,conflict_or_uncertain
永田さんが、いいんだね。殺っちゃってについて話してるぞ,1/4,0.8,conflict_or_uncertain
>>34 現実 FF11 好調です！ 1億が1.5億になりました！ DQ10 好調です！3億が4億になりました！ FF14 不調だわ～。100億が90億になっちゃった😢 ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,1/4,0.8,conflict_or_uncertain
>>601 テロリスト ↓ 特定の主義主張に基づき、人々に恐怖や不安を与える目的で、暴力的な活動を行う個人または集団 はいマザコンの山上おじさんは完全にテロリストでした〜 死ね。,4/1,0.8,conflict_or_uncertain
https://rio2016.5ch..../psy/1759966174/482n ＞マグダラのマリア福音書とトマス福音書について https://rio2016.5ch..../psy/1759966174/505n ＞マニ教で採用されたが故に、 ＞その異端さが憎まれ、正典から完全に排除されてしまった文書である。 新約聖書の正典化について 新約外典 http://elbaal.web. ＦＣ2.com/new-tes-apo.htm （ＦＣを半角に） アタナシオス以前の時代はどうかというと、 外典は多くの場合「偽書」などと呼ばれていました。 この時代の新約聖書外典の代表的な分類をしたのは アレクサンドリアのオリゲネス（紀元１８５〜２５３/４）と カイサレイアのエウセビオス（紀元２６０頃〜３３９頃）です。 オリゲネス分類 教会の書 公認されたもの マタイ、マルコ、ルカ、ヨハネの４福音書、使徒行伝、パウロの１３の手紙、 ペテロの第１の手紙、ヨハネの黙示録、ヨハネの第１の手紙、ヘブライ人への手紙 疑わしきもの ペテロの第２の手紙、ヨハネの第２、第３の手紙、ヤコブの手紙、ユダの手紙、 バルナバの手紙、ヘルマスの牧者、ディダケー（１２使徒の教書） 偽書 エジプト人福音書、１２使徒の福音書、バシリデス福音書、トマス福音書、マッテヤ福音書 ヘブル人福音書、パウロ福音書は偽書の認定であろうとされており確定ではない模様。 エウセビオス分類 公認されたもの マタイ、マルコ、ルカ、ヨハネの４福音書、使徒行伝、パウロの１３の手紙、ペテロの第１の手紙 （ヨハネの黙示録・ここであろうと推測されている） 問題のあるもの 知られているもの ヤコブの手紙、ユダの手紙、ペテロの第２の手紙、ヨハネの第２、第３の手紙 問題のあるもの 偽書 パウロ行伝、ヘルマスの牧者、ペテロの黙示録、バルナバの手紙、ディダケー（１２使徒の教書） （ヨハネの黙示録、ヘブライ人福音書・ここであろうと推測されている） 異端の書 ペテロ福音書、トマス福音書、アンデレ行伝、ヨハネ行伝,1/4,0.4,conflict_or_uncertain
いきなり差別かよ アカッパリらしいな,4/1,1.0,conflict_or_uncertain
佐々木の血とお家は京極竜子がギリギリ繋いだって感じよな 六角や尼子が潰れて本当にヤバかったんやろな,3/2,0.8,conflict_or_uncertain
神の戒め 十戒とか福音を聞く耳が あるなら愛せって事だろう,3/2,0.8,conflict_or_uncertain
「プロレススーパースター列伝」の漫画家・原田久仁信さん死去 https://news.yahoo.c...537d5ff48d4f63658500 プロレススーパースター列伝で永田さんの話を読みたかった お悔やみ申し上げます,1/4,0.8,conflict_or_uncertain
>>473 自分が知らないだけなのにイキれるシアワセなオツムの子はほっときなさい,3/2,1.0,conflict_or_uncertain
20歳歳下はバカだから スクワット3万回分の運動とか書いてないけどな,3/2,1.0,conflict_or_uncertain
中止まじか 仕方ないな,1/4,1.0,conflict_or_uncertain
人ひとりを怨恨から殺害しただけ 法治国家として法に則って断罪や まあ懲役6～8年ってところやな,4/1,0.8,conflict_or_uncertain
2025.11.18 吉本興業、中国公演中止を発表 上海コメディフェス4公演、人気芸人&新喜劇登場予定も「やむを得ない事情により」 https://hayabusa9.5c...mnewsplus/1763458002 >さくらを見る会で安倍晋三さんと反日ポーズやってる写真が出てるし >吉本興業は学会員か在日朝鮮人じゃないと売り出しませんよと項目がある,1/4,0.8,conflict_or_uncertain
>>680 すいせいくらいやね,2/3,0.8,conflict_or_uncertain
>>393 人へ向かって「悪魔」と言う奴にロクな奴はいない。 人は人だ。悪魔ではないからな。 他者を悪魔呼ばわりするクズは福音派に多いけど。,3/2,0.8,conflict_or_uncertain
ざぜんもさどうも素人以下で福音伝道を誹謗中傷・・大学を聴講? 悪魔の証明完了,2/3,1.0,conflict_or_uncertain
発狂が収まらない？ ↓ https://i.imgur.com/qlzO0i0.png いやはや💦 泡沫カルト団体の洗脳を受けた末端信者の末路とか、悲惨な者ですな😖,2/3,0.8,conflict_or_uncertain
【【インマニエル】】9 https://rio2016.5ch.....cgi/psy/1749712019/ このスレはナザレのイエスについて、あるいはイエスを中とする信仰や思想、 暦的な事象などについて 特定の信仰によらず、理性と事実を基に、そしてできる限り隣人愛を持って、 広く自由に議論するスレです。 自分の信仰表明やその信仰の説明、 あるいは特定の信仰に対する説明や意見は構いませんが 特定の信仰が真理であることを前提にしたスレではありません。 あくまでも真理は探究するという立場で議論してください。 特に正統キリスト教が真理であると主張する方は、 相当のスレを立て、そこで議論してください。 ここは正統キリスト教が正しいことを所与の前提としたスレではありません。 ※他人のハンドルを騙ったり、他人を名無しで誹謗する卑劣な人間がいるので、 書き込む方は、必ずハンドル名を入れてください。 前スレ 【【インマニエル】】８ https://rio2016.5ch.....cgi/psy/1748980457/,2/3,0.8,conflict_or_uncertain
キリスト教会行っても無理。 治んねえからこいつら。 免罪符は通じない。。 救うな・・・Jesus。 俺様ならびに後の世からの命令。,4/1,0.8,conflict_or_uncertain
確信犯,2/3,0.8,conflict_or_uncertain
ーーー 0343 カルト組は責任を取りなさい 2025/11/01(土) 15:49:26.21 人間の証明をしなさいーーーーー🔥 ↑ ・・・母さん、僕のあの帽子、どうしたでしょうね？ ・・・A CHI CHI A CHI 燃えてるんだろうか〜♪ ・・・もうA CHI CHI A CHI 感じたんだろうか〜♪ ーーー,3/2,0.8,conflict_or_uncertain
それで終わりでお前らは何時間誹謗中傷我慢できるんだ？,2/3,0.8,conflict_or_uncertain
>>445 涙が止まらないことはないけど一国のトップがカルト宗教と関係持って堂々と紙面に載ってるのは異常としか言いようがない よく放置されてたね 知ってる人は知ってたんでしょ？ 他の政治家達がカルトとつるんでたことも,4/1,0.8,conflict_or_uncertain
そこもコンジョイw 主観的である。。,1/4,0.8,conflict_or_uncertain
雑菌キンレコ・ファミリア 恩知らず所か 反社必死過ぎんだろさっさと始末した方がいいだろ,2/3,1.0,conflict_or_uncertain
2年やったら自然に治ってた,2/3,1.0,conflict_or_uncertain
>>232 彼ら書き込みのテンプレート共有してるからだろうけど同じことしか言わないから分かりやすいよな,2/3,1.0,conflict_or_uncertain
G7の時にでもバイデンに「資金援助や小方支援だけじゃ 評価しない。ブーツオンザグラウンドとか言ってた米軍は ウクライナにブーツオンザグラウンドしないんですかねぇ」って 言ってやればいいのに,1/4,1.0,conflict_or_uncertain
夜のおかず https://x.com/av_sen.../1814604255074156679 https://x.com/av_sen.../1814605831805284445,3/2,0.8,conflict_or_uncertain
岡本太郎×特撮『大長編 タローマン 万博大爆発』予告編、ポスター完成,1/4,0.8,conflict_or_uncertain
結果として統一解散だし凄いよね 無罪でいいと思うわ,2/3,0.8,conflict_or_uncertain
洋画劇場イギリス映画「セーラ」を見てました。 子供の時学校の図書室で読みました。 づっと前、孫がテレビの前で静に座って涙を流している ので何を見ているのだろうと見ると「少女セーラの物語」 だった、とママが言ってた。 悪戯ばかりの孫もこんな優しい反面があるのだなあと、 ほのぼのとした記憶があります。,1/4,0.8,conflict_or_uncertain
>>991 それは裁判で明確に否定された,2/3,0.8,conflict_or_uncertain
他人の気持ちも知らないで。。 知るかこらあ！！！,3/2,0.8,conflict_or_uncertain
早く円盤出ないかな,1/4,0.8,conflict_or_uncertain
>>6 無能でリーカー捕まえられないだけなら対応中ですで逃げずに開示できなかったと株主に説明してるだろ 対応中です対応中ですで何ヵ月も逃げてるのは処分したくないからにしか見えない,2/3,0.8,conflict_or_uncertain
>>147 ここでは私の娘の一人をロリコン幼女殺人した自慢はしないのか？,2/3,0.8,conflict_or_uncertain
人類の発展にとって偉大な人物は、既存の道徳や法律を超えて行動する権利がある 山上さんはリアルなラスコーリニコフだったのだ！,1/4,0.8,conflict_or_uncertain
>>138 たぶん「差別してる！愛なんて嘘だ！」とか言いたくて貼ってるんだろうけど違うよ パリサイ人とはユダヤ教義を至上の物として選民的な思想をしてる人達 そしてヘロデと言うのはローマの元でユダヤを支配してるユダヤ王 彼らは教義や権力で愛を阻害してる存在だからね 彼らの提示する言葉や権力、物質的な誘惑によって愛を見失うなと言ってるんだよ そしてその後にイエスはパンや魚を増やして見せたけどこれは愛は物質や選民の教義などと違い無限に人を満たすという比喩,1/4,0.8,conflict_or_uncertain
いいかい？ 韓国人を差別したり、ネトウヨを差別したりしてはいけないよ それは悪魔の考え 日本人も韓国人も、中国人も全ての人類を平等に扱うのが神様の教え これが正義なんだ！！,3/2,0.8,conflict_or_uncertain
過去の贖罪で聖職者目指したの？神に懺悔する前に相手に謝罪する事が先だろ！人としてどうなんだよ。,3/2,1.0,conflict_or_uncertain
これじゃ自動で閉まらないね,1/4,0.8,conflict_or_uncertain
ラーメン屋の本家と元祖の争いみたいなもんですからな,1/4,0.8,conflict_or_uncertain
まぁ、吹奏楽関係者目当てで海外オケが来日公演でコダーイの孔雀変奏曲やったこともあるしな。,1/4,0.8,conflict_or_uncertain
もっと具体的にあげて事実無根って聞きたかった,1/4,1.0,conflict_or_uncertain
>>284 私有財産の禁止とか共産主義みてーだな,3/2,1.0,conflict_or_uncertain
>>724 なんかお前らおかしくね？ 統一教会は叩くのに、日本に原爆を落として、100万人以上殺したユダヤ共産主義とその手下の中国共産党は叩かないのなんで？ お前はユダヤ主義者か？ やっぱ、お前らって中国共産党員でオケー？ 壺連呼中国共産党員=ソドムとゴモラの悪徳同性愛LGBT支持=ユダヤ共産主義支持 統一教会=反ポリコレ、反LGBT、反ユダヤ共産主義=大正義確定 壺が口癖の中国共産党員が反対しているから、統一教会が大正義なの確定 統一教会を応援して、世界をLGBTとポリコレの魔の手から守ろう 韓国人も在日韓国人も日本人も台湾人も中国人も ユダヤ人もパレスチナ人も同じ地球人 仲良くしましよう 人類皆兄弟 一日一善 大地球共栄圏万歳,3/2,0.8,conflict_or_uncertain
>>149 シェディングか,1/4,0.8,conflict_or_uncertain
>>666 安倍さんだって 結局統一教会に使い捨てられて 死んだようなもんだ,4/1,0.8,conflict_or_uncertain
アメリカ:ワシントン…？,1/4,0.8,conflict_or_uncertain
>>17 7年前に排膿したところが、そろそろ限界そうなんで、今日取ってもらって来た 直径4cmくらいの白いプルプルしたのが出て来たわ 医者に「良く育ってましたね、この大きさで炎症起こすと相当痛いだろうから取れて良かったですね」って言われた,1/4,0.8,conflict_or_uncertain
>>416 やはり思った通り宗教者ではなく学者だった訳だな 学者というものは何処までも学者であって信仰者じゃない 学者の本分は信じないことを本分とする故に信仰は無い 自分が学者ならばその体で良いがそうでないならそれは非常に自虐的なことだ,3/2,0.8,conflict_or_uncertain
40年前ぐらいに統一教会が霊感商法や合同結婚式のことでマスコミからバッシングされていた時があったけれどもあの時につぶしておくべきだったな。,1/4,0.8,conflict_or_uncertain
日本人に何もできないとか言った竹中とホリエモンが悪い やろうと思えばいつでもできる(´・ω・｀),3/2,0.8,conflict_or_uncertain
>>863 文革毛沢東ライブになっちまった,1/4,0.8,conflict_or_uncertain
