index,original,back_translated,path
5,比较搞笑的是现在愿意给人提供帮助的天主教当初是刮民脂民膏最狠，当初反对天主教过度世俗化腐败而成立的新教，现在站在了当初天主教的地位上，历史果然是螺旋上升。,讽刺的是，如今愿意帮助民众的天主教会，曾经却是剥削民众最无情的教会；而当初为反对天主教过度世俗化和腐败而创立的新教教会，如今却落得与当年天主教同样的下场。历史的确是螺旋式上升的。,en
2,额，我昨天刚听别人说是因为一些不能说的秘密，如果被披露会震荡整个天主教世界。所以他不得不选择退位。想想这是教廷历史上600年来的第一次，就知道背后的事件有多么大。。。。了,我昨天刚从人那里听说，他退位是因为一些不可告人的秘密，一旦曝光，将会震惊整个天主教世界。所以他别无选择，只能退位。考虑到这是梵蒂冈600年历史上的第一次，你可以想象这背后的事件有多么重大……,en
6,我好像在兰迪的书里面看到过这个名字，貌似害死不少脑残信徒,我好像以前在兰迪的书里看到过这个名字；显然，它导致了许多被洗脑的追随者丧命。,en
1,回复 信仰红领巾 :你这个阿米念异端就不要和阿米念异端胡椒味道狗咬狗了！咋的？你不是攻击加尔文神学吗？你不是鬼扯上帝预知亚当堕落所以堕落后拣选吗？！滚🥚！,回复 Faith Red Scarf：你这个阿民念主义异端，别像条狗一样跟阿民念主义异端打架！什么？你不是在攻击加尔文主义神学吗？你不是在胡说八道什么上帝预见了亚当的堕落，所以才在堕落之后拣选他吗？！滚开！,en
18,耶稣用什么和孔子比，就凭耶稣画的大饼吗,耶稣用什么来与孔子作比较呢？仅仅是耶稣自己做出的那些空洞的承诺吗？,en
13,@上海人李�::文明是物质性的、生存的、基于欲望的；文化是精神性的、存在的，基于心灵的。中世纪的黑暗，文革式的野蛮，既剥夺欲望的合理性和生存的权利，又禁锢自由、摧残心灵、践踏文化。日常人生，要的是生存的权益；诗意存在，要的是思想、信仰、言论、写作、出版等等的人文创造的自由。,@上海居民李：文明是物质的、存在的，建立在欲望之上；文化是精神的、存在的，建立在思想之上。中世纪的黑暗和文化大革命的野蛮不仅剥夺了人们欲望的合法性和生存的权利，而且囚禁了自由，摧毁了思想，践踏了文化。在日常生活中，我们需要的是生存的权利；而对于诗意的存在，我们需要人文创造的自由，包括思想、信仰、言论、写作和出版的自由。,en
12,"你电我 我受了
你下基督教的地狱
还有出来的时候吗",你吓到我了，我接受了。你会下基督教地狱的。你还会出来吗？,en
17,必须在第一次受到欺负的时候就灭了它们这群基督狗,这些信奉基督教的狗，第一次被欺负就必须被消灭。,en
4,上帝看了这种东西不降下天火只能说明上帝根本不存在,上帝看到这种情况没有降下火来，这只能证明上帝不存在。,en
16,因为你口中的那些小鬼借着“0T”的名头到处拉踩啊，引起反感很奇怪吗？举个例子你信佛的，没事就有人跑过来说你得信耶稣，信耶稣才能得永生，信佛没用，信佛的都是nt，我想知道你会咋想，你会觉得跑来布道的是sb，顺带也会觉得耶稣是sb的。,你提到的那些小恶魔用“0T”这个名字散播负能量、挑拨离间，这难道不奇怪吗？举个例子，如果你是佛教徒，有人一直跟你说你必须信耶稣才能获得永生，说佛教没用，说佛教徒都是傻瓜，我想知道你会怎么想。你会觉得传教的人是傻瓜，进而觉得耶稣也是傻瓜吗？,en
15,什么新世代十字军,新一代十字军战士是什么？,ko
14,伪基督们在造势了,假基督势力正在壮大。,ko
11,也就是举报给非基督徒，哥林多书说得不够明白吗？你们逞者情欲发泄自己。,换句话说，这是传达给非基督徒的信息，而《哥林多前书》中难道还不够清楚吗？“你们随心所欲，满足自己的私欲。”,ko
8,圣母会牺牲自己拯救他人，而且不损害他人利益，圣母婊也会牺牲自己拯救他人 但是会绑架所有人一起来成全自己的名声，更甚一点是直接牺牲他人来成全自己,圣人通过牺牲自己来拯救他人，而不会损害他人的利益；而伪君子虽然牺牲自己来拯救他人，却操纵他人来提升自己的名声，甚至不惜直接牺牲他人来实现自己的目标。,ko
3,@包包狗头两基友 卖国贼不敢来此吧受死，你在那破吧叫的精疲力尽有个P用，能掩盖你卖国贼的本性？基督狗！,@BaoBaoDogHeadTwoFriends 你这叛徒连来这儿送死都不愿意，在这种破论坛里扯着嗓子喊有什么用？你连你的叛徒本性都藏不住吗？你这基督徒混蛋！,ko
0,经典圣母婊慷他人之慨,一个典型的虚伪之人，却对别人的钱表现得慷慨大方。,ko
18,耶稣用什么和孔子比，就凭耶稣画的大饼吗,耶稣以何为依据将自己与孔子相提并论？难道这些都只是空洞的承诺吗？,ko
12,"你电我 我受了
你下基督教的地狱
还有出来的时候吗",你吓到我了，但我忍住了。你会下基督教地狱的。你真的能从那里出来吗？,ko
10,美国基督徒都破大防了大殖子还搁这赢呢,美国基督徒已经突破了所有防线，但真正的赢家仍在继续获胜。,ko
17,必须在第一次受到欺负的时候就灭了它们这群基督狗,这些信奉基督教的狗一旦受到骚扰，就必须立即被消灭。,ko
16,因为你口中的那些小鬼借着“0T”的名头到处拉踩啊，引起反感很奇怪吗？举个例子你信佛的，没事就有人跑过来说你得信耶稣，信耶稣才能得永生，信佛没用，信佛的都是nt，我想知道你会咋想，你会觉得跑来布道的是sb，顺带也会觉得耶稣是sb的。,你提到的那些反派利用“0T”这个名字散播负面情绪、煽动仇恨，难道不觉得奇怪吗？举个例子，如果你是佛教徒，有人却一直说你必须信耶稣才能获得永生，或者说佛教没用，所有佛教徒都是傻瓜，你会怎么想？你会觉得说这种话的人是傻瓜吗？如果是这样，你也会觉得耶稣是傻瓜吗？,ko
13,@上海人李�::文明是物质性的、生存的、基于欲望的；文化是精神性的、存在的，基于心灵的。中世纪的黑暗，文革式的野蛮，既剥夺欲望的合理性和生存的权利，又禁锢自由、摧残心灵、践踏文化。日常人生，要的是生存的权益；诗意存在，要的是思想、信仰、言论、写作、出版等等的人文创造的自由。,@Li，上海居民：文明是物质的、存在的，建立在欲望之上。而文化则是精神的、存在的，建立在精神之上。中世纪的黑暗时代和文化大革命的野蛮行径不仅剥夺了人们欲望的合法性和生存的权利，还压制了自由，摧毁了精神，践踏了文化。生存的权利是我们日常生活的必需，而诗意的生活则需要人文创造的自由，包括思想、信仰、言论、写作和出版的自由。,ko
1,回复 信仰红领巾 :你这个阿米念异端就不要和阿米念异端胡椒味道狗咬狗了！咋的？你不是攻击加尔文神学吗？你不是鬼扯上帝预知亚当堕落所以堕落后拣选吗？！滚🥚！,回复“戴红围巾的脸”：你这个阿民念主义异端，别像条狗一样跟阿民念主义异端打架！什么？你不是攻击过加尔文主义神学吗？你不是胡说八道说上帝预见了亚当的堕落，所以才在堕落之后拣选了他吗？！滚开！,ko
2,额，我昨天刚听别人说是因为一些不能说的秘密，如果被披露会震荡整个天主教世界。所以他不得不选择退位。想想这是教廷历史上600年来的第一次，就知道背后的事件有多么大。。。。了,我昨天从某人那里听说，原因是一个不可告人的秘密。他们说，如果这个秘密被揭露，将会震动整个天主教世界，所以教皇别无选择，只能退位。鉴于这是梵蒂冈600年历史上第一次发生这样的事情，你可以想象事态的严重性……,ko
19,呵呵，所有正面宗教的教义都有一个共同点！你们没发现吗？哈哈哈哈哈！还你的我的！道的佛的耶稣的真主的！哈哈哈哈哈！,哈哈，所有正统宗教的教义都有一个共同点！你没注意到吗？哈哈哈！归根结底，一切都与你我有关！道教、佛教、耶稣、真主！哈哈哈！,ko
5,比较搞笑的是现在愿意给人提供帮助的天主教当初是刮民脂民膏最狠，当初反对天主教过度世俗化腐败而成立的新教，现在站在了当初天主教的地位上，历史果然是螺旋上升。,具有讽刺意味的是，如今致力于帮助民众的天主教会，曾经却是最残酷剥削民众的机构；而为对抗天主教过度世俗化和腐败而创立的新教，如今却发现自己陷入了与当年天主教会同样的困境。历史真是充满悖论。,ko
6,我好像在兰迪的书里面看到过这个名字，貌似害死不少脑残信徒,我好像在兰迪的书里见过这个名字。我听说很多被洗脑的信徒都因为这个名字而死。,ko
14,伪基督们在造势了,假基督正在蔓延。,fr
15,什么新世代十字军,新一代的十字军战士？,fr
0,经典圣母婊慷他人之慨,典型的虚伪道德家，却慷慨地挥霍别人的钱财。,fr
8,圣母会牺牲自己拯救他人，而且不损害他人利益，圣母婊也会牺牲自己拯救他人 但是会绑架所有人一起来成全自己的名声，更甚一点是直接牺牲他人来成全自己,圣人会为了拯救他人而牺牲自己，同时不损害自身利益；伪君子也会为了拯救他人而牺牲自己，但他会操纵所有人来提升自己的名声，或者更糟的是，会直接牺牲他人来达到自己的目的。,fr
18,耶稣用什么和孔子比，就凭耶稣画的大饼吗,耶稣在比较孔子时指的是什么？仅仅是孔子那些空洞的承诺吗？,fr
3,@包包狗头两基友 卖国贼不敢来此吧受死，你在那破吧叫的精疲力尽有个P用，能掩盖你卖国贼的本性？基督狗！,@BaoBaoDogHeadTwoFriends 你们这些叛徒根本不敢来这里送死。在这个可悲的论坛上嚎叫到嗓子都哑了有什么用？难道这还不能掩盖你们的叛徒本性吗？你们这些伪君子！,fr
9,//@如鹰展翼而上:回复@陈老坎:找到了，中新网采访了叶开，叶开（应该就是@老虎不吃��）说的。http://t.cn/zjiVDYr //@如鹰展翼而上:诺贝尔文学奖得主@莫言 同志他妈妈是基督徒这件事的文献参考资料出自哪里啊？,//@如鹰展翼而上：回答@陈老坎：找到了。中国新闻网采访了叶凯，叶凯（@老虎不吃��）这样说道。 http://t.cn/zjiVDYr //@如鹰展翼而上：诺贝尔文学奖获得者@莫言的母亲是基督徒的文献参考来源在哪里？,ko
10,美国基督徒都破大防了大殖子还搁这赢呢,美国基督徒已经突破了所有防线，然而最大的赢家却继续获胜。,fr
17,必须在第一次受到欺负的时候就灭了它们这群基督狗,这些信奉基督教的狗，一旦第一次遭受欺凌，就必须被清除。,fr
4,上帝看了这种东西不降下天火只能说明上帝根本不存在,上帝看到这一切却没有降下火来，这只能证明上帝不存在。,ko
7,你看到的不是圣经，是不懂圣经的人写的乱七八糟的文章,你现在看到的并非圣经。它只不过是一团乱麻，出自一个不懂圣经的人之手。,ko
12,"你电我 我受了
你下基督教的地狱
还有出来的时候吗",你吓到我了，但我坦然接受了。你会下基督教地狱的。你还能出来吗？,fr
11,也就是举报给非基督徒，哥林多书说得不够明白吗？你们逞者情欲发泄自己。,换句话说，对于非基督徒——《哥林多前书》的教导难道还不够清楚吗？“你们要满足自己的欲望，给自己想要的东西。”,fr
14,伪基督们在造势了,假基督的势力正在壮大。,de
1,回复 信仰红领巾 :你这个阿米念异端就不要和阿米念异端胡椒味道狗咬狗了！咋的？你不是攻击加尔文神学吗？你不是鬼扯上帝预知亚当堕落所以堕落后拣选吗？！滚🥚！,回复 Faith Red Scarf：英勇的阿民念主义者，别像条狗一样跟其他阿民念主义异端分子打架了！什么？你没攻击加尔文主义神学？你没胡说八道什么上帝预见了亚当的堕落，所以才在堕落之后拣选了他？！滚开！,fr
19,呵呵，所有正面宗教的教义都有一个共同点！你们没发现吗？哈哈哈哈哈！还你的我的！道的佛的耶稣的真主的！哈哈哈哈哈！,哈哈，所有正统宗教的教义都有一个共同点！你没注意到吗？哈哈！我们最终都会回归自身！道教、佛教、耶稣、真主！哈哈！,fr
6,我好像在兰迪的书里面看到过这个名字，貌似害死不少脑残信徒,我好像在兰迪的书里见过这个名字；显然，它导致了许多被灌输教义的追随者丧命。,fr
5,比较搞笑的是现在愿意给人提供帮助的天主教当初是刮民脂民膏最狠，当初反对天主教过度世俗化腐败而成立的新教，现在站在了当初天主教的地位上，历史果然是螺旋上升。,具有讽刺意味的是，如今愿意帮助邻邦的天主教会，曾经却是剥削民众最无情的教会；而当初为反对天主教过度世俗化和腐败而创立的新教教会，如今却发现自己身处与当年天主教相同的境地。历史总是惊人地相似。,fr
16,因为你口中的那些小鬼借着“0T”的名头到处拉踩啊，引起反感很奇怪吗？举个例子你信佛的，没事就有人跑过来说你得信耶稣，信耶稣才能得永生，信佛没用，信佛的都是nt，我想知道你会咋想，你会觉得跑来布道的是sb，顺带也会觉得耶稣是sb的。,你说的这些小恶魔居然用“0T”这个名字散播负能量、煽动怨恨，难道你不觉得奇怪吗？举个例子，如果你是佛教徒，有人告诉你必须信耶稣才能获得永生，说佛教没用，说所有佛教徒都是傻瓜，我想知道你会怎么想。你会觉得那个传教的人是傻瓜，你也会觉得耶稣是傻瓜。,fr
2,额，我昨天刚听别人说是因为一些不能说的秘密，如果被披露会震荡整个天主教世界。所以他不得不选择退位。想想这是教廷历史上600年来的第一次，就知道背后的事件有多么大。。。。了,我昨天得知，他退位的原因是不可告人的秘密，一旦曝光，将震惊整个天主教世界。因此，他别无选择，只能退位。考虑到这是梵蒂冈600年历史上的第一次，人们很容易想象这背后事件的意义……,fr
13,@上海人李�::文明是物质性的、生存的、基于欲望的；文化是精神性的、存在的，基于心灵的。中世纪的黑暗，文革式的野蛮，既剥夺欲望的合理性和生存的权利，又禁锢自由、摧残心灵、践踏文化。日常人生，要的是生存的权益；诗意存在，要的是思想、信仰、言论、写作、出版等等的人文创造的自由。,@Li，上海居民：文明是物质的、存在的、基于欲望的；文化是精神的、存在的、基于精神的。中世纪的黑暗和文化大革命的野蛮不仅剥夺了个人欲望的合法性和生存的权利，而且囚禁了自由，摧毁了精神，践踏了文化。在日常生活中，我们需要生存的权利；而对于诗意的存在，我们需要人文创造的自由，包括思想、信仰、言论、写作和出版的自由。,fr
15,什么新世代十字军,是哪一代新一代的十字军战士？,de
0,经典圣母婊慷他人之慨,一个典型的虚伪爱炫耀的人，却对别人的钱出手阔绰。,de
18,耶稣用什么和孔子比，就凭耶稣画的大饼吗,耶稣把孔子比作什么？难道仅仅是比作他自己那些空洞的承诺吗？,de
8,圣母会牺牲自己拯救他人，而且不损害他人利益，圣母婊也会牺牲自己拯救他人 但是会绑架所有人一起来成全自己的名声，更甚一点是直接牺牲他人来成全自己,圣人牺牲自己来拯救他人，而不损害他人的利益；伪君子也牺牲自己来拯救他人，但却操纵他人来提升自己的名声，或者更糟糕的是，直接牺牲他人来实现自己的目标。,de
3,@包包狗头两基友 卖国贼不敢来此吧受死，你在那破吧叫的精疲力尽有个P用，能掩盖你卖国贼的本性？基督狗！,@BaoBaoDogHeadTwoFriends 你们这些叛徒不敢来这里送死。在这种肮脏的论坛里嘶吼到底有什么用？能掩盖你们的奸诈本性吗？你们这些伪君子！,de
11,也就是举报给非基督徒，哥林多书说得不够明白吗？你们逞者情欲发泄自己。,换句话说，对于非基督徒——《哥林多前书》的教导难道还不够清楚吗？“你们放纵自己的欲望，随心所欲。”,de
10,美国基督徒都破大防了大殖子还搁这赢呢,美国基督徒已经突破了所有防线，但最大的赢家仍然是胜利者。,de
12,"你电我 我受了
你下基督教的地狱
还有出来的时候吗",你让我震惊了，但我接受了。你会下基督教的地狱。你还能出来吗？,de
9,//@如鹰展翼而上:回复@陈老坎:找到了，中新网采访了叶开，叶开（应该就是@老虎不吃��）说的。http://t.cn/zjiVDYr //@如鹰展翼而上:诺贝尔文学奖得主@莫言 同志他妈妈是基督徒这件事的文献参考资料出自哪里啊？,//@如鹰展翼而上:回复@陈老坎:找到了。中新网采访叶凯，叶凯（应该是@老虎不吃��）这么说。 http://t.cn/zjiVDYr //@如鹰展翼而上：诺贝尔奖获得者@莫言的母亲是基督徒的文献来源在哪里？,fr
7,你看到的不是圣经，是不懂圣经的人写的乱七八糟的文章,你所看到的并非圣经；而是一篇由不了解圣经的人所写的支离破碎的文章。,fr
17,必须在第一次受到欺负的时候就灭了它们这群基督狗,这些信奉基督教的狗，第一次被欺负就必须被处死。,de
4,上帝看了这种东西不降下天火只能说明上帝根本不存在,上帝看到这种情况没有降下火来，这只能证明上帝不存在。,fr
20,哈哈，对于基督徒来说，任何事件都是上帝的见证。//@暴走恭亲王: 作为证据如果是货币可以直接没收入财政国库，这个理论操作上都不可能，更不要说美帝目前不可能承认它是货币。作为物品，案件审理结束后，可以销毁，保存和拍卖。前两种方式都绝对是利好，最后一种方式，―我怎么觉得还是利好？,哈哈，对基督徒来说，每件事都是上帝的见证。//@暴走恭亲王：作为证据，如果是货币，可以直接没收并存入国库。理论上这是不可能的，更何况美国目前也不会承认它是货币。作为物证，审判结束后，可以销毁、保存或拍卖。前两种方法肯定是有益的，至于最后一种——为什么我觉得它仍然有益呢？,en
19,呵呵，所有正面宗教的教义都有一个共同点！你们没发现吗？哈哈哈哈哈！还你的我的！道的佛的耶稣的真主的！哈哈哈哈哈！,哈哈，所有积极宗教的教义都有一个共同点！你难道没注意到吗？哈哈！说的就是你我！道教、佛教、耶稣、真主！哈哈！,de
6,我好像在兰迪的书里面看到过这个名字，貌似害死不少脑残信徒,我好像在兰迪的书里见过这个名字；显然，它导致了许多被洗脑的追随者丧命。,de
22,国内的基督教这个词被抢注了，特指中特誓,“基督教”一词已被他人在中国注册，特指中国基督教誓词。,en
2,额，我昨天刚听别人说是因为一些不能说的秘密，如果被披露会震荡整个天主教世界。所以他不得不选择退位。想想这是教廷历史上600年来的第一次，就知道背后的事件有多么大。。。。了,我昨天从某人那里听说，这是因为他掌握着不可告人的秘密，一旦曝光，将会震惊整个天主教世界。因此，他别无选择，只能辞职。考虑到这是梵蒂冈600年历史上的第一次，人们不难想象这背后事件的意义有多么重大。,de
16,因为你口中的那些小鬼借着“0T”的名头到处拉踩啊，引起反感很奇怪吗？举个例子你信佛的，没事就有人跑过来说你得信耶稣，信耶稣才能得永生，信佛没用，信佛的都是nt，我想知道你会咋想，你会觉得跑来布道的是sb，顺带也会觉得耶稣是sb的。,你说的那些小恶魔居然用“旧约”这个名字散播负能量、煽动怨恨，你不觉得奇怪吗？想象一下，如果你是个佛教徒，有人却说你必须信耶稣才能获得永生，说佛教没用，说所有佛教徒都是傻瓜。你会怎么想？你会觉得那个传教士是个傻瓜，耶稣也是。,de
5,比较搞笑的是现在愿意给人提供帮助的天主教当初是刮民脂民膏最狠，当初反对天主教过度世俗化腐败而成立的新教，现在站在了当初天主教的地位上，历史果然是螺旋上升。,讽刺的是，如今乐于助人的天主教会，曾经却是最肆无忌惮地剥削民众的教会；而当初为了对抗天主教过度世俗化和腐败而创立的新教，如今却发现自己也落入了与天主教当年同样的境地。历史真是阴晴不定，不断向上发展。,de
21,过圣诞节就必须要明白这节的历史背景嘛?谁说这是耶稣诞辰不是老毛他妈入院纪念日?谁说那白胡子老头儿北欧的不是老崇文?谁说那鹿叫鲁道夫不叫京八爷?谁说非得把礼物放袜子里不是杜雷斯?还圣诞大餐?!我就乐意中午吃大排面就拍黄瓜晚上精肉加板肠儿火烧配驴杂汤还顿顿就蒜你管得着嘛你?,庆祝圣诞节就一定要了解它的历史背景吗？谁说圣诞节是耶稣的生日而不是毛主席母亲住院纪念日？谁说那位来自北欧的白胡子老头不是文化偶像？谁说那只鹿叫鲁道夫而不是“金老头”？谁说圣诞礼物一定要放在长筒袜里而不是杜蕾斯？还有圣诞大餐？！我宁愿午餐吃猪排面，黄瓜沙拉，晚餐吃猪肠瘦肉三明治，再来一碗驴杂汤，每顿饭都加蒜——这关你什么事？,en
1,回复 信仰红领巾 :你这个阿米念异端就不要和阿米念异端胡椒味道狗咬狗了！咋的？你不是攻击加尔文神学吗？你不是鬼扯上帝预知亚当堕落所以堕落后拣选吗？！滚🥚！,回复 Faith Red Scarf：你这个阿民念主义异端，别像条狗一样跟其他阿民念主义异端打架！什么？你不是攻击过加尔文主义神学吗？你不是胡说八道说上帝预见了亚当的堕落，所以才在堕落之后拣选了他吗？！滚开！,de
23,圣水！大蒜！十字架！！斩了你！！//@杨旭emo：110,圣水！大蒜！十字架！！我要砍倒你！！//@Yangxuemo: 110,en
25,支持，我不玩，送了就更大概率挨砍了，这耶狗就该砍废,我同意，我不玩。免费赠送只会增加它被削弱的可能性。这游戏就该被削弱。,en
30,神棍！,庸医！,en
13,@上海人李�::文明是物质性的、生存的、基于欲望的；文化是精神性的、存在的，基于心灵的。中世纪的黑暗，文革式的野蛮，既剥夺欲望的合理性和生存的权利，又禁锢自由、摧残心灵、践踏文化。日常人生，要的是生存的权益；诗意存在，要的是思想、信仰、言论、写作、出版等等的人文创造的自由。,@上海居民李：文明是物质的、存在的，建立在欲望之上；文化是精神的、存在的，建立在精神之上。中世纪的黑暗和文化大革命的野蛮不仅剥夺了人们欲望的合法性和生存的权利，也束缚了自由，摧毁了精神，践踏了文化。在日常生活中，我们需要生存的权利；而对于诗意的存在，我们需要人文创造的自由，包括思考、信仰、言说、写作和出版的自由。,de
24,逆天，宗教这玩意有特殊的精神力量我不否认，但是纵观全球历史西藏，中东，中世纪，宗教都是愚民最深的玩意。,真是难以置信。我并不否认宗教具有特殊的精神力量，但纵观世界历史，从西藏、中东和中世纪来看，宗教一直是使人们保持无知的最深刻的工具。,en
27,上帝最能吹的就是全知全能，但打了那么多年䃼丁也没有解决上帝悖论，挺多算是无限接近真全知全能的伪全知全能吧,上帝最大的自夸就是全知全能，但经过多年的努力，他仍然没能解决上帝悖论。充其量，他只是一个接近真正全知全能的伪全知全能的存在。,en
29,神棍�盟[弱][弱][黑�],江湖骗子联盟[弱][弱][黑],en
28,上帝什么垃圾玩意,上帝真是个垃圾。,en
32,哈哈，基督徒的战五渣,哈哈，基督徒真是太软弱了！,en
7,你看到的不是圣经，是不懂圣经的人写的乱七八糟的文章,你所看到的不是圣经，而是一团乱麻，出自一个不懂圣经的人之手。,de
4,上帝看了这种东西不降下天火只能说明上帝根本不存在,上帝看到这一景象后没有从天上降下火来，这只能证明上帝不存在。,de
33,正常，fate里面的教会的不少操作，拿到现实里来，任何一个十字教会都会认为是邪教的,这很正常。在《Fate》系列游戏中，教会的许多做法在现实中任何基督教教会看来都会被视为邪教行为。,en
20,哈哈，对于基督徒来说，任何事件都是上帝的见证。//@暴走恭亲王: 作为证据如果是货币可以直接没收入财政国库，这个理论操作上都不可能，更不要说美帝目前不可能承认它是货币。作为物品，案件审理结束后，可以销毁，保存和拍卖。前两种方式都绝对是利好，最后一种方式，―我怎么觉得还是利好？,哈哈，对基督徒来说，每件事都是上帝存在的证据。//@暴走恭亲王：作为证据，如果它是货币，可以直接没收并存入国库。虽然理论上不可能，但美国目前甚至都不会承认它是货币。如果它是物品，审判后可以销毁、保存或拍卖。前两种方法显然都有益，但你为什么认为最后一种方法也有益呢？,ko
9,//@如鹰展翼而上:回复@陈老坎:找到了，中新网采访了叶开，叶开（应该就是@老虎不吃��）说的。http://t.cn/zjiVDYr //@如鹰展翼而上:诺贝尔文学奖得主@莫言 同志他妈妈是基督徒这件事的文献参考资料出自哪里啊？,//@如鹰展翼而上:回复@陈老坎:找到了。中新网采访叶凯，叶凯（应该是@老虎不吃��）这么说。 http://t.cn/zjiVDYr //@如鹰展翼而上：诺贝尔文学奖获得者@莫言的母亲是基督徒的文献参考来源在哪里？,de
30,神棍！,庸医！,ko
31,后叮咚鸡时代基层控制减弱带来的一些问题，不过在内地问题不大，地下教会老登居多。但是在西北控制不能放弃一丝一毫，否则埃苏丹整的渗透就得爆点大的了,后叮咚鸡时代由于基层控制力减弱带来了一些问题，但在地下教会主要由长老组成的内陆地区，这些问题并不突出。然而，西北地区的控制力绝不能放松，否则埃及苏丹的渗透将成为一个巨大的导火索。,en
34,适可而止，过了就不好 ，发展到人肉搜索恶意攻击就不好了 //@建业Number1:#圣战威武#支持正义的圣战！就该治治这些粉棒子的脑残！每个人都有粉的自由，粉可以，但不要爆神论，不要放弃治疗！要是以后我孩子粉鬼子，棒子的戏子，一天揍一顿，我可不想有个脑残孩子[哼],要懂得适可而止。做得太过火不好，甚至可能演变成人肉搜索和恶意攻击。//@建业Number1: #圣战很强大# 支持正义的圣战！这些被洗脑的韩流粉丝需要好好教训！每个人都有追星的自由，这没问题，但不要散播迷信的理论，也不要放弃治疗！如果我的孩子成了日本或韩国演员的粉丝，我会每天揍他。我不想让我的孩子被洗脑。[哼],en
22,国内的基督教这个词被抢注了，特指中特誓,“基督教”一词在中国已被他人注册，特指中国基督教会。,ko
35,"你在哪个国家看到过基督教堂挨着伊斯兰清真寺？
但在中国的大街上，你会看到一条大街上左边建了一座天主教堂，右边人们正往圆顶的清真寺去做礼拜。要知道伊斯兰教和基督教侵略性都很强！
在中国的寺庙里面，你会看到左边摆的是佛教塑像，右边是穿着道袍举办仪式的道士。","你在哪个国家见过基督教教堂和伊斯兰清真寺并排而立？

但在中国的街头，你可能会看到左边是天主教堂，右边是前往圆顶清真寺做礼拜的人们。请记住，伊斯兰教和基督教都以其激进的风格而闻名！

在中国的寺庙里，你可能会看到左边是佛像，右边是身着僧袍的道士在举行仪式。",en
36,孩子的死是上帝的美意？！因为没花一分钱全中国都知道了？！感谢上帝替你们做了这么大宣传？！还能说出更不要脸的话吗？//@十一�: 关注！孩子啊…//@水水西:超恶心!//@南溪谷：恶心极了！//@倩-LOH:真恶心!//@肉唐僧: 真恶心！,孩子的死是神的旨意？！因为全中国都知道了，而且一分钱都没花？！感谢神给了你这么大的宣传攻势？！你还能说出更无耻的话吗？//@十一�: 关注！孩子……//@水水西: 真恶心！//@南溪谷: 极其恶心！//@倩-LOH: 真恶心！//@肉唐僧: 真恶心！,en
23,圣水！大蒜！十字架！！斩了你！！//@杨旭emo：110,圣水！大蒜！十字架！！我要砍倒你！！//@Yangxuemo: 110,ko
25,支持，我不玩，送了就更大概率挨砍了，这耶狗就该砍废,我同意。我不玩这款游戏。免费分发只会增加它被削弱的可能性。这款游戏就应该被削弱。,ko
26,怎么？读两句圣经就可以不用下地狱，就可以上天堂了，就可以不死了？加入宗教组织就是有信仰了？,什么？读几行圣经就能让你免于下地狱，升入天堂，还能让你永生？加入宗教组织就意味着你有信仰？,en
