index,original,en_intermediate,back_translated
10,『聖書について（三）』 | 全能神教会-公式日本語ブログ 目前位置：ページ » 書籍 » キリストが発せられた言葉 » 『聖書について（三）』 イエスキリスト三位一体主主イエスの再来信徒御言葉心王国発表祝福神道 前の記事:『聖書について（二）』 次の記事:『聖書について（四）』,"『On the Bible (3)』 | The Church of Almighty God - Official Japanese Blog Current location: Page » Books » Words Uttered by Christ » 『On the Bible (3)』 Jesus Christ, Trinity, Lord, Lord Jesus' Second Coming, Believer, Word of God, Heart, Kingdom, Announcement, Blessing, Shinto
Previous article: 『On the Bible (2)』
Next article: 『On the Bible (4)』","『聖書について（三）』 | 全能神教会 - 公式日本語ブログ
現在の位置：ページ » 書籍 » キリストの語った言葉 » 『聖書について（三）』
イエス・キリスト、三位一体、主、主イエスの再臨、信者、神の言葉、心、王国、告知、祝福、神道
前の記事：『聖書について（二）』
次の記事：『聖書について（四）』"
2,>>201 あれに関しては長年統一教会信者関連の訴訟を担ってきた弁護士によると統一教会は現役信者が裁判に出る前には必ず統一教会に不利な事は言わない様に口裏を合わせたり口封じをしたりしているらしい 法廷での山上の母の言動も過去に見たそういう人達と全く同じで確実に事前に打ち合わせされてる物なんだとか,">>201 Regarding that matter, according to a lawyer who has handled lawsuits concerning Unification Church adherents for many years, the Unification Church apparently always coordinates their stories or silences active adherents before they appear in court, to ensure they say nothing detrimental to the Unification Church. Furthermore, Yamagami's mother's conduct and statements in court were precisely identical to those of such individuals observed in the past, and it is claimed they were certainly pre-arranged.",>>201 その件について、長年、旧統一教会の信者に関する訴訟を手がけてきた弁護士によると、旧統一教会は、信者が法廷に出る前に、教会に不利なことを何も言わないように、常に証言を調整するか、あるいは活動的な信者を沈黙させるらしい。さらに、山上氏の母親の法廷での言動は、過去に見られたそのような人物のそれと寸分違わず同じであり、それらは間違いなく事前に仕組まれたものだったと主張されている。
12,統一教会批判するなら創価も批判しろよカス,"If you're going to criticize the Unification Church, criticize Soka Gakkai too, you piece of shit.",統一教会を批判するなら、創価学会も批判しろ、このクソ野郎。
11,>>98 全然違うな 裏金議員だ統一教会議員だの叩くなら自民党議員だけでなく立憲含む全ての議員を叩け、と言ってる 裏金ガー統一ガーと叩くフリして実は自民党叩きだけしたい魂胆丸見えなんだよ、お前らパヨクは。,">>98 That's completely wrong. If you're going to attack slush fund politicians, Unification Church politicians, and the like, I'm saying you should attack all politicians, not just LDP politicians, but including Rikken. You're pretending to attack by going slush fund, blah blah blah, Unification Church, blah blah blah, but your ulterior motive to only attack the LDP is completely obvious, you leftist scum.",>>98 それは全く間違っている。裏金政治家、統一教会政治家などを攻撃するなら、自民党政治家だけでなく、立憲も含めて、全ての政治家を攻撃すべきだと言っているんだ。裏金がどうのこうの、統一教会がどうのこうのと攻撃しているフリをしているが、自民党だけを攻撃したいという下心は丸見えだ、この左翼のクズめ。
20,高市早苗も統一教会のスパイだよ https://i.imgur.com/sNNYJ29.jpeg,Sanae Takaichi is also a Unification Church spy https://i.imgur.com/sNNYJ29.jpeg,高市早苗も統一教会のスパイだ https://i.imgur.com/sNNYJ29.jpeg
16,ビジネスマンは聖書を読むべきだと強く思う。 | ← 主の御心に沿って、安心領域を超えていくこと。 安定して成功している人の要因を観察していくと →,"I strongly believe that businessmen should read the Bible. ← Following the Lord's will, and going beyond one's comfort zone. When observing the factors of people who are consistently successful →",私は実業家が聖書を読むべきだと強く信じています。← 主の御心に従い、自身のコンフォートゾーンを超えること。一貫して成功している人々の要因を観察すると →
15,コンゴ当局、反政府デモ参加者53人殺害 報告書 - トピックス｜Infoseekニュース 【AFP＝時事】コンゴ民主共和国で今年4月から10月にかけて、警察当局や治安部隊が反政府デモの参加者ら少なくとも53人を殺害していたことが分かった。コンゴ・カトリック司教会議（CENCO）が20日に発表した報告書で明らかになった。 CENCOの報告書は、任期切れ後も地位に居座るジョゼフ・カビラ（JosephKabila）大統領に対する抗議デモの最中、,"Congo Authorities Killed 53 Anti-Government Demonstrators, Report - Topics | Infoseek News
[AFP-Jiji] It has been revealed that in the Democratic Republic of Congo, between April and October this year, police authorities and security forces killed at least 53 participants in anti-government demonstrations, according to a report announced on the 20th by the Congo Catholic Bishops' Conference (CENCO). CENCO's report states that during protest demonstrations against President Joseph Kabila, who is clinging to power even after his term expired,","コンゴ当局、反政府デモ参加者53人を殺害と報告 - トピックス | インフォシークニュース
【AFP＝時事】コンゴ民主共和国で今年4月から10月の間に、警察当局と治安部隊が反政府デモの参加者少なくとも53人を殺害したことが、コンゴ・カトリック司教協議会（CENCO）が20日に発表した報告書で明らかになった。CENCOの報告書は、任期満了後も権力の座にしがみついているジョゼフ・カビラ大統領に対する抗議デモの最中に、"
19,御国が来ますように―天地の架け橋としてのキリストにある「新しい人」（２） 私ではなくキリストⅤ category：神の国の働き人 / *edit,"Thy Kingdom come—The New Man in Christ as the Bridge between Heaven and Earth (2) Not I, but Christ V category: Worker for God's Kingdom / *edit",御国が来ますように—キリストにおける新しい人、天と地を結ぶ架け橋として (2) 我にあらず、キリストなり Vカテゴリー：神の国の働き人／*編集
17,キリスト教 宗派 数 アダム派は終わった？ 22 April 2018 - Good Shepherd Sunday (Vocation Sunday),Christianity denominations number Adamites finished? 22 April 2018 - Good Shepherd Sunday (Vocation Sunday),キリスト教宗派 数 アダム派 終了？ 2018年4月22日 - 善き羊飼いの主日 (召命主日)
13,いのちの入りについての書籍 | 神の国降臨の福音 本書は、神の受肉、及び人類を救う神の３段階の働きに関連する真理を集めたものです。これらの真理によって、人々は終わりの日におけるキリストの来臨と働きを、神の発言を通じて見ることができます。また、全能神が主イエスの再臨であること、そして全能神が真理を表わし、終わりの日に「神の家から始まる裁き」を行って人類を導き、神の玉座に立ち返らせることを知るようになります。 キリストの裁きの座の前における経験の証し,"**Book on the Entry into Life | The Gospel of the Advent of the Kingdom of God**

This book is a collection of truths related to God's incarnation and God's three stages of work to save humanity. Through these truths, people can see Christ's coming and work in the last days through God's utterances. Furthermore, they will come to know that Almighty God is the second coming of the Lord Jesus, and that Almighty God expresses the truth, carries out the judgment that begins from the house of God in the last days to guide humanity, and makes them return to God's throne.

Testimonies of Experience Before Christ's Judgment Seat","**いのちに入る書 ｜ 神の国の到来の福音**

本書は、神の受肉と、人類を救うための神の三段階の働きに関する真理を集めたものである。これらの真理を通して、人々は神の御言葉を通して、終わりの日のキリストの到来と働きを知ることができる。さらに、彼らは全能神が主イエスの再臨であり、全能神が真理を表現し、終わりの日に神の家から始まる裁きを行って人類を導き、彼らを神の御座へと帰らせることを知るようになる。

キリストの裁きの座の前の経験の証し"
18,なんか創価統一教会のクズキムチが俺が嫌われる様に ネパール人に誹謗中傷吹き込んで嘘バレて 嫌われたんだってさ(失笑) クズキムチなんかに耳貸すなって 半島に追い返しときゃいい(笑),"Here is the strict and faithful translation:

Somehow, those scum Koreans from the Soka Unification Church instigated slander and defamation among Nepalese people to make me hated, but their lies were exposed, and they ended up being hated instead, apparently (snicker). Don't listen to scum Koreans like that; just send them back to the peninsula (lol).",「どういうわけか、創価統一教会というクソ朝鮮人どもが、私を嫌わせるためにネパール人の間で誹謗中傷を扇動したらしいが、彼らの嘘が暴かれ、逆に彼らが嫌われることになったらしい（ニヤリ）。あんなクソ朝鮮人の言うことなんか聞くな。さっさと半島に送り返せ（笑）。」
21,教団公式アプリ「教会生活」のご紹介 | セブンスデー・アドベンチスト教会 教団公式アプリ「教会生活」のご紹介 簡単に機能をご紹介します。 ← 前進！ 宣教という愚かな手段 →,Introduction to the denomination's official app Church Life | Seventh-day Adventist Church Introduction to the denomination's official app Church Life We will simply introduce its features. ← Advance! The stupid means of evangelism →,"セブンスデー・アドベンチスト教会 | 教団公式アプリ チャーチライフの紹介
教団公式アプリ チャーチライフの紹介
その機能を簡単にご紹介します。
← 進む！
馬鹿な伝道手段 →"
22,安息日を覚えて、これを聖なる日とせよ。　出エジプト20：8: 中ぶんなの日記 « またまたギター、そしてソプラノ | トップページ | シンフォニエッタ盛岡　2016　秋のアンサンブルコンサート　ありがとうございました！ » 2016年9月18日 (日) 教会 | 固定リンク http://app.f.cocolog-nifty.com/t/trackback/461668/67545679 この記事へのトラックバック一覧です： 安息日を覚えて、これを聖なる日とせよ。　出エジプト20：8:,"Remember the Sabbath day, to keep it holy. Exodus 20:8: Nakabunna's Diary « Again, guitar, and soprano | Homepage | Sinfonietta Morioka 2016 Autumn Ensemble Concert Thank you very much! » September 18, 2016 (Sun) Church | Permalink http://app.f.cocolog-nifty.com/t/trackback/461668/67545679 This is the trackback list for this article: Remember the Sabbath day, to keep it holy. Exodus 20:8:",安息日を覚えて、これを聖とせよ。出エジプト記20章8節：なかぶんの日記 « また、ギター、そしてソプラノ | ホームページ | シンフォニエッタ盛岡2016秋のアンサンブルコンサートありがとうございました！ » 2016年9月18日（日）教会 | パーマリンク http://app.f.cocolog-nifty.com/t/trackback/461668/67545679 この記事のトラックバックリストです：安息日を覚えて、これを聖とせよ。出エジプト記20章8節：
23,"祈りの実践について | 全能神教会-公式日本語ブログ 目前位置：ページ » 全能神が発する言葉 » 祈りの実践について 2017年12月15日 blogadmin 全能神が発する言葉, 言葉は肉において現れる いのちキリスト全能神東方閃電真理祈り 前の記事:唯一の神自身 ２ 次の記事:唯一の神自身 １ 『完全にされた人こそ意義のある人生を生かし出すことができる』... キリストは、真理を以て裁きの働きを行う...","About the Practice of Prayer | Church of Almighty God - Official Japanese Blog Current Location: Page » The Words Uttered by Almighty God » About the Practice of Prayer December 15, 2017 blogadmin The Words Uttered by Almighty God, The Word Appears in the Flesh Life Christ Almighty God Eastern Lightning Truth Prayer Previous Article: God Himself, the Unique II Next Article: God Himself, the Unique I Only those who have been perfected can live out a meaningful life... Christ performs the work of judgment with the truth...","祈りの実践について | 全能神教会 - 公式日本語ブログ
現在地：ページ » 全能神の御言葉 » 祈りの実践について
2017年12月15日 ブログ管理者
全能神の御言葉, 言葉は肉において現れる, 命, キリスト, 全能神, 東方閃電, 真理, 祈り
前の記事：神自身、唯一無二の者 II
次の記事：神自身、唯一無二の者 I
完全にされた者だけが、有意義な人生を生きることができる… キリストは真理をもって裁きの働きを行う…"
25,ユダの手紙とは - goo Wikipedia (ウィキペディア) 「ユダの手紙」のＱ＆Ａ ダヴィンチ「最後の晩餐」でのユダの表現の仕方… ユダがイエスを売り渡した銀貨３０枚は現在の何… 自分が送る手紙は「手紙？」「お手紙？」,What is the Letter of Judas? - goo Wikipedia (Wikipedia) Q&A about The Letter of Judas How Judas is portrayed in Da Vinci's The Last Supper... What is the present-day value of the 30 pieces of silver Judas betrayed Jesus for... Should the letter I send be called Tegami? or O-tegami?,ユダの手紙とは？ - goo Wikipedia（ウィキペディア） ユダの手紙に関するQ&A ダ・ヴィンチの『最後の晩餐』でユダはどのように描かれているか... ユダがイエスを裏切った30枚の銀貨の現在の価値は？... 送る手紙は「手紙」？それとも「お手紙」？
28,キリスト教会史編集 「https://ja.wikipedia.org/w/index.php?title=オフリド&oldid=72016959」から取得 最終更新: 2019年3月16日 (土) 12:42,"History of the Christian Church Editing. Retrieved from https://ja.wikipedia.org/w/index.php?title=オフリド&oldid=72016959. Last updated: March 16, 2019 (Saturday) 12:42.",キリスト教会の歴史 編集。https://ja.wikipedia.org/w/index.php?title=オフリド&oldid=72016959 より取得。最終更新日: 2019年3月16日 (土) 12:42。
33,2016年6月12日 マルコの福音書第１章１節～８節「心のゴミ屋敷」（岩本遠億牧師） by キリストの平和教会 • A podcast on Anchor,"June 12, 2016 Gospel of Mark Chapter 1, Verses 1-8 Heart's House of Trash (Pastor En'oku Iwamoto) by Christ's Peace Church • A podcast on Anchor",2016年6月12日 マルコによる福音書 第1章1-8節 心のゴミ屋敷 (岩本エノク牧師) キリストの平和教会 • Anchorのポッドキャスト
24,神の国の働き人｜私ではなくキリストⅢ（東洋からの風の便りII） Home > ブログ > 神の国の働き人 全信者をプロレタリア化してこの世の堕落したバビロン体系に仕える奴隷とするプロテスタントの誤った理念から、愛する御子キリストの支配の中へのエクソダス PR 死人を葬ることは死人に任せなさい―肉による情愛や、弱者救済を口実に、エクレシアにこの世を公然と持ち込むプロテスタントの偽牧師たち ―,"Workers of God's Kingdom | Not I, but Christ III (Wind's Tidings from the Orient II) Home > Blog > Workers of God's Kingdom
From the erroneous ideology of Protestants that proletarianizes all believers and makes them slaves to serve the fallen Babylonian system of this world, an exodus into the dominion of the beloved Son Christ. PR Let the dead bury their own dead — Protestant false pastors who openly bring this world into the Ecclesia under the pretext of carnal affection and saving the weak —","神の国の働き人 | 我にあらず、キリストなり III (東洋からの風の便り II) ホーム > ブログ > 神の国の働き人
全ての信者をプロレタリア化し、この世の堕落したバビロンのシステムに仕える奴隷とするプロテスタントの誤ったイデオロギーから、愛する御子キリストの支配への出エジプト。PR 死人に死人を葬らせよ — 肉的な愛情と弱き者を救うという口実のもとに、公然とこの世をエクレシアに持ち込むプロテスタントの偽牧師たち —"
27,「真ん中にあるもの」マルコ１：章１６－２０ | 田隈バプテスト教会 ← 「それでもその道は進まない」 マルコ１：１４－１５ 「私達もロバの子」 マタイ２１：１－１１ →,"What is in the Middle Mark 1:16-20 | Takuma Baptist Church ← Still, That Path Does Not Progress Mark 1:14-15 We Too Are Children of Donkeys Matthew 21:1-11 →",真ん中にあるもの マルコ 1:16-20 | 詫間バプテスト教会 ← それでも、その道は進まない マルコ 1:14-15 私たちもロバの子どもたち マタイ 21:1-11 →
30,キリスト教の精神とまるで違う生き様をしながら 自分はクリスチャンのつもりなのが凄いよな マジ頭が狂っている マジどういう理解度で生きてるんだろな 逃げた弟子に対してイエスは福音の布教のお題を出した 弟子たちは全員が殉教したと噂されてる それを無職引きこもりはまるでキリスト教の精神とは違うよ,"It's incredible how they live a life completely contrary to the Christian spirit yet consider themselves a Christian, isn't it? Seriously, their head is messed up. Seriously, what kind of understanding do they live with, I wonder? Jesus gave the disciples who fled the task of spreading the Gospel. It is rumored that all the disciples were martyred. And that unemployed shut-in is completely different from the Christian spirit.",信じられないほどに彼らはキリスト教の精神に全く反する生き方をしているのに、自分をクリスチャンだと考えているじゃないか？マジで、彼らの頭はおかしい。マジで、彼らは一体どんな理解で生きているんだろう？イエスは逃げた弟子たちに福音伝道の使命を与えた。噂では、弟子たちは皆殉教したという。そして、その無職の引きこもりはキリスト教の精神とは全くかけ離れている。
32,実践的な神は神自身であることを知るべきである 神の業と人間の実践 肉となった神と神に使われる人々との間の本質的違い ペテロはどのようにイエスを知るようになったか,A practical God should know that He is God Himself. God's work and human practice. The essential difference between God who became flesh and people used by God. How Peter came to know Jesus.,"実際的な神は、自分が神であることを知っているべきである。
神の働きと人間の実践。
受肉した神と神に用いられる人々との本質的な違い。
ペテロはいかにイエスを知るようになったか。"
26,教会家族に救われました | 福音の村 前 過去の投稿: いつもの晩餐 次 次の投稿: あなたは門,Saved by my church family | Gospel Village Previous Previous Post: The Usual Supper Next Next Post: You are the Gate,"私の教会家族に救われた | 福音村
前の前の投稿：いつもの夕食
次の次の投稿：あなたは門です"
36,遺体が腐敗しなかった尊者チマッティ神父 https://www.v-cimatti.com/index.html,"Venerable Father Cimatti, whose body did not decompose https://www.v-cimatti.com/index.html",尊者チマッティ神父、遺体が腐敗しなかった https://www.v-cimatti.com/index.html
31,若者が居ないおばさんと婆さんばかり 教義は古臭いから誰も入らない,"No young people, just old biddies and hags. The doctrine is stale, so no one joins.",若い人はおらず、老いぼれの婆どもと醜女ばかりだ。教義は陳腐なので、誰も入らない。
34,>>205 北朝鮮とべったりです 統一教会 ★北朝鮮では国全体に“浸透”平壌市内に★巨大拠点施設 2022.8.31 5:00 ダイヤモンド・オンライン https://diamond.jp/articles/-/308835 建国の祖、金日成氏の主体思想以外いかなる思想の流入も許さず、 金日成氏以外の偶像崇拝は反逆とみなす北朝鮮で、 旧統一教会が礼拝堂を造り牧師派遣までできたのはなぜか。,">>205 The Unification Church is hand-in-glove with North Korea. ★In North Korea, 'infiltration' throughout the entire country, ★a huge base facility in Pyongyang. 2022.8.31 5:00 Diamond Online https://diamond.jp/articles/-/308835
In North Korea, which does not permit the inflow of any ideology other than the Juche idea of the nation's founder, Kim Il-sung, and where idolatry other than Kim Il-sung is regarded as treason, why was the former Unification Church able to build a chapel and even dispatch pastors?",">>205 統一教会は北朝鮮と癒着している。★北朝鮮で国中を「浸透」、★平壌に巨大な拠点施設。2022.8.31 5:00 Diamond Online https://diamond.jp/articles/-/308835
建国の父・金日成の主体思想以外のいかなる思想の流入も許さず、金日成以外の偶像崇拝は反逆罪と見なされる国で、なぜ旧統一教会は礼拝堂を建て、牧師まで派遣できたのか？"
29,プロテスタントという宗派があると勘違いしてるんだな,"So, you're mistaken that Protestant is a denomination.",では、プロテスタントが宗派だというのはあなたの勘違いです。
39,聖霊の御言葉「あなたは人間全体が現在までどのように発展してきたかを知るべきである」その２ | 全能神教会 御言葉の朗読動画 35,Word of the Holy Spirit: You should know how humanity as a whole has developed up to the present. Part 2 | The Church of Almighty God Word Reading Video 35,聖霊の言葉：人類全体が現在までどのように発展してきたかを知るべきです。パート2 | 全能神教会 御言葉朗読ビデオ35
37,イエスは、大祭司です。: 本日の聖書〔毎日のミサ〕のことば « 花婿が花嫁を喜びとする。 | トップページ | イエスは、わたしたちのために先駆者としてそこへ入って行き、永遠にメルキゼデクと同じような大祭司となられたのです。 »,"Jesus is the High Priest.: Today's Bible [Daily Mass] words « The bridegroom rejoices over the bride. | Top Page | Jesus entered there as a forerunner for us, having become a high priest forever in the order of Melchizedek. »",イエスは大祭司です。今日の聖書 [日々のミサ] の言葉 『花婿は花嫁を喜ぶ。 | トップページ | イエスは私たちの先駆者としてそこに入り、メルキゼデクの位階に従って永遠の大祭司となられました。』
42,2017年11月16日 | アガペーTV（アガペーインターネット放送局） 投稿日: 2017年11月16日 2017年11月12日 【G・O・D (グループ・オンライン・ディボーション)】 2017.11.16. 聖書箇所：出エジプト記 7：19 〜 25 “【G・O・D (グループ・オンライン・ディボーション)】 2017.11.16.” の続きを読む,"November 16, 2017 | Agape TV (Agape Internet Broadcasting Station) Post date: November 16, 2017 November 12, 2017 [G.O.D (Group Online Devotion)] 2017.11.16. Bible passage: Exodus 7:19 ~ 25 Read more about [G.O.D (Group Online Devotion)] 2017.11.16.",2017年11月16日 | アガペTV (アガペインターネット放送局) 投稿日: 2017年11月16日 2017年11月12日 [G.O.D (グループオンラインディボーション)] 2017.11.16. 聖書箇所: 出エジプト記 7:19 ~ 25 [G.O.D (グループオンラインディボーション)] 2017.11.16.についてもっと読む
35,私には↓の考え方がとても恐ろしいものに思えるのです。 790：栖雲居士 ◆dqam8SqGUPdm ：2025/10/13(月) 11:49:29.43 ID:ktOJMmts >神が悪を用いてウクライナのクリスチャン１０万人以上（兵士と庶民含む）を殺したのには、どんな理由があるのですか？ 横から失礼します。 それは＂神のみ業が現れる為＂ではないのでしょうか？ 勿論、通社会的概念からすればそれはロシアによるウクライナへの侵略に他なりませんが、宗教者の視点から観れば、そういう見方も成立するって思います。 *** 人が戦争を始める ↓ 神が悪を用いている ↓ 理由は、神のみ業が現れる為 これだと悪の全責任は神となり人類には何の罪もないことに なってしまいます。 イエス様は、悔い改めよ、神の国は近づいた、と おっしゃっています。 神が悪を用いるとも、 悪は神のみ業が現れる為とも言っていません。 イエス様の教えを歪める栖雲居士は問題です。,"To me, the way of thinking below seems very terrifying.
790: Seiun Koji ◆dqam8SqGUPdm : 2025/10/13(Mon) 11:49:29.43 ID:ktOJMmts
>What reason is there for God to use evil to kill over 100,000 Ukrainian Christians (including soldiers and common people)?
Excuse me for interjecting. Isn't it 'for the manifestation of God's work'? Of course, from a common societal perspective, it is nothing but Russia's invasion of Ukraine, but from the viewpoint of a religious person, I think such a perspective can also be valid.
***
Humans start wars
↓
God is using evil
↓
The reason is for the manifestation of God's work
If this is the case, then all responsibility for evil falls on God, and humanity would bear no sin.
Lord Jesus said, 'Repent, for the kingdom of God is at hand.'
Neither does it say that God uses evil, nor does it say that evil is for the manifestation of God's work.
Seiun Koji, who distorts Lord Jesus's teachings, is a problem.","私には、以下の考え方は非常に恐ろしく思えます。
790: 星雲小路 ◆dqam8SqGUPdm : 2025/10/13(月) 11:49:29.43 ID:ktOJMmts
＞神が10万人以上のウクライナのキリスト教徒（兵士や一般人を含む）を殺すために悪を用いる理由は何ですか？
横から失礼します。『神の御業の顕現のため』ではないでしょうか？もちろん、一般的な社会の視点から見れば、ロシアによるウクライナ侵攻に他なりませんが、信仰者の視点から見れば、そのような見方もまた有効であると私は考えます。
***
人間が戦争を始める
↓
神が悪を用いている
↓
理由は神の御業の顕現のため
もしそうだとすれば、悪の責任はすべて神にあり、人類は罪を負わないことになります。
主イエスは『悔い改めよ、神の国は近づいた』と言われました。
神が悪を用いるとも言っておらず、悪が神の御業の顕現のためとも言っていません。
主イエスの教えを歪める星雲小路は問題です。"
38,旧統一教会元信者の夫婦、多額の献金で生活困窮「私たちのように苦しむ人が出てほしくない」…解散請求１年 2024/11/20 https://www.yomiuri....20241120-OYT1T50099/ https://pbs.twimg.co...ormat=jpg&name=large,"Former Unification Church couple in financial hardship due to large donations, We don't want people to suffer like us... One year since dissolution request 2024/11/20 https://www.yomiuri....20241120-OYT1T50099/ https://pbs.twimg.co...ormat=jpg&name=large",多額の献金で経済的困窮に陥った旧統一教会元信者夫婦、「私たちのような苦しみを味わってほしくない…」 解散命令請求から1年 2024/11/20 https://www.yomiuri....20241120-OYT1T50099/ https://pbs.twimg.co...ormat=jpg&name=large
40,なぜ終わりの日の神の働きは神によって使われる人々を通して行われないのか。なぜ神は受肉して自ら働きを行わなければならないのか。 | 全能神教会,Why is God's work in the last days not carried out through people used by God? Why must God incarnate and personally carry out the work? | The Church of Almighty God,末日の神の業は、なぜ神に用いられる人々を通して行われないのか？なぜ神は受肉し、自らその業を執り行わなければならないのか？ | 全能神教会
45,ヨハネ14章にはこのように書いてあります。 イエスは言われた。「わたしは道であり、真理であり、命である。わたしを通らなければ、だれも父のもとに行くことができない。 *** これをそのまま解釈すると、イエス様以外に真理はない、 だからキリスト教以外では救われないのだ、と解釈すると 問題があるのです。,"It is written in John Chapter 14 as follows: Jesus said, I am the way, the truth, and the life. No one comes to the Father except through me. *** If one interprets this literally, as 'there is no truth other than Lord Jesus, and therefore one cannot be saved outside of Christianity,' then there is a problem.",ヨハネによる福音書14章に次のように書かれています。イエスは言われた、「わたしが道であり、真理であり、命である。だれもわたしによらないでは、父のみもとに行くことはできない。」これを文字通りに、「主イエス以外に真理はなく、したがってキリスト教の外では救われない」と解釈するならば、問題が生じる。
46,>>1 スパイ防止法も統一教会が長年、自民党その他のカルト政党に要求し続けてきたことだしな,">>1 The Anti-Spy Law is also something that the Unification Church has been demanding from the LDP and other cult political parties for many years, you know.",>>1 反スパイ法も、統一教会が自民党や他のカルト政党に長年要求してきたことなんだよ。
