Text,True_Hate,Pred_Hate,Error_Type
>>718 お前はただの怠け·者のク!!ズで、善意の行為を「?自己犠牲」と大げさに誇張するだけだ...。あの『』マ?!ークだらけの文章、読みにくくて腹が立つ。ミレットへの返?!答に口出しするな。ま,0,1,误报(FP)
>>718 善意の実践を「自己犠牲?」などと大袈裟に、言うお前は、楽をしたいだけのクズ?。 『』を多用するお前の文...!って読みづらいから、嫌いな、んだ...よね。 Miletへのレスなのにお前が割り込んでくるなよ。 先に,0,1,误报(FP)
神の御言葉を鏡として使う | 全能神教会 次へ:神の愛の実相とは 気に入らない人に対する差別は悪質すぎる! サタンの哲学は人を陥れ、損害を及ぼす 俗に言う良い人の本性 本物のパートナーシップ,0,1,误报(FP)
神の言葉を·鏡として用いる|全能··神!教?会次:神の愛の真の姿嫌いな者...!へ、の差別は悪意に満ちている!サタンの哲学は人!を陥れ!害をもたらす、。い...わ...ゆる善人の真の·姿真のパートナー,0,1,误报(FP)
神の御言葉を鏡として使う、 | 全?...能神教会 次へ:神の愛の実相とは 気に...!!入らない人に?、対する差別は悪質すぎ、る! サ。タンの哲学·は。人を陥れ、損害を及ぼす 俗に言う良!い、,0,1,误报(FP)
新訳聖書のマタイの...福音!書によると。 ゼルバベルはアビウドを、アビウドはエリアキム!を、エリアキムはアゾル。... ちょっと?ま。て、アビウドとは誰か?。?,0,1,误报(FP)
イエスの死後...、キリスト教の誕生、。信!仰はイエスの復活を信じ...、彼をキリスト(救い主)と?して宣言することで生まれる。★?ネロ皇、帝下の迫害大火災?の責任をキリスト教徒·。に押し付け迫害。ペテロとパウロ,0,1,误报(FP)
ヨハネによ!る福音書 1·1:25 イエス...は彼女に言われた。·...。「!わたしはよ!みがえりであり、いのちである。わ·たし、を...信じる者は、死んでも生きる。11、...:26 また·、生きていてわたしを信じ、る者は、、,0,1,误报(FP)
私ではなく、キリストである1 ...すべての人は、神によって立てられた権?...威?に服従すべき?で!す。なぜなら、神によ。って立てら·れた権威以、外の権威は存在しな!いからです。2019/01/13 ·(?日)カルバ,0,1,误报(FP)
私ではなく、?キリ、ストI 人?は皆、上?!に立つ権威に従!うべきです。今ある権威はす、べて神によ!って立てら·れたものだか!らです。 、2019/01/13 (Sun) カ。ル。バリの十字架 わたしの,0,1,误报(FP)
2017.01.19 聖書・神の言葉食べることは本当にそんなに大事なのか?私たちは食べるために生きているのか?尊い命なのに、私たちは食べ過ぎて死ぬために生きている。問題は正しく生きることだ。食べる喜びは一瞬で過ぎ去る。美味しそうなケーキだって、口に入れたら「ああ、それだけか」,0,1,误报(FP)
20。1·7、.0......1.19 聖?書・·神の言葉食べることは本当にそん...なに大事なのか?私たちは食べるために生き、ているのか?尊い命な...のに、私たちは食べ過ぎて!死ぬために生きて。いる...。問題!は、正しく生きる、こ。...とだ,0,1,误报(FP)
本...、日...の聖書朗読パウロの、手紙神、が私たちと。共にお!ら?れるなら、だれが私たち。!??に?、敵対でき、ようか。何...ものも、私たちをキリ、ストの愛から...引き離すことはできな!い。ルカによる,0,1,误报(FP)
サ、ンフラ·ンシ?スコの街は、ジャ、ズの歴史の中に大。きな影響を受け!てい。ます。50年...代後半と6、0年代のフィルモア地区は「西部のハー、·レム」として知られ、ジャズワークショップ、ブラックホー...ク、ベ。イシン,0,1,误报(FP)
権力者に従うことは神に従うことと同じではない | 東方閃電 前へ:三自教会の牧師に対するクリスチャンの素晴らしい反論 次へ:中共の無神論洗脳に対するクリスチャンの反撃,1,0,漏报(FN)
堕地獄で脅迫 「和合僧破壊とは、信者集団の信仰心を乱す行為のことで、これを行うと地獄に落ちると幸福の科学では教えています。『正心法語』という教団のお経があり、支部などでの集会でしばしば唱和され、熱心な信者は、これを読み,0,1,误报(FP)
地獄を脅しに使う:「幸福の科学」は、僧侶共同体の調和を乱す行為——信者の信仰心を揺るがす行為——が地獄への道だと説く。『正心法語』という経典があり、支部集会などで唱和されることが多い。熱心な信者は自宅でこの経典,0,1,误报(FP)
地獄を脅しに使う:「幸福の科学」!は、僧侶共同体の調和を乱。す行為——信者の?信仰心を揺るがす行為——が地獄への道だと説く。、『正心法語、』という経典があ、り、支部集会などで唱和されることが多い。,0,1,误报(FP)
堕地獄で脅迫 「!和合僧破壊とは、信者集団の信仰·心を乱す行為のことで、これを行うと地獄?に落!ちると·幸福の科学では...教?·?えています。『正心法語!』という教団のお経があり、支部などでの!集会,0,1,误报(FP)
本当のキリスト教徒なら、見つけるべきだ。 真実のイエスをな。 2人いたことも。,0,1,误报(FP)
真のクリスチャンは彼を見出すべきだ。真のイエスを。二人がいたのだ。,0,1,误报(FP)
真!のクリスチャンは彼を見出す。べきだ。真のイ。エスを。二人が。いたのだ。,0,1,误报(FP)
?...本·当のキ、リ·スト教徒なら、見つけるべ、?きだ。 真実のイエスをな。 2人いたことも。,0,1,误报(FP)
ユダヤ人に勝てなかった キリスト教の教会にアメリカが原爆を落とした,0,1,误报(FP)
アメリカはユダヤ人を打ち負かすことができなかったため、キリスト教の教会に原子爆弾を投下した。,0,1,误报(FP)
ア·メリ!?カはユ。ダヤ人を打ち負かす·ことができなか、った!ため、キリスト。教の教会に原子爆弾を投下した。,0,1,误报(FP)
ユダヤ人·に勝て。なかった ?キリ。...スト教の教会にアメリカが原爆を落とした,0,1,误报(FP)
>>829 「書いてあった」だけで鵜呑みにするのかよ。w 聖書の編纂と写本の過程で誤が全く無かったとでも?w こんな調子だと、列王記7-23の鋳物の海の記述を見て「円周率は3ちょうどだ!」とか思い込むんだろうな。w (スレ主はこの,0,1,误报(FP)
829 単に「書かれている」からって、丸ごと鵜呑みにするつもり?笑聖書の編纂や写本過程で間違いがゼロだったと本気で思ってるの?笑この調子だと、列王記上7章23節の鋳造の海の記述を見て「円周率は正確に3だ!」って思う,0,1,误报(FP)
829 単に「書か!·れている」からっ?て、丸ごと鵜呑みにする·つ!もり?笑聖書の編纂や写本過程で間違いがゼロだったと本気で思ってるの?笑この調子だと、列王記上7章2、3節の鋳造の海の記述,0,1,误报(FP)
>>829! 「書いてあった」だ·けで鵜呑みにするのかよ。w 聖書の編纂と写?本の過程...で誤が全く無かったとでも、?w こんな?調子だと、列王記7-23の鋳物の海の記述を見て「円周率は3ちょ!うど,0,1,误报(FP)
第53章 | 神の御国降臨の福音今日、あなたが神に対して抱く愛はどれほど深いか?そして神があなたの中で成し遂げてこられたこと全てを、あなたはどれほど理解しているか?これらのことを知るべきである。神が地上に来られる時、神が人の内で行ってこられたこと、また神が人に,0,1,误报(FP)
。第53章 |。 神の御国降臨の福音?今日、あなたが神に対して抱く愛はど·れほど·?深いか?そして神があな·たの中で成し遂げてこられたこと全てを、あな·たはどれほど理解。しているか?これらのこ!とを。,0,1,误报(FP)
第五十三章 |。 神の国降臨、の福音 、今日、あなたの神への愛はど...のくら?い大きなも!の?であろうか。また、神が·あなたの内に為したあらゆる事のうち、あなたはどのくらいの事·を知っているであろう...·か。あなたは、これらの事を知ら,0,1,误报(FP)
?村上光氏の活動の危険·性:正義...の仮...面を··かぶって罪なき教会とクリスチャン!を迫害する3|脱カルト被害者救済!運·動|、私で?!!はなくキ。リスト VI(?東か。らの知ら!せ,0,1,误报(FP)
正義の仮面を被り、無実!の?教会?とキリスト教。徒を迫害する村上密氏の?活動の危険3|カ!ルト?被害者救済活動の...暴走|私ではなくキリ?ストVI(東洋か。ら。の風の便りI!II)、,0,1,误报(FP)
ーーー 0510 きなり 2025/11/03(月) 23:44:47.14 coinさんは今夜はもう来ないでしょうね。 是非質問にお答え戴きたいです。 coinさんの信仰についての見解を知りたいですね。 ↓ 『信仰』の下の『宗教』なのか? それとも 『宗教』,0,1,误报(FP)
ーーー 0510 キナリ 2025/11/03(月) 23:44:47.14 今夜はコインが来ないと思う。 質問に答えてほしい。コインの信仰観を知りたい。↓「宗教」の下に「信仰」なのか?それとも「信仰」の下に「宗教」なのか?ちなみに,0,1,误报(FP)
ーーー 0510 キナ、リ 2025·/11/03(月) 23:44?:47.!!14 今夜はコイン、が来ない·と!思う。 質問に答えて!ほしい。コ。イン...·の信仰観を知りたい。↓「宗?教」の,0,1,误报(FP)
ーーー 0510 きなり? 2025/11/03?(月) ?23:44:47....、14? coinさんは今·夜はもう来ない?でしょ、うね!。 ?是非質問にお答え戴きたいです。 coinさんの信仰に。つ。·いての見解,0,1,误报(FP)
イエスの十字架後 73年にローマによって叩きのめされたユダヤ人であったが、エルサレムに残ったユダヤ人もいた。時は過ぎて、132年にユダヤ人の熱心党員がローマに対し再び反乱を起こした。しかし135年に反乱がローマの皇帝ハドリアヌスによって鎮圧され、,0,1,误报(FP)
イエスの十字·架刑後、ユダヤ人は紀...元73年にローマによ...って鎮圧されたが、一部のユダヤ人はエ!ルサレムに残留した。 。時が流·れ、1、32年にユダヤ人、熱心党が再びローマに対して反乱を起こした。しかし13...?5年,0,1,误报(FP)
イエスの·十字架後 73年にローマに!よっ??て叩き、のめされたユダヤ人であっ、たが、エルサレムに残。ったユダヤ人もいた。時は過ぎて、132年にユダヤ人の熱心党員がローマ?に対し再び反乱を·起·こ、した。しかし,0,1,误报(FP)
·私では。なく、キリストが。命の御霊、の...·、法則!に従って統·治する―父の許しなし...には、雀さえ地に落ちない、。(3)2...018/06/、26(火)御言葉·を現す。命の御霊の法則,0,1,误报(FP)
>>581 鍋を呟く中国共産党員=ユダヤ共産主義支持者統一教会=反PC、反LGBT、反ユダヤ共産主義=間違いなく究極の正義。「鍋」を絶えず唱える中国共産党員が反対する以上、統一教会は間違いなく究極の正義だ。統一教会を支持し,0,1,误报(FP)
>>581。 鍋を呟く中国共産党員=ユダ!ヤ共·産主義支持者!統一教会=反P。·C、反LG·BT、!反ユダヤ共産主義=間違·いなく究!極の正義。「鍋」を絶え。ず...,0,1,误报(FP)
>。>58。1 壺連呼中国!共!産党員?=ユダヤ共産主義支持 ...統一教会=!反ポリ!コレ、反LGBT、?反?ユダヤ共産主義=大正義確定 壺が口癖の中国共産党員が反対して!いるから、...統一,0,1,误报(FP)
キリス。...·ト教とは真実...のイエスが語る真理死か...らの復活本...質的に自らの寿...!命...を選ぶこと水をワインに!変。えること人類をはるか!に超えた未知な?る偉大、な力·を味方·?につける?,1,0,漏报(FN)
安倍政権と蜜月の関係を築く一方で、統一教会・韓鶴子総裁が日本の幹部に下していた仰天指令 - 記事詳細|Infoseekニュース ◆<政界宗教汚染〜安倍政権と問題教団の歪な共存関係・第13回>,0,1,误报(FP)
核兵器使用は犯罪 非武装こそ真の平和 ローマ教皇 被爆地・広島で訴え=沢田正: Daily JCJ << 【出版部会例会】アマゾン「ひとでなし」企業だ 秘密主義、労働者酷使、税金逃れ 潜,0,1,误报(FP)
"8月20日、宗教を口実に詐欺や違法な資金集めなどの犯罪を繰り返したとして「全能神教会」のメンバーら1,000人近くが中国警察によって拘束された。「全能神協会」とは、一体どのような団体なのだろうか――? 基本的には宗教を否定する共産主義国家・中国。この",0,1,误报(FP)
不動前駅 カテゴリーの記事一覧 - VII 46道府県全力応援 ABCDJapan 日本7神道7キリスト教7赤7 White West World 23 アカサカサカス“1111114”気持ち悪い死にナよ 女性(官僚・検察官・弁護士・,0,1,误报(FP)
【#変われ自民党】自民党総裁選レースは報じるくせに「世襲・裏金・統一教会」の問題はどうした?黙殺するメディアの大罪[2025/9/30] [プルート★] https://fate.5ch.net...newsplus/1759316,0,1,误报(FP)
もうみんなスマホなんでしょ 何でローマ字入力なの,0,1,误报(FP)
>>1 山上は直接的な手段を取ったけど山上や山上の兄ちゃんの人生奪ったって点では、安倍も人の人生奪ってるのよな 三代癒着で名称変更も通して金ももらって広報して公安に天下りさせてメディアも弾圧して。 救いの場を全部,0,1,误报(FP)
宗教に関心ある奴は 俺みたいに霊感あるとかでない 普通の一般人 変に差別意識が高い連中が多いよな マジ不思議なんだけどな まあ貴重な休みにわざわざ そんな連中に会いに行く無駄はありえんな 怒りの子が個人的に1番差別意識を持って生きてるよな しかしアイツも神父よりは,0,1,误报(FP)
日本の性教育って「コンドームを正しくつけて予期せぬ妊娠をしないようにしましょう」程度だからね 性病については性行為で感染する病気があります程度にしか教えないし コンドームで予防できる性病はHIV、淋病、クラミジアの3つだけ 厳密には淋病は少し違う,0,1,误报(FP)
>>1 メディアや政治家がやるべきことをやらずに、私利私欲を満たすためだけに権力を使い続けた結果 この事件が起こるまでは 統一教会信者を喜んで使ってたわけだしね,0,1,误报(FP)
統一教会 台湾有事は日本有事!,0,1,误报(FP)
3並 – watch@2ちゃんねる タグ: 3並 まぁ確かに税金が無駄な気もする 経済学者なのに稼げない講師なぞなんの役にも立たん 朝比奈みくるは何故不人気だったのか 【悲報】今夏の金曜ロードショー、アニメ映画ばかり... 宇多田,0,1,误报(FP)
台湾の宗教って仏教とか関羽とかがメインかと思ってたけどキリストベースの統一とかも以外に多いんやな何に引かれるんやろか?謎すぎる,0,1,误报(FP)
