Source,Target,Weight
Church (General),Do: reach,2
bishops,Is: interested,2
Vatican,Do: study,2
Vatican,Do: pray,2
Church (General),Do: permit,2
Vatican,Do: like,2
イエス・キリスト,Do: 壊す,2
信徒,Do: 搞,2
Priests/Clergy,Act_on: send,2
Priests/Clergy,Do: remember,2
Topic 9,基督教,2
Topic 17,基督徒,2
日本人,Act_on: 救う,2
基督教,Do: 搞,2
Topic 4,Jesus,2
Canadian,Do: like,2
Topic 18,天主教,2
Catholic,Do: keep,2
Catholic,Is: surprised,2
bishops,Do: forgive,2
Catholics,Do: suspect,2
Jesus,Do: save,2
Christianity,Do: teach,2
bishops,Do: like,2
Canadian,Do: remember,2
Topic 18,MSW,2
Canadian,Do: hope,2
日本人,Do: いう,2
山上,Do: 狙う,2
神棍,Act_on: 出来,1
基督狗,Act_on: 对付,1
日本人,Act_on: 務める,1
信徒,Do: 变成,1
日本人,Do: 関わる,1
基督徒,Act_on: 処刑,1
日本人,Do: 衰亡,1
韓国,Act_on: 支配,1
カトリック,Do: 信用,1
神棍,Do: 用いる,1
基督教,Do: 作る,1
日本人,Do: 潰れる,1
洪秀全,Act_on: 问问,1
格里菲斯,Do: 坏,1
神职人员,Do: 告诉,1
神职人员,Do: 无耻,1
主教,Do: 红衣主教,1
犹太人,Do: 写,1
日本人,Act_on: 売る,1
カトリック,Do: 見える,1
山上,Do: 殺す,1
トランプ,Do: ?,1
神职人员,Do: 入る,1
神职人员,Do: 載る,1
神棍,Do: 逆らう,1
日本人,Act_on: 侵略,1
Vatican,Do: ignore,1
Trump,Is: person,1
Canadian,Do: speak,1
Christianity,Do: re,1
bishops,Do: speak,1
Unification Church,Act_on: allow,1
Christian,Do: preach,1
Christian,Do: witness,1
Catholics,Is: aware,1
Catholics,Is: acts,1
Christianity,Act_on: remove,1
Christianity,Do: defend,1
Christianity,Do: like,1
Jesus,Act_on: preserve,1
Vatican,Do: exclude,1
Vatican,Do: say,1
Vatican,Do: follow,1
MSW,Is: correct,1
bishops,Do: let,1
bishops,Do: wait,1
Christian,Act_on: set,1
bishops,Do: appreciate,1
Christian,Do: refer,1
Catholic,Do: describe,1
Vatican,Do: consider,1
Vatican,Do: reject,1
Vatican,Do: provide,1
Catholics,Do: limit,1
bishops,Do: accuse,1
Priests/Clergy,Do: release,1
Catholic,Do: love,1
Jesus,Act_on: rid,1
Trump,Do: strangle,1
Catholic,Do: prelate,1
bishops,Do: trust,1
Priests/Clergy,Act_on: need,1
Catholic,Is: American,1
Catholic,Is: Catholic,1
Jesus,Act_on: love,1
Jesus,Act_on: bless,1
Jesus,Act_on: keep,1
Trump,Act_on: blame,1
Pharisee,Do: miss,1
Pharisee,Do: entrust,1
bishops,Do: name,1
Catholic,Act_on: forbid,1
Vatican,Do: shake,1
Vatican,Is: happy,1
Priests/Clergy,Do: mean,1
Catholic,Do: meet,1
Christian,Do: condemn,1
Priests/Clergy,Do: respect,1
Catholic,Act_on: have,1
NCR,Do: become,1
Pharisee,Do: answer,1
Pharisee,Do: say,1
Pharisee,Is: Christian,1
Catholic,Is: pro,1
Catholic,Is: -,1
Catholic,Is: abortion,1
Vatican,Do: acknowledge,1
Vatican,Do: point,1
Vatican,Do: forgive,1
Islam,Is: responsible,1
Christian,Do: expect,1
Catholic,Do: argue,1
bishops,Do: defend,1
bishops,Act_on: teach,1
Priests/Clergy,Do: accuse,1
基督徒,Act_on: 相信,1
基督徒,Act_on: 接受,1
信徒,Act_on: 进化,1
Trump,Do: express,1
Unification Church,Do: know,1
Unification Church,Is: Christian,1
Unification Church,Is: Catholic,1
Jesus,Do: attack,1
Priests/Clergy,Do: abandon,1
Church (General),Do: get,1
Church (General),Do: begin,1
Trump,Do: come,1
Jesus,Act_on: show,1
Church (General),Act_on: understand,1
bishops,Do: hear,1
bishops,Do: advocate,1
bishops,Is: grounded,1
Church (General),Do: join,1
Christian,Do: attribute,1
Christian,Do: get,1
Christian,Do: guess,1
Christian,Do: like,1
Canadian,Do: live,1
Justin,Act_on: tell,1
Christian,Act_on: wield,1
Catholic,Is: who,1
Christian,Do: recognize,1
NCR,Is: publication,1
NCR,Do: lead,1
Catholic,Do: suggest,1
Church (General),Do: 多,1
梵蒂冈,Do: 清,1
神职人员,Do: 动得,1
主教,Do: 切割,1
Priests/Clergy,Do: object,1
Vatican,Do: find,1
神职人员,Do: 调到,1
主教,Do: 开,1
神职人员,Act_on: 有,1
神职人员,Do: 酗酒,1
Christian,Do: tell,1
Trump,Is: like,1
Jesus,Do: hang,1
Pharisee,Do: spit,1
Trump,Do: make,1
Catholic,Do: arrive,1
Jesus,Do: commission,1
Catholic,Act_on: make,1
Catholic,Do: comment,1
Catholic,Act_on: espouse,1
Trump,Act_on: influence,1
Trump,Do: look,1
NCR,Act_on: read,1
Unification Church,Do: destroy,1
Catholic,Is: part,1
Catholic,Do: object,1
Muslims,Do: write,1
Muslims,Do: play,1
Canadian,Act_on: enter,1
神职人员,Do: 供,1
主教,Do: 折磨,1
神职人员,Do: 孤立,1
主教,Do: 占着茅坑不拉屎,1
信徒,Do: 看,1
基督徒,Do: 争,1
基督教,Do: 至上,1
基督教,Do: 会,1
基督狗,Do: 摸,1
信徒,Act_on: 当成,1
基督教,Act_on: 反,1
主教,Do: 打,1
信徒,Do: 打破,1
教徒,Do: 惊掉,1
Pharisee,Do: need,1
Pharisee,Is: sorry,1
Trump,Do: lead,1
Catholics,Do: admit,1
Catholics,Do: interpret,1
Church (General),Act_on: characterise,1
Christianity,Do: reposte,1
Christianity,Act_on: reposte,1
Christianity,Do: reject,1
Christianity,Do: give,1
Christianity,Is: certain,1
Christianity,Do: look,1
Catholic,Is: award,1
Priests/Clergy,Is: cana,1
Priests/Clergy,Is: witness,1
Pharisee,Do: guess,1
川普,Do: 找,1
基督,Do: 诞生,1
教堂,Act_on: 变成,1
中国,Do: 想,1
神棍,Do: 拿来,1
信徒,Act_on: 忽悠,1
信徒,Do: 有,1
梵蒂冈,Do: 送回,1
教皇,Do: 没有,1
神职人员,Do: 绝,1
信徒,Do: 占,1
主教,Act_on: 轮到,1
教皇,Do: 跑,1
主教,Do: 跑,1
川普,Do: 退出,1
川普,Do: 算,1
基督徒,Act_on: 算,1
信徒,Act_on: 改,1
基督教,Do: 造人,1
基督徒,Act_on: 让,1
教堂,Act_on: 捐,1
主教,Do: 懂,1
主教,Do: 金贵,1
信徒,Do: 盯,1
基督徒,Act_on: 迫害,1
Jesus,Do: care,1
Church (General),Do: create,1
Christian,Do: fail,1
Christian,Do: state,1
Christian,Do: want,1
Christian,Do: quote,1
Catholic,Act_on: tell,1
Jesus,Act_on: thank,1
Catholic,Do: venture,1
Church (General),Is: pure,1
Jesus,Act_on: label,1
Catholics,Do: deny,1
Catholics,Do: love,1
Christian,Do: lump,1
Trudeau,Do: apologize,1
Church (General),Is: honest,1
Priests/Clergy,Do: commit,1
bishops,Do: sadden,1
Catholics,Do: need,1
Catholic,Do: wonder,1
信徒,Do: 少,1
神棍,Act_on: 让,1
中国,Do: 带回,1
信徒,Act_on: 改到,1
基督教,Act_on: 自称,1
Jesus,Act_on: set,1
Trump,Is: heartbeat,1
Unification Church,Act_on: shutdown,1
Unification Church,Do: feel,1
Christian,Do: kick,1
Priests/Clergy,Is: Evangelical,1
Priests/Clergy,Do: teach,1
Catholics,Is: old,1
Catholics,Is: surprised,1
Catholics,Do: move,1
Catholics,Do: learn,1
Catholics,Do: change,1
Jesus,Do: rest,1
Church (General),Do: fit,1
Church (General),Is: political,1
Church (General),Is: What,1
基督教,Do: 揭示,1
基督徒,Do: 找,1
川普,Do: 要求,1
基督,Do: 误解,1
法利赛人,Do: 误解,1
信徒,Act_on: 选择,1
基督徒,Act_on: 当,1
法利赛人,Do: 选择,1
信徒,Act_on: 没,1
主教,Do: 包庇,1
教堂,Act_on: 看,1
犹太人,Act_on: 搞,1
基督教,Act_on: 喷,1
Catholic,Act_on: practice,1
Christian,Is: scientist,1
Church (General),Do: force,1
Jesus,Is: Church,1
Catholic,Do: talk,1
Trump,Do: claim,1
Confucius,Do: suspect,1
Jesus,Do: marry,1
Jesus,Do: sire,1
Catholics,Do: urge,1
Trump,Act_on: correct,1
Trump,Is: Catholic,1
Vatican,Do: tell,1
Priests/Clergy,Is: likely,1
Church (General),Act_on: face,1
Church (General),Do: believe,1
Church (General),Do: live,1
基督教,Act_on: 要求,1
神棍,Do: 咒,1
Jesus,Do: remove,1
Priests/Clergy,Do: call,1
Pope,Do: know,1
Catholic,Is: lucky,1
Catholic,Do: use,1
Catholic,Is: amazed,1
Jesus,Is: man,1
Catholic,Is: grateful,1
Catholic,Do: hop,1
Catholics,Is: straight,1
Catholics,Is: traditionalist,1
Catholics,Do: witness,1
Jesus,Act_on: send,1
Christian,Do: live,1
Priests/Clergy,Act_on: have,1
Jesus,Is: what,1
Muslims,Do: do,1
Canadian,Do: state,1
主教,Do: 高人一等,1
基督徒,Act_on: 帮,1
基督徒,Do: 挨,1
Trump,Do: 斥,1
基督徒,Do: 破,1
主教,Do: 看懵,1
主教,Act_on: 让,1
主教,Do: 估计,1
神职人员,Do: 搞,1
主教,Do: 变,1
主教,Act_on: 谢谢,1
教皇,Do: 方济,1
梵蒂冈,Act_on: 骂,1
神职人员,Do: 干嘛,1
Catholic,Do: prefer,1
Trump,Do: choose,1
Catholic,Do: listen,1
bishops,Do: recall,1
Vatican,Is: one,1
Christian,Do: disagree,1
Catholic,Do: honor,1
Jesus,Is: Who,1
Jesus,Act_on: give,1
Jesus,Do: fill,1
Jesus,Do: sort,1
Trump,Do: move,1
Catholic,Do: recommend,1
bishops,Do: forgave,1
Jesus,Act_on: include,1
Catholic,Is: aware,1
Priests/Clergy,Is: gay,1
Christianity,Do: have,1
Christianity,Is: Christian,1
Christianity,Is: God,1
Catholic,Act_on: put,1
Catholic,Do: admire,1
Church (General),Do: consider,1
Catholics,Act_on: forget,1
bishops,Is: afraid,1
Christian,Do: love,1
Christian,Is: pleased,1
Church (General),Do: grow,1
Church (General),Act_on: do,1
bishops,Do: prefer,1
Catholic,Is: comfortable,1
Trump,Do: cross,1
基督徒,Do: 盯,1
法利赛人,Act_on: 不要,1
法利赛人,Act_on: 怎样,1
法利赛人,Act_on: 给,1
神棍,Act_on: 说,1
主教,Do: 盯,1
主教,Do: 折腾,1
Topic 9,孙悟空,1
孙悟空,Act_on: 问,1
信徒,Act_on: 当,1
教皇,Act_on: 当上,1
主教,Do: 管,1
信徒,Do: 保佑,1
神棍,Act_on: 信,1
Catholics,Act_on: call,1
Catholics,Is: all,1
Justin,Do: dare,1
Church (General),Do: practice,1
Jesus,Do: become,1
Priests/Clergy,Do: participate,1
Justin,Is: divisive,1
Jesus,Do: pronounce,1
Vatican,Do: recall,1
Jesus,Act_on: respect,1
Jesus,Do: throw,1
Church (General),Is: clergy,1
Catholic,Do: question,1
Priests/Clergy,Act_on: favor,1
Priests/Clergy,Do: feel,1
Church (General),Do: treat,1
Priests/Clergy,Do: come,1
基督狗,Act_on: 观察,1
Priests/Clergy,Do: celebrate,1
Church (General),Act_on: rule,1
Jesus,Act_on: require,1
bishops,Do: doubt,1
Church (General),Do: prove,1
Jesus,Do: feel,1
Jesus,Act_on: create,1
Jesus,Act_on: remind,1
Trump,Is: sinner,1
Vatican,Do: look,1
Trump,Act_on: bring,1
Jesus,Do: hope,1
Church (General),Act_on: serve,1
Jesus,Act_on: welcome,1
Christian,Is: bond,1
Canadian,Do: lose,1
Canadian,Do: concern,1
bishops,Do: remember,1
Jesus,Do: stand,1
Priests/Clergy,Do: focus,1
Priests/Clergy,Is: unsure,1
Priests/Clergy,Do: identify,1
Christian,Do: evolve,1
Islam,Do: prohibit,1
Canadian,Do: disturb,1
Canada,Do: take,1
Islam,Do: scar,1
Priests/Clergy,Do: speak,1
Priests/Clergy,Do: see,1
Priests/Clergy,Do: waste,1
Vatican,Do: harp,1
Church (General),Do: take,1
Christian,Is: astounded,1
Catholic,Do: choke,1
Catholic,Do: suppose,1
Catholic,Do: laugh,1
Catholic,Do: stop,1
Catholic,Do: allow,1
Vatican,Do: attest,1
Christianity,Do: seem,1
Christianity,Act_on: interpret,1
Jesus,Do: promise,1
Church (General),Is: one,1
Christian,Do: desire,1
Church (General),Do: stop,1
Catholic,Do: recall,1
Catholic,Do: demonstrate,1
Catholic,Do: lobby,1
信徒,Do: 干点,1
神职人员,Do: 稀罕,1
洪秀全,Do: 有,1
洪秀全,Do: 承认,1
主教,Do: 追责,1
主教,Do: 听腻,1
川普,Do: 出卖,1
基督徒,Do: 支持,1
川普,Do: 没,1
基督徒,Do: 看作,1
川普,Do: 看,1
教皇,Do: 狡皇,1
主教,Act_on: 追究,1
基督教,Act_on: 谈,1
川普,Act_on: 投给,1
Catholics,Do: question,1
bishops,Do: shutter,1
Jesus,Do: enjoy,1
Pharisee,Do: look,1
Trump,Act_on: denounce,1
Catholic,Is: free,1
Jesus,Do: stress,1
Catholic,Do: try,1
Catholic,Is: realist,1
Jesus,Act_on: take,1
Church (General),Do: go,1
Priests/Clergy,Do: obsess,1
bishops,Do: salute,1
Priests/Clergy,Act_on: salute,1
Unification Church,Do: view,1
Christian,Is: content,1
信徒,Do: 信,1
Jesus,Is: critical,1
Pharisee,Do: hope,1
Trump,Do: manage,1
Priests/Clergy,Act_on: provide,1
Christian,Is: hostile,1
bishops,Do: assert,1
Catholic,Is: fine,1
Christianity,Do: watch,1
Christian,Do: realize,1
Jesus,Do: champion,1
Christian,Act_on: receive,1
Vatican,Do: quote,1
Vatican,Do: talk,1
Vatican,Do: drift,1
Church (General),Do: leave,1
Vatican,Do: hope,1
Unification Church,Act_on: use,1
Church (General),Do: crawl,1
洪秀全,Do: 不如,1
法利赛人,Act_on: 差遣,1
主教,Do: 信,1
天主教,Do: 黑,1
犹太人,Do: 结合,1
主教,Do: 帮,1
神职人员,Do: 狗改不了吃屎,1
基督教,Do: 多,1
天主教徒,Do: 要求,1
天主教徒,Do: 来,1
信徒,Do: 排除,1
犹太人,Do: 借着,1
教徒,Act_on: 劝,1
法利赛人,Act_on: 骂,1
Catholic,Do: contaminate,1
Catholic,Do: await,1
Catholic,Do: ’m,1
Church (General),Is: happy,1
Priests/Clergy,Do: pass,1
Christianity,Do: suppose,1
Christianity,Do: sense,1
Christianity,Act_on: blab,1
Vatican,Do: attend,1
Church (General),Act_on: attend,1
Vatican,Do: go,1
Catholic,Do: end,1
Canada,Do: swamp,1
Christian,Do: immigrate,1
Church (General),Do: keep,1
Church (General),Is: wrong,1
Priests/Clergy,Do: hole,1
Priests/Clergy,Act_on: free,1
Christian,Do: list,1
Catholic,Do: swear,1
bishops,Do: list,1
Priests/Clergy,Is: shocked,1
Priests/Clergy,Is: older,1
Canadian,Act_on: have,1
Catholics,Do: lead,1
Jesus,Do: ordain,1
Pharisee,Do: love,1
Pharisee,Do: trust,1
Unification Church,Do: take,1
Unification Church,Do: challenge,1
Catholic,Do: happen,1
Catholic,Do: consider,1
Priests/Clergy,Is: life,1
Christian,Do: try,1
基督徒,Do: 动手,1
基督徒,Act_on: 处理,1
Topic 17,Church (General),1
Church (General),Do: ow,1
信徒,Do: 强,1
LGBT,Act_on: 盯,1
信徒,Do: 流失,1
主教,Act_on: 包括,1
基督徒,Do: 吸烟,1
基督徒,Act_on: 像,1
川普,Do: 榜上有名,1
基督教,Act_on: 恶心,1
Christian,Do: wish,1
bishops,Do: cringe,1
Catholic,Do: notice,1
Catholic,Is: Republican,1
Jesus,Do: speak,1
Christian,Is: serious,1
Jesus,Do: get,1
Canada,Act_on: push,1
Canada,Do: fade,1
Justin,Act_on: leave,1
Justin,Act_on: love,1
Justin,Act_on: hat,1
Trump,Do: follow,1
Trump,Do: find,1
Trump,Is: extension,1
bishops,Is: administrator,1
Canada,Do: transform,1
Priests/Clergy,Is: pro,1
Catholic,Do: confuse,1
Catholic,Do: spend,1
Christian,Act_on: target,1
Catholic,Act_on: insult,1
Confucius,Do: have,1
Vatican,Do: assume,1
Catholic,Act_on: condescend,1
Catholic,Do: call,1
Catholic,Act_on: call,1
Christian,Do: choose,1
Canada,Act_on: leave,1
Canada,Is: British,1
Canada,Do: learn,1
Trump,Act_on: see,1
Catholics,Do: tempt,1
Priests/Clergy,Do: exploit,1
Priests/Clergy,Do: suspect,1
bishops,Do: call,1
Catholic,Do: abide,1
Priests/Clergy,Do: love,1
Christian,Do: stand,1
Catholic,Do: invite,1
Canadian,Do: understand,1
Church (General),Act_on: support,1
Catholic,Is: bitter,1
Christian,Do: explain,1
Christian,Is: fine,1
Christian,Do: err,1
Catholic,Do: bid,1
Catholics,Do: notice,1
Catholic,Is: fractured,1
Catholic,Is: hostile,1
主教,Act_on: 帮,1
主教,Do: 长,1
主教,Do: 迈一步,1
信徒,Do: 快,1
信徒,Do: 一样,1
法利赛人,Do: 给,1
法利赛人,Do: 犯嘀咕,1
信徒,Do: 改革,1
绿教,Do: 论,1
基督狗,Act_on: 冲向,1
基督徒,Act_on: 干掉,1
主教,Do: 传教,1
神职人员,Do: 知道,1
主教,Do: 负责,1
Christian,Act_on: reject,1
Canadian,Do: fear,1
Jesus,Act_on: define,1
Catholics,Do: try,1
