topic,lang,layer,target,verb,predicate,role,context,frame_type
21,zh,svo,教堂,转转,转转,patient,"“要不是靠拉那些底层移民进来凑人头，教会早就成了帮道貌岸然的中产阶级的私人会所了。”这话说的，真是又毒又准。

你真去转转就知道了，同一个地方的教堂，里面的圈子完全不一样。有的教堂确实就是一帮有钱人在那儿搞社交，装模作样。但旁边有的就全是普通老百姓，还有些教堂里全是外来打工的，人家照样搞得风生水起。",other
30,zh,svo,基督徒,不如,不如,agent,国内基督教指的是那一串因信称义的新教，基督徒对基督教本身的了解可能还不如8u,dehumanization
12,zh,svo,神父,念叨,念叨 得,agent,"第二段
咱们就说一对读过点书的夫妻吧，能听懂你们那套所谓的“教会法”。神父上来肯定得先把规矩给他们念叨一遍。但他接着又必须得（注意是“必须”）跟他们解释，在你们天主教的道德观里，“良心”这玩意儿才是最终的、压倒一切的。说白了，这意思就是等将来到了基督的审判台前，人家要问的不是你有没有死守教会的教条，",other
12,zh,svo,耶稣,禁止,禁止,agent,"第二段
咱们就说一对读过点书的夫妻吧，能听懂你们那套所谓的“教会法”。神父上来肯定得先把规矩给他们念叨一遍。但他接着又必须得（注意是“必须”）跟他们解释，在你们天主教的道德观里，“良心”这玩意儿才是最终的、压倒一切的。说白了，这意思就是等将来到了基督的审判台前，人家要问的不是你有没有死守教会的教条，",other
21,zh,svo,神棍,动动,动动 嘴,agent,"末法时代了，真是啥妖魔鬼怪都出来作秀。

天天喊着什么“与主内家人合一”，要“治愈隔阂”、“彰显大爱”，口号一个比一个响。

说白了不就是教会高层想甩锅吗？把所有烂摊子全推给底下信众，让他们自己去“彼此服事”、“互相负责”，还包装得特好听。

神棍们动动嘴，韭菜们跑断腿。老套路了。",cognitive_manipulation
4,zh,svo,神父,搭上,搭上,patient,一修女搭上神父的车，神父禁不住伸手摸修女雪白大腿，修女问：神父，你记得圣经129条写着什么吗？ 神父脸红急忙收手，回到教堂后迫不及待翻开圣经第129条，见上面写到；深入一点，你将得到无尽的荣耀！神父大呼：上帝呀，业务不熟将失去多少机会呀！ 同志们，要好好学习业务呀！,other
4,zh,svo,神父,修女,修女,patient,一修女搭上神父的车，神父禁不住伸手摸修女雪白大腿，修女问：神父，你记得圣经129条写着什么吗？ 神父脸红急忙收手，回到教堂后迫不及待翻开圣经第129条，见上面写到；深入一点，你将得到无尽的荣耀！神父大呼：上帝呀，业务不熟将失去多少机会呀！ 同志们，要好好学习业务呀！,sexual_abuse_frame
4,zh,svo,神父,搭上,搭上,patient,一修女搭上神父的车，神父禁不住伸手摸修女雪白大腿，修女问：神父，你记得圣经129条写着什么吗？ 神父脸红急忙收手，回到教堂后迫不及待翻开圣经第129条，见上面写到  深入一点，你将得到无尽的荣耀!神父大呼：上帝呀，业务不熟将失去多少机会呀! 同志们，要好好学习业务呀!,other
4,zh,svo,神父,修女,修女,patient,一修女搭上神父的车，神父禁不住伸手摸修女雪白大腿，修女问：神父，你记得圣经129条写着什么吗？ 神父脸红急忙收手，回到教堂后迫不及待翻开圣经第129条，见上面写到  深入一点，你将得到无尽的荣耀!神父大呼：上帝呀，业务不熟将失去多少机会呀! 同志们，要好好学习业务呀!,sexual_abuse_frame
4,zh,svo,神父,得到,得到,patient,一修女搭上神父的车，神父禁不住伸手摸修女雪白大腿，修女问：神父，你记得圣经129条写着什么吗？ 神父脸红急忙收手，回到教堂后迫不及待翻开圣经第129条，见上面写到  深入一点，你将得到无尽的荣耀!神父大呼：上帝呀，业务不熟将失去多少机会呀! 同志们，要好好学习业务呀!,other
39,zh,svo,神棍,散播,散播 谣言,agent,赵神棍又在散播这种老掉牙的谣言了。作为科技大学的教授，缺乏常识是可耻的，作为上帝的信徒，说谎会被雷劈的哦！,cognitive_manipulation
44,zh,svo,教皇,正确,正确,agent,"教皇在神学和教义上就永远正确了？你们这帮人是真没脑子还是假没脑子？
人家只有在“依圣座权威”发言的时候才算“绝无谬误”，这基本常识都搞不懂？
我看底下的信众们心里都跟明镜似的，反倒是上面那帮当“牧羊人”的自己先乱了阵脚，找不着北了。
数数历史上那些有头有脸的教皇，就方济各身边最没马屁精，也最讨厌活在",other
27,zh,svo,信徒,金主,金主 谁,patient,"我寻思一个卖蛋糕的能有几个钱？这官司都打到最高法院了，他哪来的钱请律师？背后没金主谁信啊？

还不是那些挂着十字架的教会和机构在掏钱。他们靠信徒圈来的那些钱，免税的钱，到底有多少砸进去了？

我们这国家又不是神棍治国，我看快差不多了。把宗教和权力掺和在一起，简直是祸国殃民，把我们国家的根都给刨了。
",economic_exploitation
2,zh,window,教会,压迫,压迫,unknown,"们的附庸。他们推的那个狗屁“改革”，心里门儿清，不就是为了把教会里所有的权都攥在男的手里吗？一个个都想享受 PUA 女人的权力，你一问他，他就给你揣着明白装糊涂。

还好意思说不知道？我和别人早就把这事捅到他们脸上了！搞这套东西，唯一的结果就是性别隔离，把所有女信徒变成二等公民，精神上被彻底控制。除",dehumanization
6,zh,svo,教会,叫爽,叫爽,agent,"穷逼才去穷教堂。有钱的教会才叫爽，我们怎么做到的？就拿那个叫马西埃尔的娈童神父来说，给受害者的封口费能抠就抠，钱不就来了嘛。
——梵蒂冈",other
6,zh,window,神父,封口,封口,unknown,"。有钱的教会才叫爽，我们怎么做到的？就拿那个叫马西埃尔的娈童神父来说，给受害者的封口费能抠就抠，钱不就来了嘛。
——梵蒂冈",institutional_rot
6,zh,window,教会,封口,封口,unknown,"穷逼才去穷教堂。有钱的教会才叫爽，我们怎么做到的？就拿那个叫马西埃尔的娈童神父来说，给受害者的封口费能抠就抠，钱不就来了嘛。
——梵蒂冈",institutional_rot
2,zh,svo,教会,合着,合着,patient,"哦，合着教会就是个女身子男脑袋的玩意儿？

但凡读过点神学，就知道基督和教会这“奥秘”压根不是你这种爹味比喻能概括的。人家讲的是肉身分男女，但人性是男女同体的；夏娃本就在亚当里，亚当也离不开夏娃。

再去翻翻你们的《天主教教理》第239、370、2779条，白纸黑字写着上帝不能用人类那套男权思想去框",other
2,zh,svo,耶稣,献给,献给,patient,"行吧，你说的这些算你们的“伟大传统”，我认了。但后来那帮人添油加醋搞出来的东西，什么“信仰宝库”之类的，一股子爹味都快溢出屏幕了，这怎么洗？

尤其是天主教那帮人，骚操作简直了。圣经里明明有“道”（Logos）这个先例，源头是旧约里女性的“智慧”（Hochmah）和希腊的索菲亚（Sophia），约翰",other
39,zh,svo,基督徒,配叫,配叫,patient,这帮人就是挂羊头卖狗肉，也配叫基督徒？真正的基督徒该怎么做，他们懂个屁。,moral_accusation
2,zh,svo,教会,支持,支持 去,patient,"说得好。楼里早就有人说了，女司祭、女主教咱们早就有了，只不过是“体制外”的罢了。

我看，咱们这些看透了这种性别歧视和排外糟粕的人，干脆就别跟他们玩了。去支持那些有种的姐妹们自己搞的教会，跟她们一起敬拜，走她们的路。至于那帮心胸狭隘、思想僵化的老头子，就让他们在自己的小圈子里自嗨去吧。

反正他们也",other
44,zh,svo,教会,核心,核心,agent,"教皇方济各这老哥上台四年，我也来锐评一下。

黑点嘛，就是这人嘴上没个把门的。即兴讲话的时候就喜欢信口开河，东拉西扯，时不时说出点浑话，回头还得自己（或者手下那帮人）出来给他擦屁股，净整些没用的幺蛾子。

讲到教会那套规矩的时候，就喜欢和稀泥，云里雾里，不说人话，净灌些心灵鸡汤。一提到女性问题，那话",other
44,zh,svo,教会,需要,需要,agent,"教皇方济各这老哥上台四年，我也来锐评一下。

黑点嘛，就是这人嘴上没个把门的。即兴讲话的时候就喜欢信口开河，东拉西扯，时不时说出点浑话，回头还得自己（或者手下那帮人）出来给他擦屁股，净整些没用的幺蛾子。

讲到教会那套规矩的时候，就喜欢和稀泥，云里雾里，不说人话，净灌些心灵鸡汤。一提到女性问题，那话",other
44,zh,window,教会,毒瘤,毒瘤,unknown,"或者手下那帮人）出来给他擦屁股，净整些没用的幺蛾子。

讲到教会那套规矩的时候，就喜欢和稀泥，云里雾里，不说人话，净灌些心灵鸡汤。一提到女性问题，那话说得叫一个笨拙，情商低得感人。

不过话说回来，他也有可取之处。他很清楚教会最核心、最要紧的是什么（比如怜悯、跟穷苦人站在一起、学着基督的样子做事），",dehumanization
9,zh,svo,洪秀全,问问,问问,patient,耶稣是洪秀全的哥哥而已，问问洪秀全看他哥能跟孔子比不,other
2,zh,svo,神父,独身,独身 事,agent,"教会是所有信徒——不管男女——的，可不是上面那帮男的老爷们的私产。

你拿所谓的“教会教导”和“法规”说事，不就是想让人盲从，把人当傻子耍吗？

神父必须独身这事，根本就不是什么神圣的“教导”，顶多算个内部“纪律”，说改随时就能改。他们的法规自己都变过多少次了，几十年前定下的，现在说推翻就推翻，还好",sexual_abuse_frame
3,zh,svo,教会,正确,正确,agent,可不是么。现在的教会为了迎合那套政治正确，连“同性恋是罪”这种话都不敢说了？,other
9,zh,svo,耶稣,对应,对应,patient,格里菲斯这么坏对应不了耶稣吧,other
6,zh,svo,主教,红衣主教,红衣主教,agent,"楼主说到点子上了。

说白了，要是连主教这种级别的人，都得靠别人来告诉他们猥亵儿童是多么丧尽天良，还需要专门“培训”他们怎么“处理”这种事，那这教会的问题就根本不是一两个丑闻那么简单，而是早就烂到根了。

我就想不通了，一个人得无耻到什么地步，才能一路爬到主教、大主教甚至红衣主教的位置，骨子里却连最",sexual_abuse_frame
6,zh,window,教会,猥亵,猥亵,unknown,"多么丧尽天良，还需要专门“培训”他们怎么“处理”这种事，那这教会的问题就根本不是一两个丑闻那么简单，而是早就烂到根了。

我就想不通了，一个人得无耻到什么地步，才能一路爬到主教、大主教甚至红衣主教的位置，骨子里却连最基本的是非都分不清？这种事，在教会里发生一次都让人恶心，他们居然还搞得这么普遍，甚至",sexual_abuse_frame
6,zh,window,教会,丑闻,丑闻,unknown,"多么丧尽天良，还需要专门“培训”他们怎么“处理”这种事，那这教会的问题就根本不是一两个丑闻那么简单，而是早就烂到根了。

我就想不通了，一个人得无耻到什么地步，才能一路爬到主教、大主教甚至红衣主教的位置，骨子里却连最基本的是非都分不清？这种事，在教会里发生一次都让人恶心，他们居然还搞得这么普遍，甚至",institutional_rot
6,zh,window,主教,猥亵,猥亵,unknown,"楼主说到点子上了。

说白了，要是连主教这种级别的人，都得靠别人来告诉他们猥亵儿童是多么丧尽天良，还需要专门“培训”他们怎么“处理”这种事，那这教会的问题就根本不是一两个丑闻那么简单，而是早就烂到根了。

我就想不通了，一个人得无耻到什么地步，才能一路爬到主教、大主教甚至红衣主教的位置，骨子里却连最",sexual_abuse_frame
6,zh,window,主教,丑闻,丑闻,unknown,"楼主说到点子上了。

说白了，要是连主教这种级别的人，都得靠别人来告诉他们猥亵儿童是多么丧尽天良，还需要专门“培训”他们怎么“处理”这种事，那这教会的问题就根本不是一两个丑闻那么简单，而是早就烂到根了。

我就想不通了，一个人得无耻到什么地步，才能一路爬到主教、大主教甚至红衣主教的位置，骨子里却连最",institutional_rot
3,zh,window,教会,扭曲,扭曲,unknown,教会那套对性的看法有多病态，多扭曲，还天天给信徒洗脑硬要他们遵守，真的可悲。也难怪LGBT群体会跟他们死磕到底。多少人就是被这套“教诲”给害了，吃了无数没必要的苦头，才终于醒悟过来，看清这些玩意儿错得有多离谱。,cognitive_manipulation
3,zh,window,教会,洗脑,洗脑,unknown,教会那套对性的看法有多病态，多扭曲，还天天给信徒洗脑硬要他们遵守，真的可悲。也难怪LGBT群体会跟他们死磕到底。多少人就是被这套“教诲”给害了，吃了无数没必要的苦头，才终于醒悟过来，看清这些玩意儿错得有多离谱。,cognitive_manipulation
3,zh,window,lgbt,扭曲,扭曲,unknown,病态，多扭曲，还天天给信徒洗脑硬要他们遵守，真的可悲。也难怪LGBT群体会跟他们死磕到底。多少人就是被这套“教诲”给害了，吃了无数没必要的苦头，才终于醒悟过来，看清这些玩意儿错得有多离谱。,cognitive_manipulation
3,zh,window,lgbt,洗脑,洗脑,unknown,病态，多扭曲，还天天给信徒洗脑硬要他们遵守，真的可悲。也难怪LGBT群体会跟他们死磕到底。多少人就是被这套“教诲”给害了，吃了无数没必要的苦头，才终于醒悟过来，看清这些玩意儿错得有多离谱。,cognitive_manipulation
2,zh,svo,神父,任命,任命,patient,简直是胡闹，教会哪来的权力任命女的当神父？就那几个脑子不清醒的邪门主教，自顾自在那儿演戏，搞个仪式就算数了？那女的也配叫神父？照这么说，我还能是玉皇大帝呢。,other
26,zh,svo,神父,犹存,犹存,agent,我看这神父也是风韵犹存啊,other
28,zh,svo,伯克,支持,支持 主张,agent,"首先，纽约时报那玩意儿，屁股本来就是歪的，铁了心要黑天主教，为了带节奏什么瞎话都敢编。伯克枢机是传统派，而方济各天天被那帮白左捧臭脚，纽时喜欢谁还用问？再说伯克枢机这人压根就不怎么爱掺和政治。

班农那家伙就不一样了，满脑子都是政治算计。一个结了三次婚的人，你指望他把天主教那套教条当回事？他当然会到",other
2,zh,svo,主教,当上,当上,patient,"现在的毛病在哪？就是没人觉得当个“神职人员”是啥天职了。说白了，就是一男的，搭上一辈子，全职投入，还得守身如玉当光棍。

按我们的规矩，你要想被“祝圣”当上神父或者主教，就得全职干，干一辈子。

可你翻翻《使徒行传》和那些书信，初代教会压根儿就没这规矩。那时候所谓的“执事”，不就是普通信徒（“平信徒",other
2,zh,svo,神父,说穿,说穿 找来,agent,"现在的毛病在哪？就是没人觉得当个“神职人员”是啥天职了。说白了，就是一男的，搭上一辈子，全职投入，还得守身如玉当光棍。

按我们的规矩，你要想被“祝圣”当上神父或者主教，就得全职干，干一辈子。

可你翻翻《使徒行传》和那些书信，初代教会压根儿就没这规矩。那时候所谓的“执事”，不就是普通信徒（“平信徒",moral_accusation
2,zh,svo,主教,找来,找来,agent,"现在的毛病在哪？就是没人觉得当个“神职人员”是啥天职了。说白了，就是一男的，搭上一辈子，全职投入，还得守身如玉当光棍。

按我们的规矩，你要想被“祝圣”当上神父或者主教，就得全职干，干一辈子。

可你翻翻《使徒行传》和那些书信，初代教会压根儿就没这规矩。那时候所谓的“执事”，不就是普通信徒（“平信徒",other
2,zh,svo,主教,代行,代行,patient,"现在的毛病在哪？就是没人觉得当个“神职人员”是啥天职了。说白了，就是一男的，搭上一辈子，全职投入，还得守身如玉当光棍。

按我们的规矩，你要想被“祝圣”当上神父或者主教，就得全职干，干一辈子。

可你翻翻《使徒行传》和那些书信，初代教会压根儿就没这规矩。那时候所谓的“执事”，不就是普通信徒（“平信徒",other
35,zh,svo,基督徒,...,...,agent,"“我寻思基督徒都...”？呵呵，你再多说两句？

一边连自己交的税用来救济穷人都不愿意，一边又天天把“爱”和“奉献”挂在嘴上，装什么大善人？你们那套玩意儿自己信吗？",other
20,zh,svo,神父,相较于,相较于 权,agent,神父笑话主要问题是现实中现在还是会发生而且细节过于离谱，以及神父相较于修女地位和权比重过大，相比起修女就过于微不足道了。,other
2,zh,svo,教会,无权,无权,agent,只要罗马那帮高层还死抱着“教会无权任命女性”这种陈词滥调，连信徒自己内部提一嘴都不行，那女人当神父这事儿就甭想了，还谈什么狗屁的沟通和合一，只会把路越走越窄。整个教会真该好好照照镜子，看看自己都什么德行了！,political_interference
2,zh,svo,教会,照照,照照 该,agent,只要罗马那帮高层还死抱着“教会无权任命女性”这种陈词滥调，连信徒自己内部提一嘴都不行，那女人当神父这事儿就甭想了，还谈什么狗屁的沟通和合一，只会把路越走越窄。整个教会真该好好照照镜子，看看自己都什么德行了！,moral_accusation
13,zh,svo,教会学校,洗脑,洗脑 玩意儿,agent,那帮教会学校，天天都在给孩子洗脑些什么玩意儿？,cognitive_manipulation
13,zh,window,教会,洗脑,洗脑,unknown,那帮教会学校，天天都在给孩子洗脑些什么玩意儿？,cognitive_manipulation
3,zh,svo,教会,躲进,躲进,patient,我说的就是七八十年代那会儿，教会里藏污纳垢，专出恋童癖那档子事。现在倒好，多亏了那帮媒体和娱乐圈的戏子，这点破事儿的底线早就没了。美国那帮挂名的教徒，一大半嘴上信上帝，心里早就接受同性恋了。所以现在那帮搞同性恋的，根本用不着躲进教会当神父来掩盖身份。人家现在待在外面这个花花世界，只要公开一出柜，就能,other
3,zh,svo,神父,当上,当上,patient,我说的就是七八十年代那会儿，教会里藏污纳垢，专出恋童癖那档子事。现在倒好，多亏了那帮媒体和娱乐圈的戏子，这点破事儿的底线早就没了。美国那帮挂名的教徒，一大半嘴上信上帝，心里早就接受同性恋了。所以现在那帮搞同性恋的，根本用不着躲进教会当神父来掩盖身份。人家现在待在外面这个花花世界，只要公开一出柜，就能,other
3,zh,window,教会,掩盖,掩盖,unknown,我说的就是七八十年代那会儿，教会里藏污纳垢，专出恋童癖那档子事。现在倒好，多亏了那帮媒体和娱乐圈的戏子，这点破事儿的底线早就没了。美国那帮挂名的教徒，一大半嘴上信上帝，心里早就接受同性恋了。所以现在那帮搞同性恋的，根本用不着躲进教会当神父来掩盖身份。人家现在待在外面这个花花世界，只要公开一出柜，就能,institutional_rot
3,zh,window,神父,掩盖,掩盖,unknown,"就接受同性恋了。所以现在那帮搞同性恋的，根本用不着躲进教会当神父来掩盖身份。人家现在待在外面这个花花世界，只要公开一出柜，就能被媒体捧上天，被当成英雄供着，何必去受那个罪？

想当年，信教的人家，哪个当妈的不是天天祷告，盼着儿子能当上神父，女儿能做修女，那才叫光宗耀祖。用不了多久，我看这些当妈的，最",institutional_rot
21,zh,svo,教会,开放,开放,agent,"开什么玩笑！我以前待的那个教会，思想就特别开放。每个礼拜天教堂里都挤得水泄不通，大家就是想听牧师讲道，那种能真正挑战我们、让我们为基督作见证的道。

不知道多少人主动去参加各种社会服务，我们搞的那些事工，活力四射，哪是“唱诗班”、“妇女会”、“接待组”这种内部自嗨能比的？我们是真正去服侍那些被社会排",other
34,zh,svo,教会,断奶,断奶 该,agent,"天主教会早该从政府身上断奶了。彻底断干净！
不光是别再帮政府搞那些白左圣母的玩意儿。
还有那些减税免税的特权，都得给我停了。

这么搞，教区里那帮坐办公室的可能得滚蛋？爱咋咋地。

咱们就该学句老话：井水不犯河水。

别合作，别联手，啥都别沾边。

我们平信徒靠自己，就能把世界重新基督化。老老实实工",dehumanization
34,zh,svo,耶稣,要求,要求,agent,"天主教会早该从政府身上断奶了。彻底断干净！
不光是别再帮政府搞那些白左圣母的玩意儿。
还有那些减税免税的特权，都得给我停了。

这么搞，教区里那帮坐办公室的可能得滚蛋？爱咋咋地。

咱们就该学句老话：井水不犯河水。

别合作，别联手，啥都别沾边。

我们平信徒靠自己，就能把世界重新基督化。老老实实工",other
34,zh,svo,信徒,那样,那样,agent,"天主教会早该从政府身上断奶了。彻底断干净！
不光是别再帮政府搞那些白左圣母的玩意儿。
还有那些减税免税的特权，都得给我停了。

这么搞，教区里那帮坐办公室的可能得滚蛋？爱咋咋地。

咱们就该学句老话：井水不犯河水。

别合作，别联手，啥都别沾边。

我们平信徒靠自己，就能把世界重新基督化。老老实实工",other
22,zh,svo,圣母婊,牺牲,牺牲 自己,agent,圣母会牺牲自己拯救他人，而且不损害他人利益，圣母婊也会牺牲自己拯救他人 但是会绑架所有人一起来成全自己的名声，更甚一点是直接牺牲他人来成全自己,other
12,zh,svo,耶稣,离婚,离婚,agent,"耶稣能是普通人吗？搞清楚，人家是神唯一的儿子，说的话当然是绝对真理，完美无瑕的。

我承认，那些守独身的也能有大智慧，就算谈情说爱也能头头是道。但前提是他们得真的去学、去了解，不能光抱着那本老头子们写的破规矩书当金科玉律。

我前面就说了——耶稣在《福音》里压根就没给离婚留任何口子，管你是什么“婚姻",other
12,zh,svo,耶稣,设立,设立,agent,"耶稣能是普通人吗？搞清楚，人家是神唯一的儿子，说的话当然是绝对真理，完美无瑕的。

我承认，那些守独身的也能有大智慧，就算谈情说爱也能头头是道。但前提是他们得真的去学、去了解，不能光抱着那本老头子们写的破规矩书当金科玉律。

我前面就说了——耶稣在《福音》里压根就没给离婚留任何口子，管你是什么“婚姻",other
40,zh,svo,耶稣会,哭泣,哭泣,agent,"笑死，你们这教那教的自己都快打出狗脑子了，还好意思说世界乱？

天天搁那儿自我感动，什么心掉进泪水沟里，什么耶稣为耶路撒冷哭泣……我看耶稣要是知道你们现在拿他那套东西搞成这样，他才真要哭呢。

还说彼得掉水里那个事，说就算自己掉下去也信耶稣会来救你？醒醒吧，这就是典型的精神鸦片，自我感动式的PUA。",other
6,zh,window,教会,揭露,揭露,unknown,"气去揭露这些，我真是直接看哭了！有你们在，人性就还没有被天主教会这个丧尽天良的毒瘤给彻底吞噬！
感谢主！！！",moral_accusation
6,zh,window,教会,毒瘤,毒瘤,unknown,"气去揭露这些，我真是直接看哭了！有你们在，人性就还没有被天主教会这个丧尽天良的毒瘤给彻底吞噬！
感谢主！！！",dehumanization
6,zh,window,主教,揭露,揭露,unknown,"勇气去揭露这些，我真是直接看哭了！有你们在，人性就还没有被天主教会这个丧尽天良的毒瘤给彻底吞噬！
感谢主！！！",moral_accusation
6,zh,window,主教,毒瘤,毒瘤,unknown,"勇气去揭露这些，我真是直接看哭了！有你们在，人性就还没有被天主教会这个丧尽天良的毒瘤给彻底吞噬！
感谢主！！！",dehumanization
12,zh,svo,神父,警惕,警惕,agent,"如果一方利用神父或牧师的属灵权威来说亲，造成了属灵权威的胁迫，这桩婚姻也应该是无效的，牧师，神父 常应该警惕防止好心办坏事。
不要产生一种误解，认为用任何手段造成的婚姻本质上都是神的默许，神不会以罪孽成就祂的神圣盟约。",political_interference
2,zh,svo,神父,想起,想起,patient,"这标题也够误导人的……一看就让我想起了我们堂区新来的那个神父，商科出身，读神学院前是搞商业的。他现在正把教区当公司搞，给教堂换个logo、搞个公众号，还到处“营销”圣召，拉年轻人入伙……这一套操作真是把我尬死了。这不就是耶稣当年清理圣殿的原因吗？把敬拜上帝的地方变成了菜市场。

这文章也点出了另一个",other
2,zh,svo,神父,独身制,独身制,agent,"这标题也够误导人的……一看就让我想起了我们堂区新来的那个神父，商科出身，读神学院前是搞商业的。他现在正把教区当公司搞，给教堂换个logo、搞个公众号，还到处“营销”圣召，拉年轻人入伙……这一套操作真是把我尬死了。这不就是耶稣当年清理圣殿的原因吗？把敬拜上帝的地方变成了菜市场。

这文章也点出了另一个",other
12,zh,svo,神父,渗透,渗透,agent,"天主对通奸和离婚的旨意变过吗？我们对教义的理解变过吗？都没有。那凭什么教会要改规矩？

要我说，变的是现在的人，他们对婚姻的理解早就歪了，结婚的动机也乱七八糟。整个世俗社会更是把婚姻当成可以随时撕毁的临时合同。

我们天主教徒在发誓的时候，就该清楚离婚的后果是什么，这是跟天主立下的约定，没有讨价还价",political_interference
12,zh,window,教会,渗透,渗透,unknown,"和离婚的旨意变过吗？我们对教义的理解变过吗？都没有。那凭什么教会要改规矩？

要我说，变的是现在的人，他们对婚姻的理解早就歪了，结婚的动机也乱七八糟。整个世俗社会更是把婚姻当成可以随时撕毁的临时合同。

我们天主教徒在发誓的时候，就该清楚离婚的后果是什么，这是跟天主立下的约定，没有讨价还价的余地。
",political_interference
44,zh,svo,教会,清理,清理 要,agent,"乐了，教会总算要清理门户了。那帮老顽固非要跟教宗撕破脸，正好。

教宗就拿他们杀鸡儆猴，明摆着告诉所有红衣主教：都给我老老实实当个牧羊人，少在那儿搞宫斗、玩权术，把教会当成你们自己家开的了？

我看那个带头的老顽固就该滚回他的小圈子，跟他那帮老古董们一起念经去吧，别出来丢人现眼了。",dehumanization
44,zh,svo,主教,告诉,告诉,patient,"乐了，教会总算要清理门户了。那帮老顽固非要跟教宗撕破脸，正好。

教宗就拿他们杀鸡儆猴，明摆着告诉所有红衣主教：都给我老老实实当个牧羊人，少在那儿搞宫斗、玩权术，把教会当成你们自己家开的了？

我看那个带头的老顽固就该滚回他的小圈子，跟他那帮老古董们一起念经去吧，别出来丢人现眼了。",other
2,zh,svo,教会,获得,获得 女性,agent,"光看教宗那份文告的措辞和庄重程度，就足以让我确信《神职授任》(OS)是不可动摇的。这事儿给未来定了调，教宗说得明明白白：教会没有从基督那里获得任命女性为司铎的权柄。

既然教会一直都没有这个权柄，难道以后能从天上凭空掉下来不成？除非基督亲自显灵，公开命令教会改弦更张。哪个教宗要是敢跳出来说，他从主耶",sexual_abuse_frame
2,zh,svo,教会,没有,没有 权柄,agent,"光看教宗那份文告的措辞和庄重程度，就足以让我确信《神职授任》(OS)是不可动摇的。这事儿给未来定了调，教宗说得明明白白：教会没有从基督那里获得任命女性为司铎的权柄。

既然教会一直都没有这个权柄，难道以后能从天上凭空掉下来不成？除非基督亲自显灵，公开命令教会改弦更张。哪个教宗要是敢跳出来说，他从主耶",political_interference
