,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Clustering
13,14,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),100%,1136.0,0.596,1024.0,32768.0,54.97,54.97,54.97
14,15,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,29040.0,7.613,3584.0,32768.0,56.62,56.62,56.62
15,16,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),100%,1068.0,0.56,1024.0,514.0,54.5,54.5,54.5
16,17,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),44%,1660.0,0.435,4096.0,8192.0,53.49,53.49,53.49
17,18,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),100%,89079.0,57.92,32768.0,32768.0,54.25,54.25,54.25
18,19,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),100%,13563.0,7.111,4096.0,32768.0,53.76,53.76,53.76
19,20,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),100%,13563.0,7.11,4096.0,32768.0,54.35,54.35,54.35
20,21,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),44%,3802.0,1.999,8960.0,131072.0,,,
21,22,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,50.69,50.69,50.69
22,23,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),100%,13813.0,7.24,4096.0,32768.0,52.62,52.62,52.62
23,24,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,1024.0,512.0,48.36,48.36,48.36
24,25,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,50.22,50.22,50.22
25,26,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),100%,418.0,0.109,768.0,512.0,47.85,47.85,47.85
26,27,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,639.0,0.335,1024.0,512.0,47.83,47.83,47.83
27,28,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),100%,1278.0,0.335,1024.0,512.0,47.69,47.69,47.69
28,29,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),100%,1092.0,0.572,1024.0,8194.0,50.04,50.04,50.04
29,30,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,1660.0,0.435,4096.0,8192.0,50.19,50.19,50.19
30,31,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),100%,1061.0,0.278,768.0,514.0,47.61,47.61,47.61
31,32,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),100%,2136.0,0.56,1024.0,514.0,47.44,47.44,47.44
32,33,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,1536.0,8191.0,49.16,49.16,49.16
33,34,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,,,,512.0,47.36,47.36,47.36
34,35,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100%,1659.0,0.435,1024.0,514.0,47.01,47.01,47.01
35,36,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,47.44,47.44,47.44
36,37,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,127.0,0.033,384.0,512.0,46.47,46.47,46.47
37,38,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),100%,2136.0,0.56,1024.0,514.0,49.61,49.61,49.61
38,38,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,1278.0,0.335,1024.0,512.0,46.99,46.99,46.99
39,40,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,418.0,0.109,768.0,384.0,46.73,46.73,46.73
40,40,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),100%,390.0,0.109,768.0,512.0,46.68,46.68,46.68
41,42,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,52.91,52.91,52.91
42,42,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100%,475.0,0.124,768.0,514.0,46.72,46.72,46.72
43,44,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,48.19,48.19,48.19
44,45,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),100%,127.0,0.033,384.0,512.0,46.18,46.18,46.18
45,46,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,48.66,48.66,48.66
46,47,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),44%,14975.0,7.85,4096.0,32768.0,45.72,45.72,45.72
47,48,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),100%,582.0,0.305,768.0,8192.0,47.83,47.83,47.83
48,49,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,209.0,0.109,768.0,512.0,46.61,46.61,46.61
49,49,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),100%,1242.0,0.335,1024.0,512.0,46.23,46.23,46.23
50,51,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),88%,522.0,,768.0,8192.0,46.41,46.41,46.41
51,52,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),100%,127.0,0.033,384.0,512.0,46.2,46.2,46.2
52,53,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),⚠️ NA,1061.0,,768.0,514.0,47.09,47.09,47.09
53,54,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),100%,449.0,0.118,384.0,512.0,46.49,46.49,46.49
54,55,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,639.0,0.335,1024.0,512.0,46.3,46.3,46.3
55,56,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,512.0,32000.0,48.17,48.17,48.17
56,57,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),100%,127.0,0.033,512.0,512.0,45.79,45.79,45.79
57,58,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),55%,1885.0,0.494,896.0,512.0,49.05,49.05,49.05
58,59,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),100%,15618.0,8.0,4096.0,1536.0,,,
59,60,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),55%,1885.0,0.494,896.0,512.0,49.53,49.53,49.53
60,61,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),44%,14975.0,7.85,4096.0,32768.0,44.07,44.07,44.07
61,62,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,64.0,0.033,384.0,512.0,45.74,45.74,45.74
62,63,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),88%,,,768.0,8192.0,45.83,45.83,45.83
63,64,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),100%,87.0,0.023,384.0,512.0,45.3,45.3,45.3
64,65,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,2136.0,0.56,1024.0,514.0,47.13,47.13,47.13
65,66,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),88%,522.0,0.137,768.0,8192.0,45.04,45.04,45.04
66,67,[e5-large](https://huggingface.co/intfloat/e5-large),100%,1278.0,0.335,1024.0,512.0,45.89,45.89,45.89
67,68,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),100%,1061.0,0.278,768.0,514.0,47.7,47.7,47.7
68,69,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),88%,238.0,0.125,768.0,512.0,45.1,45.1,45.1
69,70,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),100%,2166.0,0.568,1024.0,8192.0,46.16,46.16,46.16
70,71,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,87.0,0.023,384.0,512.0,44.21,44.21,44.21
71,72,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,13563.0,7.111,,32768.0,45.51,45.51,45.51
72,73,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,418.0,0.109,768.0,512.0,44.97,44.97,44.97
73,74,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,87.0,0.023,384.0,256.0,43.45,43.45,43.45
74,75,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),88%,58.0,0.03,384.0,512.0,43.82,43.82,43.82
75,76,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),100%,1165.0,0.305,768.0,8192.0,45.19,45.19,45.19
76,77,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),100%,415.0,0.109,768.0,512.0,44.52,44.52,44.52
77,78,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,1278.0,0.335,1024.0,514.0,44.12,44.12,44.12
78,79,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),100%,,,1024.0,16000.0,,,
79,80,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),100%,1061.0,0.278,768.0,514.0,44.89,44.89,44.89
80,81,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100%,1274.0,0.335,1024.0,512.0,44.34,44.34,44.34
81,81,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),88%,530.0,0.278,768.0,512.0,44.46,44.46,44.46
82,83,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,127.0,0.033,384.0,256.0,42.84,42.84,42.84
83,84,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,87.0,0.023,384.0,512.0,43.74,43.74,43.74
84,85,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,9560.0,2.506,2048.0,8192.0,43.79,43.79,43.79
85,86,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,1024.0,32000.0,,,
86,87,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),100%,449.0,0.118,384.0,512.0,46.49,46.49,46.49
87,88,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),100%,1540.0,0.404,1024.0,512.0,43.57,43.57,43.57
88,89,[F2LLM-4B](https://huggingface.co/codefuse-ai/F2LLM-4B),44%,7672.0,4.022,2560.0,8192.0,,,
89,90,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),100%,27126.0,7.111,4096.0,32768.0,44.07,44.07,44.07
90,91,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),100%,2136.0,0.56,1024.0,514.0,45.75,45.75,45.75
91,92,[Seed1.5-Embedding](https://seed1-5-embedding.github.io/),44%,,,2048.0,32768.0,,,
92,92,[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),44%,3282.0,1.721,2560.0,8192.0,,,
93,94,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),100%,2441.0,1.28,2048.0,2048.0,42.7,42.7,42.7
94,94,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100%,415.0,0.109,768.0,512.0,43.78,43.78,43.78
95,96,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),88%,522.0,0.137,768.0,2048.0,43.27,43.27,43.27
96,97,[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),44%,1137.0,0.596,1024.0,8192.0,,,
97,98,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),88%,,,768.0,8192.0,43.47,43.47,43.47
98,99,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),55%,14436.0,7.071,3584.0,8192.0,,,
99,100,[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),44%,27125.0,7.11,4096.0,32768.0,,,
100,101,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,12865.0,3.227,2048.0,4096.0,,,
101,102,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,73.0,0.019,384.0,512.0,42.36,42.36,42.36
102,102,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),55%,2272.0,0.596,2048.0,32768.0,,,
103,104,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),100%,449.0,0.118,384.0,512.0,45.15,45.15,45.15
104,105,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),100%,2441.0,1.28,2048.0,2048.0,42.85,42.85,42.85
105,106,[e5-base](https://huggingface.co/intfloat/e5-base),100%,418.0,0.109,768.0,512.0,43.27,43.27,43.27
106,107,[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/),100%,,,1024.0,32000.0,,,
107,108,[Seed1.6-embedding](https://seed1-6-embedding.github.io/),44%,,,2048.0,32768.0,,,
108,109,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100%,,,,4096.0,42.84,42.84,42.84
109,110,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),88%,204.0,0.107,384.0,512.0,43.27,43.27,43.27
110,111,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),100%,1370.0,0.359,1024.0,8194.0,44.28,44.28,44.28
111,112,[st-polish-kartonberta-base-alpha-v1](https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1),⚠️ NA,,,768.0,514.0,42.5,42.5,42.5
112,113,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,127.0,0.033,384.0,512.0,42.77,42.77,42.77
113,114,[Tarka-Embedding-350M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-350M-V1),100%,676.0,0.354,1024.0,128000.0,,,
114,115,[KaLM-embedding-multilingual-mini-instruct-v2.5](https://huggingface.co/KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5),55%,1885.0,0.494,896.0,512.0,,,
115,116,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),100%,27126.0,7.111,4096.0,32768.0,42.43,42.43,42.43
116,117,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️ NA,66.0,0.017,384.0,512.0,41.79,41.79,41.79
117,118,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,512.0,41.6,41.6,41.6
118,119,[Tarka-Embedding-150M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-150M-V1),100%,576.0,0.156,768.0,2048.0,,,
119,120,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,1796.0,0.471,768.0,512.0,41.27,41.27,41.27
120,121,[Yuan-embedding-2.0-en](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-en),100%,2272.0,0.596,1024.0,2048.0,,,
121,122,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100%,127.0,0.032,384.0,512.0,42.45,42.45,42.45
122,123,[bge-m3](https://huggingface.co/BAAI/bge-m3),100%,2167.0,0.568,1024.0,8194.0,42.58,42.58,42.58
123,124,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100%,490.0,0.129,768.0,512.0,43.26,43.26,43.26
124,125,[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),66%,27625.0,7.242,4096.0,32768.0,,,
125,126,[e5-small](https://huggingface.co/intfloat/e5-small),100%,127.0,0.033,384.0,512.0,41.27,41.27,41.27
126,127,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100%,,,1024.0,16000.0,,,
127,128,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),100%,2166.0,0.568,1024.0,8194.0,42.33,42.33,42.33
128,129,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),100%,66.0,0.017,384.0,512.0,41.11,41.11,41.11
129,129,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,66.0,0.017,384.0,512.0,41.11,41.11,41.11
130,131,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,2136.0,0.56,1024.0,514.0,41.37,41.37,41.37
131,132,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,86.0,0.023,384.0,512.0,42.2,42.2,42.2
132,133,[KartonBERT-USE-base-v1](https://huggingface.co/OrlikB/KartonBERT-USE-base-v1),⚠️ NA,396.0,0.104,768.0,512.0,41.78,41.78,41.78
133,134,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),100%,2441.0,1.28,2048.0,2048.0,41.33,41.33,41.33
134,135,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,1796.0,0.471,768.0,512.0,39.47,39.47,39.47
135,136,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100%,492.0,0.129,768.0,512.0,40.57,40.57,40.57
136,137,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),100%,489.0,0.128,256.0,,40.18,40.18,40.18
137,138,[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/),100%,,,1536.0,16000.0,,,
138,139,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,449.0,0.118,768.0,512.0,39.42,39.42,39.42
139,140,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,1061.0,0.278,768.0,514.0,40.34,40.34,40.34
140,141,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,253.0,0.066,768.0,512.0,,,
141,142,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),100%,60.0,0.016,384.0,512.0,39.59,39.59,39.59
142,143,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,449.0,0.118,384.0,512.0,39.89,39.89,39.89
143,144,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),100%,29.0,0.008,256.0,,39.73,39.73,39.73
144,145,[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1024.0,4000.0,,,
145,146,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),100%,86.0,0.023,1024.0,512.0,,,
146,147,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),88%,284.0,0.149,768.0,8192.0,,,
147,148,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),100%,14.0,0.004,128.0,,39.31,39.31,39.31
148,149,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,,,
149,150,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,420.0,0.11,768.0,512.0,38.94,38.94,38.94
150,151,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️ NA,1281.0,0.336,1024.0,512.0,38.67,38.67,38.67
151,152,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),100%,,,1024.0,32000.0,,,
152,153,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,449.0,0.118,384.0,256.0,38.0,38.0,38.0
153,154,[voyage-large-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1536.0,16000.0,,,
154,155,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,,,
155,156,[USER-base](https://huggingface.co/deepvk/USER-base),100%,473.0,0.427,768.0,512.0,38.6,38.6,38.6
156,157,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),88%,91.0,0.047,384.0,8192.0,,,
157,158,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,134.0,0.035,512.0,512.0,36.3,36.3,36.3
158,159,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,,,1024.0,512.0,37.91,37.91,37.91
159,160,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,60.0,0.016,384.0,512.0,37.91,37.91,37.91
160,161,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100%,,,,,,,
161,162,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),100%,7.0,0.002,64.0,,37.36,37.36,37.36
162,163,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),100%,1278.0,0.335,1024.0,4096.0,,,
163,163,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),100%,391.0,0.103,256.0,,37.64,37.64,37.64
164,165,[voyage-finance-2](https://blog.voyageai.com/2024/06/03/domain-specific-embeddings-finance-edition-voyage-finance-2/),100%,,,1024.0,32000.0,,,
165,166,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),100%,391.0,0.102,256.0,,37.57,37.57,37.57
166,167,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),55%,,6.918,2048.0,32000.0,,,
167,168,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),⚠️ NA,,,4096.0,,37.25,37.25,37.25
168,168,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),100%,,,,,,,
169,170,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),100%,4883.0,1.28,768.0,512.0,35.12,35.12,35.12
170,171,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,408.0,0.107,768.0,512.0,33.51,33.51,33.51
171,172,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),44%,1061.0,0.278,768.0,514.0,33.03,33.03,33.03
172,173,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),100%,111.0,0.029,312.0,2048.0,34.72,34.72,34.72
173,174,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100%,,,,,,,
174,175,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),100%,45.0,0.012,312.0,512.0,33.56,33.56,33.56
175,176,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),100%,112.0,0.029,312.0,2048.0,34.44,34.44,34.44
176,177,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),88%,413.0,0.108,1024.0,,33.79,33.79,33.79
177,178,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),100%,29.0,0.008,256.0,,34.67,34.67,34.67
178,179,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,418.0,0.109,768.0,514.0,32.05,32.05,32.05
179,180,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,1629.0,0.427,1024.0,512.0,31.51,31.51,31.51
180,181,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,1629.0,0.427,1024.0,512.0,30.97,30.97,30.97
