annotation_id,annotator,average_prob,christianity_related,created_at,hate_speech,id,lead_time,model_votes,sampling_strategy_tag,text,updated_at,split
1096,1,0.5527805984020233,0,2026-02-03T03:15:09.071950Z,0,19207,2.105,0/6,uncertain_or_low_confidence,藤岡市の寺・神社・教会 - 寺・神社・教会の検索なら30min. 藤岡市の寺・神社・教会 トップ　 全国の寺・神社・教会　 群馬県　 群馬県の寺・神社・教会　 藤岡市　 藤岡市のレジャー　 藤岡市の寺・神社・教会 藤岡市の寺・神社・教会を0件掲載。藤岡市の寺・神社・教会のクチコミ、写真、地図などお出かけに役立つ情報が満載です。 群馬藤岡の寺・神社・教会 北藤岡の寺・神社・教会,2026-02-03T03:15:09.071973Z,train
1412,1,0.4076543847719828,1,2026-02-08T07:43:27.622326Z,0,19208,10.265,3/3,uncertain_or_low_confidence,"神の右にいますキリスト | 成宗教会 投稿日: 2018年6月24日 2018年7月7日 投稿者: 投稿者 カテゴリー説教 タグエフェソの信徒への手紙, エフェソの信徒への手紙1章, エフェソの信徒への手紙1章20-23節, 詩編, 詩編110篇, 詩編110篇1節 過去の投稿前 主は天に昇られた 次の投稿次 ２０１８年７月号",2026-02-08T07:43:27.622343Z,train
2822,1,0.455094963312149,0,2026-02-15T01:27:04.103898Z,0,19210,1.678,2/4,uncertain_or_low_confidence,「イエス様こそ横から目線」　moTomu | アガペーTV（アガペーインターネット放送局） 投稿日: 2011年12月16日 2013年3月20日 投稿者: admin 「イエス様こそ横から目線」　moTomu 新約聖書：ヘブル人への手紙 2：14～18 過去の投稿前 「まず感謝」　L.i.C 次の投稿次 「私は幸せです」　L.i.C,2026-02-15T01:27:04.103917Z,train
3100,1,0.4399913450082143,0,2026-02-15T04:26:05.467100Z,0,19211,1.601,2/4,uncertain_or_low_confidence,ペダニウス・ディオスコリデスとは - goo Wikipedia (ウィキペディア) 『薬物誌』[編集] 紅色染料の発見[編集] BNF: cb13092799r (データ) 古代ギリシアの植物学者 古代ローマの植物学者 40年生 90年没,2026-02-15T04:26:05.467131Z,train
4548,1,0.425400714079539,0,2026-02-19T03:06:13.794083Z,0,19214,1.663,3/3,uncertain_or_low_confidence,2018/8/9　年間第18木曜日 | カトリック仁川教会 2018/8/9　年間第18木曜日 投稿日 : 2018年8月9日 最終更新日時 : 2018年8月4日 作成者 : admin_nigawa カテゴリー : 毎日のみ言葉 ← 2018/8/8　聖ドミニコ司祭 2018/8/10　聖ラウレンチオ助祭殉教者 →,2026-02-19T03:06:13.794099Z,train
1656,1,0.4538521567980448,0,2026-02-10T14:55:05.707222Z,0,19216,29.055,1/5,uncertain_or_low_confidence,自立支援法は難しい: 司教の日記 « ロメロ大司教 | トップページ | 新津教会でミサ »,2026-02-10T14:55:05.707234Z,train
2821,1,0.5707884232203165,0,2026-02-15T01:27:02.266357Z,0,19217,23.553,0/6,uncertain_or_low_confidence,千石の寺・神社・教会(江東区) - 寺・神社・教会の検索なら30min. トップ　 全国の寺・神社・教会　 東京都　 東京都の寺・神社・教会　 江東区　 江東区の寺・神社・教会　 千石　 千石のレジャー　 千石の寺・神社・教会 千石の寺・神社・教会(江東区)を0件掲載。千石の寺・神社・教会のクチコミ、写真、地図などお出かけに役立つ情報が満載です。,2026-02-15T01:27:02.266373Z,train
4597,1,0.5712955693403879,0,2026-02-19T03:12:47.760843Z,0,19218,8.886,0/6,uncertain_or_low_confidence,大きな業を成し遂げてくださる主 | 上尾キリスト教会 Home / 週報巻頭言 / 大きな業を成し遂げてくださる主 By ageo 03 11月 2019年11月1日,2026-02-19T03:12:47.760867Z,train
4551,1,0.368468036254247,0,2026-02-19T03:06:22.771995Z,0,19222,5.198,2/4,uncertain_or_low_confidence,ローマ教皇.... | 西園寺総合商事 （旧反逆者の遺産） ローマ教皇.... | 西園寺総合商事 （旧反逆者の遺産） ローマ教皇…. キリスト教の問題点は優しいけど頭悪いこと ← 現代の20歳前後男子の考え　（1998年、1999年、2000年、2001年、生まれ付近の考え 経済的に成功するまで、他のことは一切やらなくて良い、どうせ何もできないから →,2026-02-19T03:06:22.772021Z,train
4894,1,0.3709086080392201,0,2026-02-22T14:03:55.664626Z,0,19224,1.792,2/4,uncertain_or_low_confidence,2019年1月19日 | Tokyo Chapel 神の恵みは特別です。この一件によって生まれた息子、ペレツはイエスの系図に載せられています(マタイ1:3)。神の恵みのうちに、神は悪魔が悪を意図して起こしたことさえ、良いことのためにお用いになるのです。 なんとユダとは対照的でしょうか。ユダは印形とひもをタマルの手に残しました。それは彼の罪の証拠です。ヨセフは上着をポティファルの妻の手に残しました。彼女はそれをヨセフの罪の証拠として用いましたが、事実は彼の無罪の証拠です。,2026-02-22T14:03:55.664652Z,train
1833,1,0.4284685750802358,1,2026-02-11T14:09:05.969989Z,1,19225,15.431,2/4,uncertain_or_low_confidence,>>18 どうでも良いけどね キリスト者の目的は邪悪なる悪霊の栖雲居士を 撃ち破る事ではありません。又それで神の栄光 が現れるわけでもありません。 何を言っているんですか、スレ乱立の責任を取っ てね,2026-02-11T14:09:05.970008Z,val
5007,1,0.4240666727224986,1,2026-02-24T03:52:44.245933Z,0,19226,6.532,2/4,uncertain_or_low_confidence,神を知る態度 - 小海キリスト教会 礼拝メッセージ ＜神を知る態度＞　使徒acts 17:10～15 ダビデは、詩篇で神様に対する自分の正直な心のうちを告白しています。すべてを知っておられる神様に隠し事は無用です。ありのままの思いを父なる神様にぶつけましょう。神様は、本気でご自身を知りたいと願う者にご自身の本当の姿を現してくださいます。ヨハネ14 : 8～10参照 koumi2016 2017-09-10 16:00 « 宣教の情熱 王なるイエス »,2026-02-24T03:52:44.245954Z,train
3086,1,0.3974082469940185,0,2026-02-15T04:25:22.129275Z,0,19229,121.637,4/2,uncertain_or_low_confidence,>>528 壺連呼中国共産党員=ユダヤ共産主義支持 統一教会=反ポリコレ、反ユダヤ共産主義=大正義確定 壺が口癖の中国共産党員が反対しているから、統一教会が大正義なの確定,2026-02-15T04:25:22.129289Z,train
2972,1,0.5702409148216248,0,2026-02-15T02:06:09.911808Z,0,19231,2.213,1/5,uncertain_or_low_confidence,北群馬郡榛東村の寺・神社・教会 - 寺・神社・教会の検索なら30min. 北群馬郡榛東村の寺・神社・教会 トップ　 全国の寺・神社・教会　 群馬県　 群馬県の寺・神社・教会　 北群馬郡榛東村　 北群馬郡榛東村のレジャー　 北群馬郡榛東村の寺・神社・教会 北群馬郡榛東村の寺・神社・教会を0件掲載。北群馬郡榛東村の寺・神社・教会のクチコミ、写真、地図などお出かけに役立つ情報が満載です。,2026-02-15T02:06:09.911825Z,train
1542,1,0.5862727165222168,1,2026-02-10T14:37:56.151397Z,0,19232,2.927,2/4,uncertain_or_low_confidence,きょうのことば　『永遠のいのちなる主』－召天者記念礼拝ー: 中ぶんなの日記 « 時には自分大事で | トップページ | おざなりを反省 » 2012年11月18日 (日) 教会 | 固定リンク http://app.f.cocolog-nifty.com/t/trackback/461668/47887083 この記事へのトラックバック一覧です： きょうのことば　『永遠のいのちなる主』－召天者記念礼拝ー:,2026-02-10T14:37:56.151410Z,train
4644,1,0.3704650998115539,1,2026-02-19T03:19:12.171278Z,1,19233,2.611,2/4,uncertain_or_low_confidence,統一教会はただの宗教団体ではなく、カルト集団だから オウム真理教と同じ 日本の古くからの宗派とは違う,2026-02-19T03:19:12.171300Z,train
3833,1,0.4280716677506764,1,2026-02-18T03:43:58.428579Z,1,19234,3.63,2/4,uncertain_or_low_confidence,表向きは普通の聖人だが、キリスト教会にはそういう裏がある。,2026-02-18T03:43:58.428596Z,train
1925,1,0.4450486600399017,0,2026-02-12T05:32:10.553805Z,0,19236,4.822,1/5,uncertain_or_low_confidence,集会の家 domus eccleciae - シンフォニーチャペルの栞 北欧はデンマークのキリスト教哲学者キルケゴール(1813-1855年)… « キリストの十字架の死から復活への〝突破〟 聖なる道 »,2026-02-12T05:32:14.963547Z,train
1581,1,0.4034718672434489,0,2026-02-10T14:44:34.836532Z,0,19237,18.985,2/4,uncertain_or_low_confidence,続編あるならスーツは作り直し必須だろう レポによれば結構ボロボロでタローマンが歩くとクズが出てくるらしいので,2026-02-10T14:44:34.836546Z,train
4542,1,0.5823138356208801,0,2026-02-19T03:05:39.213307Z,0,19238,1.842,0/6,uncertain_or_low_confidence,"＜成田夜発＞カタール航空ビジネスクラス利用｜ベネチア＆ローマ8日間≪ベネチア本島｜スーペリアクラスホテル泊≫(92E8RBC)｜阪急交通社 ＜成田夜発＞カタール航空ビジネスクラス利用｜ベネチア＆ローマ8日間≪ベネチア本島｜スーペリアクラスホテル泊≫ 92E8RBC 364,800～576,800円 ＜成田夜発＞カタール航空ビジネスクラス利用｜ベネチア＆ローマ8日間≪ベネチア本島｜スーペリアクラスホテル泊≫｜海外旅行｜阪急交通社",2026-02-19T03:05:39.213325Z,train
3676,1,0.6082060138384501,0,2026-02-17T13:18:57.342918Z,0,19240,81.09,2/4,uncertain_or_low_confidence,グレイスフル　ガーデン 伊予鉄道横河原線 福音寺駅 物件詳細 [1070H100106148999] 【goo 住宅・不動産】｜賃貸住宅[賃貸マンション・アパート・賃貸一戸建て]で部屋探し 管理コード:77576933 SUUMO[070H100106148999],2026-02-17T13:18:57.342933Z,train
1473,1,0.591757208108902,0,2026-02-10T14:23:07.567365Z,0,19241,5.721,0/6,uncertain_or_low_confidence,ASローマ 17/18 トレーニング ウエア ハイネック 長袖 ネイビー丨騎士サッカーショップ 製品コード： product1406 商品詳細：ASローマ 17/18 トレーニング ウエア ハイネック 長袖 ネイビーメーカーカラー：ネイビー特徴：1.裏毛素材を採用。,2026-02-10T14:23:07.567379Z,train
4543,1,0.4340926309426625,1,2026-02-19T03:05:58.448405Z,1,19242,19.088,4/2,uncertain_or_low_confidence,票田が統一と創価なのに批判するのか キリスト教と仏教に助けて貰ってる身分で自称国家神道など実質上無神論者の最底辺の集まりだ,2026-02-19T03:05:58.448430Z,train
4981,1,0.4378910064697265,0,2026-02-23T14:17:42.835809Z,0,19244,3.39,1/5,uncertain_or_low_confidence,そもそもコロナウイルスのコロナは王冠の意味 ルシフェラーゼというルシフェルの名前を冠した酵素で実験を繰り返し そしてmRNAワクチンによりスパイク蛋白を体に取り入れ いばらの王冠をかぶせられ 人類の罪のためにイエス・キリストは磔刑にあい そしてその後復活した(´・ω・`),2026-02-23T14:17:42.835833Z,val
3982,1,0.455841064453125,0,2026-02-18T04:18:11.784858Z,0,19245,1.341,1/5,uncertain_or_low_confidence,シボレー コルベット Ｚ０６　６ＭＴ　可変マフラー　社外ヘッダー　ナビ　フルセグ Ｋ＆Ｎ　ＭＳＤ　ＨＵＤ　ナビフルセグ　ＢＯＳＥ　レザー　純正ＡＷ　ＥＴＣ シボレーコルベット | 関東 | 2004年,2026-02-18T04:18:11.784883Z,train
4757,1,0.4732966721057892,0,2026-02-19T08:37:28.684825Z,0,19246,3.523,2/4,uncertain_or_low_confidence,カトリックの「万人祭司」と「会堂建築後神父交代」について補足 | 命と性の日記〜日々是命、日々是性 << 「キリスト教のリアル」が記す「福音派のリアル」 | main | 巨人ファンのクリスチャンを非難して、自滅する中日ファンのクリスチャン >>,2026-02-19T08:37:28.684841Z,train
5213,1,0.4520221054553985,1,2026-02-24T13:39:57.673040Z,0,19253,37.743,1/5,uncertain_or_low_confidence,(0ページ目)イエス・キリストは本当に来日していた……!? “偽書”『竹内文書』の知られざる事実とは？ ――「世界の謎と不思議に挑戦する」をコンセプトに掲げ、UFOからUMA、都市伝説、陰謀論……と、さまざまな不思議ジャンルの話題で、読者に驚きと感動を与えてきた学研「ムー」。ここでは、そんな「ムー」を操る三上丈晴編集長が厳選した“マストブック”を紹介しながら、世の中の不思議に深く触れていただきたい。　日本の正史『日本書紀』と神代から大和朝廷の初期のことを書いた『古事記』。ふたつ合わせて「...,2026-02-24T13:39:57.673061Z,train
3811,1,0.5949644843737284,0,2026-02-18T03:41:24.433405Z,0,19256,17.867,1/5,uncertain_or_low_confidence,自由の森学園、吉岡秀隆君、福音館書店、その社長だった、時田史郎君、元革〇リーダー成岡康司君,2026-02-18T03:41:24.433427Z,train
4943,1,0.4676145613193512,1,2026-02-23T14:09:22.594002Z,0,19257,13.109,1/5,uncertain_or_low_confidence,キリストの十字架にとどまれ！｜カルバリの十字架｜私ではなくキリストⅦ（東洋からの風の便りIV) Home > ブログ > カルバリの十字架 > キリストの十字架にとどまれ！ から転載します。 だから、神の国とその義とをまず第一に求めなさい。そうすれば、それに加えて、これらのものはすべて与えられます｜ ｜霊の人が直面する危険 主と共なる復活と御座における統治(3) 義人は信仰によって生きる(13) 神の国の働き人(13) 神の国の霊的統治(14),2026-02-23T14:09:22.594020Z,val
1479,1,0.4247675836086273,0,2026-02-10T14:24:29.313626Z,0,19259,2.637,3/3,uncertain_or_low_confidence,愚人の意味・例文・発音 | 画像付き英語辞書 Imagict 読みかな:　ぐじん ローマ字:　guzin 愚人 - 和英辞典 愚人 - 和英辞典 (EdictJE) (n) fool 前の単語: ぐにゃぐにゃ 次の単語: 倶発 '愚人'の関連画像 photo by Lucia913 2013.08.11愚人碼頭習拍 photo by liuhsiaofen 原來愚人節有愚人老公公 photo by Alchemy™,2026-02-10T14:24:29.313647Z,train
4677,1,0.4863011538982391,0,2026-02-19T08:22:50.327046Z,0,19261,6.638,1/5,uncertain_or_low_confidence,人間の指導者崇拝という偶像崇拝の罪と手を切ることこそ我が国の主権回復の道――安倍による宮中クーデターとトランプ・プーチン賛美者を待つ暗い未来――｜グノーシス主義という偽りの教え｜私ではなくキリストⅦ（東洋からの風の便りIV) Home > ブログ > グノーシス主義という偽りの教え > 人間の指導者崇拝という偶像崇拝の罪と手を切ることこそ我が国の主権回復の道――安倍による宮中クーデターとトランプ・プーチン賛美者を待つ暗い未来――,2026-02-19T08:22:50.327067Z,train
3737,1,0.5620404382546743,0,2026-02-17T14:45:29.274477Z,0,19262,3.119,0/6,uncertain_or_low_confidence,稲牛の寺・神社・教会(足寄郡足寄町) - 寺・神社・教会の検索なら30min. 稲牛の寺・神社・教会 トップ　 全国の寺・神社・教会　 北海道　 北海道の寺・神社・教会　 足寄郡足寄町　 足寄郡足寄町の寺・神社・教会　 稲牛　 稲牛のレジャー　 稲牛の寺・神社・教会 稲牛の寺・神社・教会(足寄郡足寄町)を0件掲載。稲牛の寺・神社・教会のクチコミ、写真、地図などお出かけに役立つ情報が満載です。,2026-02-17T14:45:29.274495Z,train
3967,1,0.4717728694279988,0,2026-02-18T04:17:36.311295Z,0,19263,1.844,1/5,uncertain_or_low_confidence,ベトナム再訪 ベトナムへの飛行機からの窓 ベトナム戦争勝利記念館にて ベトナム･ハノイのカフェ ハノイのキリスト教会 ベトコンの落とし穴作戦,2026-02-18T04:17:36.311315Z,train
947,1,0.4854166805744171,0,2026-02-03T00:52:12.918176Z,1,19264,14.835,3/3,uncertain_or_low_confidence,信仰が人を殺すとき: でじたる異言ノォト « ななこSOS 3 | トップページ | 月迷宮 恋月姫人形展 » http://app.cocolog-nifty.com/t/trackback/11321/4129618 この記事へのトラックバック一覧です： 信仰が人を殺すとき:,2026-02-03T00:52:12.918191Z,train
5074,1,0.5914125442504883,0,2026-02-24T09:52:54.634514Z,0,19268,1.999,1/5,uncertain_or_low_confidence,亀頭の左裏側に水泡ともできものとも思われるぽつぽつが、出来て触ると痛みがあります。 こんにちわ。御相談を拝見させていただきました。可能性として、性器ヘルペスや尖圭コンジローマといった性感染症の可能性を疑います。症状出現の２-３週間前に性交渉などの既往は御座いますでしょうか？もしも思い当たる節がないようでしたら、恥垢を分泌する腺の一部が感染してしまった可能性が考えられますが、いずれにしましても、症状が悪化してくるようなら、早めに泌尿器科受診をお勧めいたします。お大事になさってください。,2026-02-24T09:52:54.634536Z,train
4890,1,0.4465704162915547,0,2026-02-22T14:03:42.870108Z,0,19270,1.565,3/3,uncertain_or_low_confidence,想像力を用いる　ローマ1：20-28　亀有教会牧師　鈴木靖尋　2015.5.10: いのちのことば « みことばを思い巡らす　詩篇25：10-14　2015.5.3 | トップページ | 神と対話する　ヨハネ14：10-11　亀有教会牧師鈴木靖尋　2015.5.17 »,2026-02-22T14:03:42.870129Z,train
2944,1,0.4067382713158925,0,2026-02-15T01:52:54.119692Z,0,19271,2.471,1/5,uncertain_or_low_confidence,"【正規割引運賃】キャセイパシフィック航空利用！ローマ・フリー7日間｜朝食付き(FEC2PA7)｜阪急交通社 FEC2PA7 2020/5/1～2020/5/31 燃油サーチャージ　目安：18,600円（2019/10/01現在） 【設定期間：2020/5/1～2020/5/31】",2026-02-15T01:52:54.119713Z,train
939,1,0.6341258585453033,0,2026-02-03T00:50:13.029629Z,0,19272,5.567,1/5,uncertain_or_low_confidence,"昨日よりは少し気温は低いものの、春らしい陽気ですね ハイレゾ収録記念コンサート ～祈り～をテーマに… 於：麻布セントメアリー教会 出演：みくりやクワイア Sop.みくりや瑞穂 Mez.小田島菜絵 Alt.田川理穂 Vc.植草ひろみ Org.渡辺郁子 チケット代金 3,000円(全席指定) チケットのご予約は私でも大丈夫です ご希望の枚数をお申し付けくださいませ みなさま、ごめんなさい(>_<) 握手会イヴェント、昨日で応募〆切だったようなんです… ごめんなさい",2026-02-03T00:50:13.029644Z,train
1444,1,0.5610529581705729,0,2026-02-08T14:28:59.455383Z,0,19273,1.813,1/5,uncertain_or_low_confidence,池田の寺・神社・教会(大網白里市) - 寺・神社・教会の検索なら30min. トップ　 全国の寺・神社・教会　 千葉県　 千葉県の寺・神社・教会　 大網白里市　 大網白里市の寺・神社・教会　 池田　 池田のレジャー　 池田の寺・神社・教会 池田の寺・神社・教会(大網白里市)を0件掲載。池田の寺・神社・教会のクチコミ、写真、地図などお出かけに役立つ情報が満載です。,2026-02-08T14:28:59.455402Z,train
2011,1,0.6040285428365072,0,2026-02-12T13:21:02.873441Z,0,19274,13.147,1/5,uncertain_or_low_confidence,びびなび サンフランシスコ (アメリカ合衆国) あなたの街のクラシファイド / 仲間探し / 里親急募🐶 2018年(平成30年) 9月20日木曜日 AM 01時48分 (PDT) 里親急募🐶 二才の、チワワのオスです。サンノゼで一年半保護犬を世話して来ましたが、ロスアンゼルス引越し、部屋で飼う事が出来なくなりました。予防注射、虚勢、躾けもしっかりしています。どなたかお世話して下さる方、ご連絡を頂けませんか。とても従順で可愛い子です。宜しくお願いします🤲,2026-02-12T13:21:02.873460Z,val
4650,1,0.6330721974372864,0,2026-02-19T03:19:23.076898Z,0,19275,1.717,1/5,uncertain_or_low_confidence,クリスマスの幼子イエス : 毎日がエドガー・ケイシー日和 << フィンドホーン：25年前の冒険旅行 私のオーラの色は >>,2026-02-19T03:19:23.076918Z,train
3098,1,0.6257715026537577,0,2026-02-15T04:26:01.302137Z,0,19276,2.049,1/5,uncertain_or_low_confidence,ファッション雑誌で激売れアイテム通販 ＞ レディースワンピース ＞ snidel/スナイデル ＞ レディースワンピース通販〜snidel/スナイデルのニットフロッキーコンビワンピース/WHT ◆商 品 名：ニットフロッキーコンビワンピース/WHT ◆ひらがな読み：にっとふろっきーこんびわんぴーす/WHT ◆カタカナ読み：ニットフロッキーコンビワンピース/WHT ◆ローマ字読み：nittofurokki-kombiwampi-su/WHT,2026-02-15T04:26:01.302171Z,train
1549,1,0.4084957937399546,1,2026-02-10T14:39:33.446075Z,0,19277,30.221,2/4,uncertain_or_low_confidence,高慢と謙遜: ケパのメッセージ « 神は生きておられる | トップページ | 神の言葉で戦う » 投稿者 ケパ 日時 2013年9月22日 (日) 信仰 | 固定リンク この記事へのトラックバック一覧です： 高慢と謙遜:,2026-02-10T14:39:33.446093Z,val
4584,1,0.4786222577095032,0,2026-02-19T03:11:09.106262Z,0,19282,1.824,1/5,uncertain_or_low_confidence,「日常語で伝道する」 : ハーベスト・メールマガジン << 号外『日本人に贈る聖書ものがたり』 「共同戦線を張る」 >>,2026-02-19T03:11:09.106276Z,train
4510,1,0.5993378559748331,0,2026-02-19T01:56:29.319617Z,0,19285,2.699,0/6,uncertain_or_low_confidence,びびなび サンフランシスコ (アメリカ合衆国) あなたの街のクラシファイド / まちかど写真集 / さんふらんしすこ名物。THE 坂。 2017年(平成29年) 12月10日日曜日 PM 07時47分 (PST) この急傾斜には未だにドキドキします。 [登録者]お仕事中 掲載日 : 2012/12/26 変更日 : 2012/12/26 総閲覧数 : 673 人,2026-02-19T01:56:29.319639Z,train
1857,1,0.4558386007944743,1,2026-02-11T14:17:19.255587Z,0,19286,4.128,2/4,uncertain_or_low_confidence,信仰全能神全能神教会東方閃電神の心神の言葉終わりの日 前の記事:終わりの日のキリストの語られる言葉 「神の働き、神の性質、そして神自身 ２」 その４ パート２ 次の記事:終わりの日のキリストだけが人に永遠のいのちの道を与えられる 『聖書について（三）』,2026-02-11T14:17:19.255613Z,train
4591,1,0.4760548273722331,0,2026-02-19T03:11:58.586330Z,0,19287,1.999,1/5,uncertain_or_low_confidence,ローマ散歩／帰国: 楽山楽水日記 « アルデアティーナ・パーク・ホテル | トップページ | イタリア旅行で飲んだビール » 2019年3月21日 (木) 15.海外旅行（ﾖｰﾛｯﾊﾟ） | 固定リンク,2026-02-19T03:11:58.586356Z,train
3702,1,0.5660734872023264,0,2026-02-17T14:24:25.990341Z,0,19289,2.112,0/6,uncertain_or_low_confidence,池尻の寺・神社・教会(大阪狭山市) - 寺・神社・教会の検索なら30min. 池尻の寺・神社・教会 トップ　 全国の寺・神社・教会　 大阪府　 大阪府の寺・神社・教会　 大阪狭山市　 大阪狭山市の寺・神社・教会　 池尻　 池尻のレジャー　 池尻の寺・神社・教会 池尻の寺・神社・教会(大阪狭山市)を0件掲載。池尻の寺・神社・教会のクチコミ、写真、地図などお出かけに役立つ情報が満載です。,2026-02-17T14:24:25.990362Z,train
4880,1,0.6197704275449117,0,2026-02-22T13:55:19.034689Z,0,19290,2.032,1/5,uncertain_or_low_confidence,流行ファッション先取り通販！最新トレンド特集 ＞ レディース人気商品 ＞ snidel/スナイデル ＞ レディース人気商品通販〜snidel/スナイデルのリブVネックプルオーバー/RED ◆商 品 名：リブVネックプルオーバー/RED ◆ひらがな読み：りぶVねっくぷるおーばー/RED ◆カタカナ読み：リブVネックプルオーバー/RED ◆ローマ字読み：ribuVnekkupuruo-ba-/RED,2026-02-22T13:55:19.034716Z,train
5163,1,0.3941686550776164,0,2026-02-24T13:28:36.574409Z,0,19293,2.476,1/5,uncertain_or_low_confidence,卒業式 2016 | 名古屋柳城短期大学 キリスト教センター « 終業礼拝 2017/3/16 チーム・パティシエ2年生の被災地支援ケーキづくり　2017/02/03 »,2026-02-24T13:28:36.574437Z,train
960,1,0.5786627233028412,1,2026-02-03T00:53:28.079123Z,0,19295,5.396,0/6,uncertain_or_low_confidence,2014年5月1日祈祷会（エズラ記7章、律法学者エズラの帰還） - 日本バプテスト連盟　篠崎キリスト教会,2026-02-03T00:53:28.079141Z,train
1742,1,0.4651913642883301,0,2026-02-11T04:46:13.564229Z,0,19296,4.348,1/5,uncertain_or_low_confidence,日々の神の御言葉「神の働き、神の性質、そして神自身 2」（抜粋 12） | 全能神教会 神の御言葉の朗読 1 https://jp.godfootsteps.org/videos/God-s-work-ii-daily-10.html https://jp.godfootsteps.org/videos/God-s-work-ii-daily-11.html,2026-02-11T04:46:13.564245Z,train
4951,1,0.4541110396385193,0,2026-02-23T14:09:42.978970Z,0,19299,1.936,2/4,uncertain_or_low_confidence,私ではなくキリストI 村上密・杉本徳久の両名を被告とした民事訴訟（第一審）の総括（４） 2019/04/09 (Tue) 神の国の働き人 村上密・杉本徳久の両名を被告とした民事訴訟（第一審）の総括（５） HOME	 村上密・杉本徳久の両名を被告とした民事訴訟（第一審）の総括（３）,2026-02-23T14:09:42.978995Z,train
