cluster_id,original_en
9,"Regrettably, many are not the exemplar of christianity that you are known to be, and will pick and choose bits and pieces of dialogue to depict virtuous men, like the good Archbishop, as arrogant and selfish and devoid of anything resembling Christian love.  As if his wardrobe alone was not enough to establish him as a paragon of christian virtue and one chosen by the Holy Spirit for leadership in the one true church.  Fortunately, the clergy have people like us to defend them, so when the mainstream attack courageous christian leaders, they are answered.  Thus, for example, when people criticize bishop Finn as a convicted criminal, he can count on you to demand details, parse the criticisms, point out error and debate context.  Intellectually honest to the finest point, you inspire all true catholics.  Do not be intimidated!"
9,You repeat what was taught. The Catholic Church has moved on.
10,"""Some"" Catholics seem not to care, I would suggest."
10,"Eh, incase you didn't notice, Max, 90% of Catholics didn't get a choice about being a Catholic. The decision was taken for them."
10,"How would you have any idea what is Catholic? You left, remember?"
10,That makes it- NOT CATHOLIC
10,So are conservative catholics now ecumenical?
11,The position of pope is then is out of the question for you to consider.
11,"Have you failed to notice that this pope has not silenced his critics, unlike his two predecessors?  I would hope you could at least appreciate that fact."
11,"Good column. The Pope may well be going to heaven. The ""other guy"" will not."
11,"This pope lives in a mythical world.  He has so little support from faithful priests.  

He may have some lingering support from the aging 1960s vocations,..and from a 'mustering' of over-refined priests...but few of the JPII era or Benedict era priests.

That leaves him with a  few handfuls of cardinals and bishops that St Peter Damian warned us about.

Most priests today have to gingerly remind their parishioners that a Holy Day is coming up!  That's about the extent of the ""obligations"" this pope could actually find substantiation for his sad rant.

How many rants a week must we endure?

Let's offer them up cheerfully for the health of his successor. 

Going to Mass is an act of love...or at least should be."
11,"Well - let's see what happens.   He has basically defied the Church - including Pope Francis.  

This could be interesting....."
12,Nonsense. You have no idea of Jesus' teachings.
12,Jesus always avoided controversy.  Matt 21:12
12,Jesus was skeptical of the Pharisees despite their following the rules.
12,"Maybe not, but Jesus raged against the rich."
12,But you are forgetting that Jesus was also fully human----not just disguised as a human.
13,"Actually factually we have seen another attack a entire race-White that is.

Refreshing our memory on how we got to today-
------------------------
2017 - Hours before the murders of five police officers in Dallas, Texas, President Obama was again spouting false claims about racism by the police.

2013 - There are very few African American men in this country who haven't had the experience of being followed when they were shopping ...

2009 -  there's a long history in this country of African-Americans and Latinos being stopped by law enforcement disproportionately.
---
-Then there is the Obama's wedding Pastor & mentor-quite the guy, eh?
""No, no, no, not God Bless America. God damn America — that's in the Bible — for killing innocent people. God damn America, for treating our citizens as less than human. God damn America, as long as she tries to act like she is God, and she is supreme. The United States government has failed the vast majority of her citizens of African descent..."""
13,"You reek of racism. As far as stirring things up it seems to have gotten your gander up. As I said, why does not ADN inform us all who was the first Catholic or Lutheran or Atheist? What religion were all the white supremacist who served in the past? Is Elvi now considered a black supremacist now? It has nothing to do with any thing, we are all equal now.....well not according to you as you want to keep bringing up the past. I bet you are upset with the removal of confederate flags as they kept us aware of the past? Move on and get over it."
13,"Ah, poor straight, white Christians. So persecuted."
13,"Something else our founding fathers stated, ""This country won't last if the principles stated in the constitution fall into the hands of Ungodly men (or women.)""

This happened almost 8 years ago when Barrack Hussein Obama was elected, and thereafter, declared to all the world that the United States was no longer a Christian nation.

This isn't about racism.  It's a spiritual battle that we are going to lose.  

God states in His word that when a nation falls from His Grace He will send a Spirit of Delusion.  Just look at Lying Hillary, Psycho Donald, and the self declared king and so-called savior of America, Barrack Hussein Obama."
13,So why should it take a Charlottesville for Catholics to understand that racism needs to be rooted out?
14,"and way too many of them consider themselves ""good christians"""
14,No Christian that I know forces their beliefs on non believers.
14,"Christianity is a vile plague that brainwashes innocent victims; specifically targeting the young, ignorant, and vulnerable."
14,"You believe if a Christian does something bad, they are no longer Christian.
The Crusaders were Christian."
14,"They are not true Christians, they are not following the primary and only true behavior scripted as Christian."
15,"While Pope Francis' critics keep sniping at him like mockingbirds on a cat, the rest of the world sees in the pope the fullest embodiment of the person of Jesus from a Roman pontiff in their lifetimes. In the grand scheme of things they are of little consequence, and they will drive both themselves and their retrograde agendas into obscurity and ultimately, irrelevance with their petty back-biting. While they are consumed with their naval-gazing obsession of doctrinal correctness the work of the church goes on: feeding the hungry, clothing the naked, housing the homeless, reaching out to the margins of society, comforting the afflicted. If the comfortable don't like being afflicted by Pope Francis, too bad. In the final analysis there are very few who care."
15,"This article, to me, begs the question of what we expect the papacy to be in this day and age. For people like Fr. Weinandy, the role of a pope is to clarify doctrine. Francis, it seems, sees it as more of a pastoral role, preaching and challenging the faithful to personally embrace the Gospel.

Francis seems comfortable with a certain amount of ambiguity, as reflected in Amoris Laetitia. That isn't a matter of theological confusion but of recognizing that one-size-fits-all solutions don't meet the needs of every pastoral situation. Some might call that confusing. I call it reality."
15,"Don, the reporting in recent days about the Bannon/Burke nexus is truly chilling.  Pope Francis needs to deal decisively with an increasingly malevolent force within the church; and I think he is just the man to do it."
15,"Thanks for your thoughts on this Dennis. That is reassuring to me that perhaps Francis is doing a monumental work just by getting people of the Church to the point where people feel comfortable expressing themselves and formulating a 'sense of the faithful.' The theologians must be free of censorship so they can begin to address magisterial documents such as HV, MD, OS, and the clericalism passages from VII"
15,"Janhoi,
Your last sentence may be true, but in the grand scheme of things, he's still picking around the edges.  And that's what makes this so frustrating.  I suspect if you polled most catholics (current and 'fallen away""), you'd find a remarkably small set of common desires.  A HUGE one would be accountability, across the board, and not on a ""here and there"" kind of basis.  Another would be mandatory reporting to the police, along with a proactive sharing of all historical and current records stored (whether at the chancery or Vatican).  

Yes, Francis has done some things, and in comparison to his predecessors, he looks pretty good.  But on the big ticket items, not so much.  Clearly, his heart just isn't in this.  His tribunal concept collapsed.  His Commission was given almost no power, shunted to the sidelines, stonewalled for three years, and even Francis himself ignored them for 3 years...  Hardly the signs of a true reformer."
16,"I think it's a feather in the cap of the Progressive Catholics that Murkowski and Collins have fought so long and so hard every step of the way against this hideous attempt to deprive millions of Americans access to (relatively) affordable healthcare.  As another poster saliently commented, why are the bishops not screaming to deprive communion from those who would deprive the poor of access to quality healthcare?!  Let alone who would countenance building walls between nations."
16,"I prefer toe National Catholic Reporter to the National Catholic Register at this moment in time, because here you can find an arrticle like this which challenges you to think about the Christianity of Trump's ideology. At the Register this whole issue is just glossed over. It is suggested that it is indifferent to the Christian that 24 million people will lose their health care under the now failed Trump/Ryan plan. As long as one is not forced to pay for contraception! Such indifference to social questions makes one lose one's credibility in the struggle for the Culture of Life. Still, being frugal (and not giving out money on unnedessary things (contraception) does help one to have something over for the poor."
16,"Ahh... but the road, you see.  Not a one of them would have been on it were it not for the taxes of the Caesers.  (Render to...)  If you want to cut out tax paid healthcare, I think we should take a look at fire departments, police departments, and public ambulances.  They are kind of connected with life, too.  And let's not forget all the federal loans to kids who attend Catholic colleges as well as tax money going to Catholic health care systems.

As for the abortions, I thought that the federal government no longer paid for them, at least directly.  At the rate some people are going, I think that they want to abolish the whole government.

Not that I am trying to convince you.  Me thinks you are far more than a traditional Catholic.  I have never heard health care put in the same category as lawn care and car washes!!"
16,"Christian attitude is one thing.  There is no right to health care in this country.
Please don't confuse the two. When you do, you get the question ""why not give everyone a car, a gold bracelet, and a trip to Disneyland too?"""
16,"I can't think of one passage in the Bible where ""God"", ""Jesus"" or anyone else,  charged any government with the directives to the faithful to care for the less fortunate.  I DO recall a ""render unto Caesar that which IS...""  and that draws an OBVIOUS line between individual and government vis a vis charity works.  The federal government has ONLY the power and authority granted to it by the Constitution, intentionally a limiting document.  For too long, Congress, the Executive and SCOTUS have been running hog wild, trampling the Constitution in the process.  Healthcare is an individual responsibility.  It is NOT a right.  (NOTHING that is required to be provided by someone else is a ""Right"".)  Healthcare is best left to the private sector, WITHOUT the burdensome and crushing government regulations, rules, laws, and micromanagement.  Congress can act WITHIN it's limited scope vis a vis the Commerce clause, Article I, Section 8, clause 3 (ie: intrastate insurance, etc.)"
17,"Worth re-posting as Angelo has so succinctly described the irrational fervor that surrounds this activism.   I've drawn parallels between these extremists and the religious zealotry during DaVinci's time in so much that questioning the church or even being seen as engaging in any activity that questioned the Catholic church resulted in a heretic brand.

Today, the church is global warming.  Fascinating that the more things change, the more they stay the same.

angelo_vancouver

Climate change activism has become a proxy for loathing of the petroleum industry by the environmental movement. The issue has evolved into a belief system with apocalyptic hysteria, blind zealotry and religious notions of exclusion and condemnation of the non-believer. It's somewhat akin to an inquisition. 

That being the case, all right thinking Canadians must fight back against this extremism. The best way to do that is to cast your ballot AGAINST this government in the next election."
17,"Kevin Flynn: On the face of it, you're correct. Most Canadians who identify as being Christian associate with mainline Christian religions, including Roman Catholicism and mainline Protestantism, whose members in both cases tend in general to hew to socially moderate or progressive views. However, by highlighting Mr. Scheer's socially-conservative voting record and his reliance on the support of his party's socially conservative membership, one reasonably has to believe the Libs will attempt to reinforce the perception that the unified Conservative Party, which includes the former Reform faction, is the political home of Canada's socially conservative Christian right.  Although I believe Mr. Scheer is a Roman Catholic, his leadership victory appears to have given the Libs a very loud dog-whistle to sound against the Christian right. I suspect the ""hidden agenda"" of the Christian right, which long haunted Harper's reign, is back in play in a big way for the Libs."
17,Once again an attack on Christianity.   We are about to change Canada and there will be no turning back.   SAD 😢
17,"""...this is not about religious accommodations or the best interests of students at all. Rather, it suggests this is about Islamophobia. ""   
I will assume Shulamit that you don't have any knowledge of the history of Canada or our charter. You are also ignorant of  the fact that Canada was founded on the principles of Christianity and those Values  have made Canada the  great country that  it is. How dare you label Canadians who don't agree with you as Islamophobic. Truly pathetic!"
17,"I still reserve the right to criticize all religions, despite this liberal attempt at giving preferential treatment to one group over others.  The supreme irony being, secular progressives bash all people of faith (not the religious dogma itself), but now all of a sudden, support religion.  Sorry again, one religion. 

So criticizing the Catholic Church (and catholics themselves) is now off limits, lets be fair.  It can be construed as being bigoted and Cathalophobic.  And Judaophobic.  Hinduphobic, Buddiphobic, etc...      

Divisive identity politics is the stock ad trade of Justins government and this motion is clearly not supported by the majority of Canadians. 

Almost nine out of 10 of Canadians have little faith M-103, a motion condemning anti-Muslim sentiment and to strike a committee to study systemic racism, will accomplish anything, although they are split as to whether it’s worth passing even symbolically.

Only 12 per cent said they felt the motion is “worth passing” - NP"
18,"Isn't it sad that our church has such an unhealthy view of sex and insists that it's adherents follow these unhealthy teachings. This is one reason the LGBT crowd is so steadfast in their position. Many LGBT are victims of the church ""teachings"" on sexuality and learned through much unnecessary suffering the error in these teachings."
18,"Yeah the Bible says gay sex is a sin... But also list -divorce -adultery -masturbation - sodomy (oral and anal) even with a woman -having children out of wedlock As being just as bad, but religious types never mention that."
18,There are probably a hundred or so more places in the Bible that condemn heterosexual adultery.  I am still trying to figure out why conservative Catholics spend so much time worrying about the souls of gay men when there are millions and millions more adulterous straight men who don't seem to merit the same care and concern for their souls.  Seems positively discriminatory to me.
18,Yup. Why did the Church stop talking about sodomy (homo- and heterosexual) as sinful?
18,"You're absolutely correct in arguing that the Church needs to be more emphatic about the sexual sins committed by straight men.  But it's wrong to assume that the condemnation of gay sex by straight males is merely a means to take the focus off themselves.  That theory may fly down at Tipitina's, but not here.  Oh, wait!  On second thought, it does fly here."
19,"It is part of a ploy to divorce,  in the perception of the greater public, Christ from His Church, to divorce the hierarchy from the lower clergy and the laity. ""We follow Jesus not the hierarchy, we are the Church not they."" Divide and conquer.
None of this existed prior to Vatican II except in the rarified atmosphere of 'academia theologica'. Their dissent was largely contained during the papacy of Pius XII: amongst the laity there was virtually no dissent at all. We all went to Church, to Mass, Confession, Benediction, devotions as our parents, grandparents and their antecedents had done for hundreds of years and more. Catholicism was at an all time high in the modern world. Alas, the non-conformists came into their own after he died.
Thanks to the web a small number of dedicated activists are able to vociferously push an agenda aimed at 'reforming' the Catholic Church of today along the lines advocated by Luther, Melancthon, Bucer, Calvin, Oecolampadius, Zwingli, Cranmer, etc."
