doc_id,topic,lang,text_preview,bias_harm,bias_fairness,bias_loyalty,bias_authority,bias_sanctity,bias_realistic_threat,bias_symbolic_threat
22,2,zh,"上个月，美国教会那帮神棍又在作妖。一个主教直接发文，说凡是搞同性婚姻的，一律不准领圣餐、不给洗礼，死了连天主教堂的门都别想进，谁敢不听就按教规严惩。

这事",0.164679,0.163524,0.080966,0.101463,0.155434,-0.035634,-0.090546
23,17,zh,"唉，俩人聊得好好的，非得有第三个人跳出来插嘴，张口就是阴阳怪气地骚扰人。你这么干，对得起你信的那位吗？你们教会就是这么教人待人接物的？

说真的，一个天主教",0.164959,0.172921,0.089649,0.092606,0.148494,-0.05214,-0.069572
24,34,zh,姓P的这位，你是不是活在真空里？你知道全世界最大、最深入基层的慈善救助体系是什么吗？就是基督教，不管它有多少派别。真要是哪天所有教会都撂挑子不干了，不去做那些扶,0.198897,0.186032,0.141319,0.131682,0.178845,-0.009796,-0.008081
25,4,zh,"沃尔科
15
——————————————
好了，
现在，离开这里。
“对付那些基督狗……我是说基督徒，这使我很累……我可以离开吗？再见。”
于是我",0.107512,0.126879,0.080123,0.074352,0.104865,-0.018144,-0.024871
26,38,zh,本来不信基督教是邪教的，看了贴吧的这些回复，确认了，百分百邪教。,0.148482,0.156187,0.067966,0.093648,0.148967,-0.025766,-0.087287
27,20,zh,禁忌修女是真的赤激，吸住就停不下来了,0.201001,0.209992,0.102508,0.12057,0.174634,-0.024452,-0.069907
28,26,zh,想被神父精神注入了,0.222049,0.221254,0.168139,0.177729,0.221411,-0.02105,-0.035601
29,21,zh,"“要不是靠拉那些底层移民进来凑人头，教会早就成了帮道貌岸然的中产阶级的私人会所了。”这话说的，真是又毒又准。

你真去转转就知道了，同一个地方的教堂，里面的",0.20254,0.186793,0.144396,0.147073,0.170784,-0.064035,-0.025171
30,8,zh,"这破文章也就一句话能看：跟天主对着干，搞什么人工避孕，这事儿的性质早就定了。

那可不，老祖宗传下来的铁律，经上写得明明白白的。

这就是死罪，下了地狱",0.158339,0.171894,0.081849,0.095564,0.121264,-0.025741,-0.093748
31,4,zh,耶稣他爹玩什么？//@斯麦尔博士:不懂洋文，当拼音读：耶稣他爹玩什么？,0.127374,0.132731,0.07039,0.094932,0.103287,-0.022681,-0.054033
32,5,zh,"你算是说到点子上了。这帮人搞的这套，哪是把圣餐当儿戏，分明就是赤裸裸的羞辱。

但凡是个正经教徒都该觉得丢人。不过话又说回来，看看是些什么货色在搞事，也就不",0.156708,0.147727,0.06756,0.075277,0.14065,-0.030342,-0.090719
33,30,zh,国内基督教指的是那一串因信称义的新教，基督徒对基督教本身的了解可能还不如8u,0.185272,0.184274,0.121372,0.12345,0.190935,-0.00512,-0.012784
34,12,zh,"第二段
咱们就说一对读过点书的夫妻吧，能听懂你们那套所谓的“教会法”。神父上来肯定得先把规矩给他们念叨一遍。但他接着又必须得（注意是“必须”）跟他们解释，在你",0.193077,0.207963,0.129802,0.125872,0.183261,0.015184,-0.040697
35,3,zh,"都什么年代了，天主教会那帮主教早该与时俱进，正视一下现代心理学对同性关系的理解了。他们也该在全球带个头，把那套官方神学给改一改了。

呵，道理是这个道理。可",0.169467,0.178614,0.113458,0.118678,0.159419,-0.019907,-0.045087
36,14,zh,据说中国有九千万基督徒，比党员多出来两千万，这九千万人，单就对信仰的纯洁性，忠诚度，以及组织性而言，要高于后者。因此，单从治国的角度，宗教信仰是未来我们社会稳定,0.190411,0.182124,0.106718,0.104186,0.172796,0.003566,-0.033929
37,21,zh,"末法时代了，真是啥妖魔鬼怪都出来作秀。

天天喊着什么“与主内家人合一”，要“治愈隔阂”、“彰显大爱”，口号一个比一个响。

说白了不就是教会高层想甩锅",0.199754,0.194192,0.10652,0.115355,0.17826,-0.047367,-0.073132
38,4,zh,当上帝都是傻子？,0.136044,0.129535,0.071154,0.075667,0.124736,-0.016522,-0.084283
39,4,zh,一修女搭上神父的车，神父禁不住伸手摸修女雪白大腿，修女问：神父，你记得圣经129条写着什么吗？ 神父脸红急忙收手，回到教堂后迫不及待翻开圣经第129条，见上面写,0.186046,0.18607,0.117643,0.139873,0.177465,-0.017165,-0.047075
40,4,zh,一修女搭上神父的车，神父禁不住伸手摸修女雪白大腿，修女问：神父，你记得圣经129条写着什么吗？ 神父脸红急忙收手，回到教堂后迫不及待翻开圣经第129条，见上面写,0.182933,0.18205,0.116043,0.13721,0.172691,-0.015149,-0.042501
41,8,zh,省省吧，还搁那辩经什么“福音核心”呢。我寻思着性这玩意儿，才是每个人自我认知、处理和上帝以及他人关系的核心吧。避孕、婚前性行为、同性恋、手淫，这些事哪个正常人一,0.180084,0.194246,0.113126,0.124551,0.154258,-0.013844,-0.033573
42,2,zh,"笑死，根本没几个人鸟这篇文章。

大伙儿心里都门儿清，弄个什么“女执事”的名头，不过是做做样子，安抚一下罢了，顶个屁用。只要女人当不了神父，跟男人没法平起平",0.18479,0.190328,0.127139,0.148347,0.179724,-0.01449,-0.028229
43,9,zh,格里菲斯哪有多少耶稣的事迹？除了受苦然后复活？这也太牵强了,0.1708,0.194354,0.11517,0.126506,0.181336,-0.022183,-0.035446
44,3,zh,"你们一天到晚操心的就是那些LGBTQ的破事，我心里只有基督的福音。
我劝你还是早点认识主，别再为那些淫乱败德的事站台了。",0.167602,0.168555,0.106539,0.095554,0.15342,-0.007622,-0.02288
45,39,zh,赵神棍又在散播这种老掉牙的谣言了。作为科技大学的教授，缺乏常识是可耻的，作为上帝的信徒，说谎会被雷劈的哦！,0.148995,0.134834,0.069722,0.098073,0.130099,-0.007013,-0.082494
46,44,zh,"教皇在神学和教义上就永远正确了？你们这帮人是真没脑子还是假没脑子？
人家只有在“依圣座权威”发言的时候才算“绝无谬误”，这基本常识都搞不懂？
我看底下的信众",0.183942,0.197222,0.097843,0.121304,0.190171,0.007668,-0.070767
47,2,zh,"第二部分
说什么神父是服务教会，代表基督、教会的头……是“另一个基督”。

呵呵。我见过的神父里，有真配得上这说法的圣人，但烂到骨子里的、人渣败类的垃圾，",0.169754,0.161519,0.111499,0.141768,0.15959,-0.000767,-0.013198
48,40,zh,还不是打着各种高大上的旗号，专门骗那些傻乎乎的教徒掏钱奉献。说到底，钱就是权嘛！,0.211391,0.188459,0.128749,0.149784,0.195333,-0.042208,-0.079346
49,4,zh,一个神棍头子，还真把自己当上帝代言人了？,0.167468,0.174783,0.113724,0.126269,0.169551,-0.023928,-0.068365
50,39,zh,真够恶心的，这帮打着基督旗号的伪信徒，干的事跟耶稣的教导完全是两码事。,0.150591,0.152851,0.080158,0.088874,0.142383,-0.053939,-0.098451
51,3,zh,别再一天到晚听那帮主教的了，早就受够了！我们现在需要的是真正的勇气，不是整天就知道反同的那种屁事。性跟什么狗屁永恒真理没半毛钱关系，它只关乎人的行为和幸福。说真,0.180916,0.16923,0.092448,0.085606,0.158105,0.017214,-0.049461
52,27,zh,"我寻思一个卖蛋糕的能有几个钱？这官司都打到最高法院了，他哪来的钱请律师？背后没金主谁信啊？

还不是那些挂着十字架的教会和机构在掏钱。他们靠信徒圈来的那些钱",0.193098,0.196249,0.111722,0.131675,0.181556,-0.007051,-0.072093
53,4,zh,天堂里来了一群中国孩子，上帝询问他们的来历。甲说：“我是坐电梯来的。”乙说：“我是坐大巴来的。”上帝随后指着其中一个女孩问道：“孩子，你是怎么来的？”“我是坐动,0.17893,0.187391,0.110904,0.12242,0.163668,-0.017027,-0.040033
54,45,zh,[泪][泪][泪] //@滑力加01:这个社会是应该多出几个基督山的人物，站出来揭开那些伪君子，还社会正义。  //@贾宝兰:会出现更多的基督山伯爵   //@,0.178696,0.185643,0.091702,0.116274,0.161297,-0.018488,-0.024756
55,28,zh,方济各总算是在把教会往21世纪拽了，早就该这样了。至于那个伯克，教宗和他自己心里都清楚，想捏死他就跟捏死个蚂蚁一样容易，但那么干只会把他捧成“殉道者”，反而成就,0.177492,0.196507,0.103957,0.122019,0.174889,-0.022565,-0.069461
56,24,zh,@CaeLew，我看要不了多久，那些所谓的“礼仪改革”和“神学革新”就得被那个叫“福音派天主教”*的运动给整个吞了。到时候，留给我们的不就只剩下那套天天挂在嘴边,0.200599,0.202161,0.128344,0.128766,0.181515,-0.005116,-0.03434
57,3,zh,说得太到位了。这教会早就瘫了，根子上的人性论就有问题，说白了就是一套反人类的玩意儿。这种僵化最明显的就是他们那个神职圈子，整个就是靠强制独身制和“纯爷们俱乐部”,0.179195,0.199833,0.110365,0.121278,0.166868,-0.00737,-0.05598
58,37,zh,回复@misskuhn:更二的是，拜佛后，同行一小伙子看出我不太高兴，就问我怎么看宗教，好像问到怎么看佛教与基督教之类，我就彻底恼了，说我们不要在这里谈这些吧？,0.145813,0.154391,0.087804,0.065041,0.14638,-0.014512,-0.061322
59,4,zh,妇人死后来到天堂，法官问：你是谁？妇人：我是市长妻子。法官：我没问你的丈夫。妇人：我是教师。法官：我没问你的职业。妇人：我是一名基督教信徒。法官：我没问你的宗教,0.178696,0.192781,0.12721,0.133084,0.173073,0.040171,-0.011425
60,9,zh,鸦片吸多了一天天瞎编乱造，封建迷信，耶稣不是孔子的儿子，我孔子孙子。,0.163356,0.174411,0.094297,0.102886,0.151062,0.000995,-0.051445
61,32,zh,他想“秀”什么给我看，那套东西谁在乎？关键是，教会两千年来传下来的铁律——这不是什么看情况、看人情的狗屁规矩，而是写在教义里，板上钉钉的核心道理——那就是，犯了,0.17574,0.197794,0.120739,0.128128,0.176354,-0.017046,-0.038385
62,1,zh,"绝了，大部分天主教徒居然把票投给特朗普，这简直是在打耶稣的脸。

特朗普浑身都是那股子雄性动物争霸的爹味儿，而基督教的核心教义，恰恰就是要人放下这种东西。“",0.165598,0.169623,0.099406,0.123962,0.154275,-0.02246,-0.040846
63,9,zh,耶稣天天跟“罪人”混在一起，那他本人岂不就是…这帮人的头子？啧啧，简直不敢细想。,0.163672,0.174367,0.105821,0.113752,0.151096,-0.037545,-0.054832
64,12,zh,都说“神配合的，人不可分开”，但明摆着不是所有婚姻都有上帝的祝福。到底怎么走才能复合，得靠夫妻自己在神父的指点下去摸索。搞个“婚姻无效”的声明也许是条路，但多少,0.192589,0.18964,0.119788,0.115017,0.168589,-0.001287,-0.056178
65,4,zh,神父:那个白人小伙紧追我不放就算了，那个紧身衣怪人为什么要套我圈,0.180014,0.18569,0.103686,0.120897,0.18427,-0.011051,-0.059151
66,28,zh,"但愿如此。这事儿我早就盯着了，好几年前就开始了。伯克这老小子已经把自己绕进去了，想摘干净都难。

不过要我说，他就是个自大狂，真把自己当成“清君侧”的忠臣了",0.170849,0.182726,0.080031,0.105254,0.155006,-0.030256,-0.096922
67,20,zh,其实还是很难绷，虽然近代西方宗教改革了，但是在很长一段时间里修女依然是正经形象。(不过据说早就有修女黄文了)至少是保守的形象，怎么突然就谐星化了？但是毕竟凡事总,0.204109,0.205799,0.126552,0.137135,0.182443,0.007609,-0.021683
68,2,zh,呵呵，这帮男的嘴上说得好听，实际上就是想让所有女的闭嘴、当他们的附庸。他们推的那个狗屁“改革”，心里门儿清，不就是为了把教会里所有的权都攥在男的手里吗？一个个都,0.182879,0.175218,0.109665,0.121925,0.159206,-0.03587,-0.064672
69,7,zh,"创世纪那点事儿，本质上就是个神话故事，OK？古人没文化，想给世界起源找个说法而已。神话是神话，你别拿来跟历史和科学混为一谈。

圣经压根儿就不是给你当历史、",0.190942,0.182277,0.107737,0.130376,0.177945,0.006145,-0.037079
70,19,zh,那帮教条主义的所谓基督徒，我看是根本没搞懂耶稣到底在说什么。跟他们讲道理纯属对牛弹琴。脑子里只有一堆死规定，压根儿不知道耶稣来就是为了成全律法，而律法的核心就是,0.177766,0.196679,0.107779,0.101845,0.171572,-0.011503,-0.059669
71,6,zh,"穷逼才去穷教堂。有钱的教会才叫爽，我们怎么做到的？就拿那个叫马西埃尔的娈童神父来说，给受害者的封口费能抠就抠，钱不就来了嘛。
——梵蒂冈",0.173479,0.192099,0.102194,0.124857,0.169164,-0.007211,-0.052379
72,2,zh,"哦，合着教会就是个女身子男脑袋的玩意儿？

但凡读过点神学，就知道基督和教会这“奥秘”压根不是你这种爹味比喻能概括的。人家讲的是肉身分男女，但人性是男女同体",0.188523,0.198381,0.155987,0.157227,0.192885,-0.007199,-0.013308
73,8,zh,我们当然有权说不！凭什么要我们花钱给那些搞变性、搞堕胎的公司买单？要不是公司强制交的医保，里面还非得包括这些乱七八糟的项目，我才不交呢。就算能退出，那也得是我交,0.190914,0.187862,0.122325,0.105991,0.143515,0.012842,-0.057149
74,2,zh,"行吧，你说的这些算你们的“伟大传统”，我认了。但后来那帮人添油加醋搞出来的东西，什么“信仰宝库”之类的，一股子爹味都快溢出屏幕了，这怎么洗？

尤其是天主教",0.190968,0.183225,0.123069,0.145978,0.191025,0.007289,-0.001976
75,39,zh,这帮人就是挂羊头卖狗肉，也配叫基督徒？真正的基督徒该怎么做，他们懂个屁。,0.175995,0.175133,0.109735,0.119527,0.167784,-0.028872,-0.062181
76,2,zh,"说得好。楼里早就有人说了，女司祭、女主教咱们早就有了，只不过是“体制外”的罢了。

我看，咱们这些看透了这种性别歧视和排外糟粕的人，干脆就别跟他们玩了。去支",0.186782,0.177477,0.105225,0.115806,0.168399,-0.032023,-0.042712
77,18,zh,咱们这儿的天主教徒，以前老长时间都融不进去，属于边缘人。现在倒好，总算混出头了，偶尔也能跟大佬们坐一桌吃上饭了。结果有意思的来了，他们一上论坛这种地方，头一件事,0.184269,0.174002,0.109979,0.112606,0.156334,-0.046351,-0.069575
78,14,zh,"基督教搞了两千年，给人类文明添过一块砖吗？纯纯的精神鸦片。

也就西方人还把这玩意儿当个宝。好不容易才从教会那种千年愚民统治里爬出来，现在居然还有人想开倒车",0.177602,0.172407,0.098531,0.104057,0.160638,-0.028305,-0.059407
79,44,zh,方济各这人，对外一套，对内一套，玩得真溜。在外面开记者会、满世界跑的时候，嘴上全是“福音”“进步”，逼着别人改变。结果一回到梵蒂冈自己那一亩三分地，骨子里比谁都,0.195956,0.198429,0.087747,0.109878,0.174827,-0.00054,-0.070072
80,4,zh,他认为上帝姓“特”,0.193595,0.206367,0.132179,0.146035,0.203075,-0.015499,-0.035728
81,30,zh,国内的基督教这个词被抢注了，特指中特誓,0.179965,0.18906,0.116797,0.132635,0.176093,-0.026825,-0.030806
82,37,zh,啧啧 看之前的微博，全是口业啊。我就不明白了，怎么遇见的天主或基督教徒都热心谦和忍耐，佛教徒中却易出戾气之人。戒律不看的么？,0.169288,0.20627,0.130513,0.110124,0.180603,0.000151,-0.030813
83,44,zh,"教皇方济各这老哥上台四年，我也来锐评一下。

黑点嘛，就是这人嘴上没个把门的。即兴讲话的时候就喜欢信口开河，东拉西扯，时不时说出点浑话，回头还得自己（或者手",0.198169,0.200326,0.109918,0.135903,0.174358,0.002995,-0.03917
84,2,zh,就因为耶稣是个男的，女人就没资格当神父了？这逻辑在哪？都什么年代了还玩这套，笑死。,0.171976,0.167222,0.110123,0.122081,0.178118,-0.009594,-0.046868
85,22,zh,要我说她才是头号大祭司，毕竟是她亲身献祭，才搞出了耶稣这么个玩意儿。,0.19434,0.202161,0.134976,0.152554,0.209885,0.001207,-0.019986
86,9,zh,耶稣的孙子被我校长杀了。难怪我们学校评不上985,0.145028,0.176978,0.090343,0.115344,0.155981,-0.015228,-0.043013
87,1,zh,她不过是她那个邪教教主老板搞出来的玩意儿。当初投票给他的人，现在傻眼了吧？活该。,0.183108,0.183664,0.090564,0.131894,0.168853,-0.024025,-0.099309
88,22,zh,它最后一句“天主教信圣母玛利亚”没绷住,0.207062,0.203098,0.128168,0.135615,0.196699,0.017677,-0.030984
89,30,zh,东正也是基督里的啊,0.186666,0.202092,0.133764,0.139668,0.194563,0.003006,0.013829
90,9,zh,耶稣是洪秀全的哥哥而已，问问洪秀全看他哥能跟孔子比不,0.205668,0.215247,0.155043,0.166061,0.220776,-0.011648,-0.005529
91,21,zh,可不是嘛。在我看来，现在哪个教会没资源去好好传讲基督？我看我们很多时候就是把这些资源给滥用了，都用在教会之间互相攀比上了，比谁的场子大，比谁的活动搞得花哨。说白,0.183062,0.16889,0.108206,0.129289,0.165225,-0.057909,-0.021919
92,2,zh,"教会是所有信徒——不管男女——的，可不是上面那帮男的老爷们的私产。

你拿所谓的“教会教导”和“法规”说事，不就是想让人盲从，把人当傻子耍吗？

神父必",0.176557,0.177286,0.103193,0.131641,0.179257,-0.007433,-0.046816
93,3,zh,可不是么。现在的教会为了迎合那套政治正确，连“同性恋是罪”这种话都不敢说了？,0.172755,0.18219,0.10925,0.097145,0.157548,0.001458,-0.02309
94,9,zh,格里菲斯这么坏对应不了耶稣吧,0.15734,0.169062,0.085807,0.100043,0.153104,-0.048268,-0.072821
95,6,zh,"楼主说到点子上了。

说白了，要是连主教这种级别的人，都得靠别人来告诉他们猥亵儿童是多么丧尽天良，还需要专门“培训”他们怎么“处理”这种事，那这教会的问题就",0.161147,0.180705,0.089408,0.126339,0.139193,-0.019096,-0.059034
96,17,zh,"小学生吧？还搁那儿自创什么奇葩词呢？
讨论就好好讨论，非要整天发明这种词，显得你众人皆醉我独醒是吧？
一天到晚说信教的嘴臭，你自己不也天天逮谁咬谁？
劝你",0.150034,0.166918,0.089104,0.098405,0.126787,-0.001062,-0.069752
97,3,zh,圣经里谴责异性恋通奸的地方，怕是得有百八十处吧。我就一直搞不懂，为什么那帮保守天主教徒，放着满大街出轨的直男不去管，偏偏就对男同性恋的灵魂那么上心？管不过来了是,0.161602,0.177654,0.077168,0.082831,0.142311,-0.015065,-0.051441
98,9,zh,耶稣的忌日是不是钉洞忌,0.152149,0.170806,0.085226,0.095638,0.15666,-0.026537,-0.033499
99,20,zh,你听说过泰山姑子善坐莲吗，中世纪有些不大正经的修道院确实会有类似业务,0.19907,0.18179,0.112392,0.132973,0.183009,-0.003029,-0.046119
100,4,zh,“上帝…………的人”,0.143285,0.150428,0.098054,0.091811,0.15041,-0.020604,-0.033994
101,3,zh,教会那套对性的看法有多病态，多扭曲，还天天给信徒洗脑硬要他们遵守，真的可悲。也难怪LGBT群体会跟他们死磕到底。多少人就是被这套“教诲”给害了，吃了无数没必要的,0.155635,0.165574,0.112814,0.093483,0.139903,-0.011118,-0.060297
102,42,zh,这个叫随光之人的阿米念异端假福音片子！只要你散布异端邪说，就别怪我们唯二对你不客气了！这个主贴是我弟兄单说凶言驳斥你这个阿米念异端的阿!我们唯二作为基督徒乃是同,0.150695,0.146076,0.073715,0.069152,0.148926,-0.022157,-0.096806
103,3,zh,这事儿纯粹一笔糊涂账。一边是信徒的“权利”，另一边是LGBT群体的权利。很多教徒脑子里就一个“罪”字，天天挂嘴边，啥事都绕着这个转。他们对待LGBT群体的方式，,0.170006,0.182734,0.093856,0.090204,0.172064,-0.01312,-0.049611
104,22,zh,还真是，讨人厌的所谓圣母婊都是蠢而不自知、慷他人之慨自私自利的贵物,0.18451,0.160723,0.091515,0.089283,0.151043,-0.006472,-0.084069
105,10,zh,你看到的不是圣经，是不懂圣经的人写的乱七八糟的文章,0.160525,0.161304,0.091341,0.099848,0.150055,-0.007816,-0.062798
106,21,zh,得，话是这么说，人各有活法……但我们这个小圈子吧，就喜欢抱团取暖，毕竟都是受过洗的，“主内家人”嘛，自带光环。你要不是我们圈里的？那必须得拉你入伙啊……你懂的，,0.198285,0.183991,0.141116,0.131385,0.177414,-0.036468,-0.018892
107,27,zh,不管你爱不爱听，话就撂这儿了：有些人对同性恋这事儿，从根儿上就有自己的一套看法，这套看法是基于他们的信仰和传统的。很多教义、规矩里都白纸黑字写着。这是个客观事实,0.185693,0.188763,0.126321,0.116064,0.153573,0.020303,-0.025858
108,4,zh,魔鬼存在於��之中，上帝也是。,0.095274,0.121485,0.059788,0.080497,0.101186,-0.01196,-0.044508
109,2,zh,简直是胡闹，教会哪来的权力任命女的当神父？就那几个脑子不清醒的邪门主教，自顾自在那儿演戏，搞个仪式就算数了？那女的也配叫神父？照这么说，我还能是玉皇大帝呢。,0.198691,0.197167,0.125615,0.161297,0.205918,-0.031733,-0.076394
110,7,zh,达尔文那套东西，早就被来来回回证明了无数遍了。当然，细节上他可能有些小偏差，但这理论的根基稳得一批。但凡是跟已知事实对不上的所谓“信仰”，那该改的就得是你的“信,0.166676,0.155634,0.066548,0.078445,0.144124,-0.019202,-0.084341
111,5,zh,"得了吧。

弥撒是让我们亲眼见证自身的救赎。

这才是弥撒的意义。所以它根本不是什么“礼拜”或者“家庭日活动”。

我们必须用上帝的眼光，看得更远、",0.196915,0.220903,0.154103,0.133373,0.193662,-0.004038,-0.028156
112,26,zh,我看这神父也是风韵犹存啊,0.206118,0.219596,0.168236,0.170754,0.21622,0.035067,0.021312
113,14,zh,"“高层一堆信教的”… 这说明什么？

宗教一魔怔，政治就跟着乱套。宗教本来是塑造价值观的东西，结果看看当今这世界乱成什么样，就知道这些所谓的“信仰”有多贫乏",0.197999,0.201845,0.120602,0.147525,0.177737,-0.010227,-0.045732
114,12,zh,"文章里说什么“……努力活出基督徒婚姻家庭的理想，这是教会神学家的首要任务……”

看到这儿就笑了。开口闭口“基督徒”，这词用得可真妙啊。

天主教那套所",0.200234,0.201267,0.143244,0.14342,0.194625,0.011788,0.004612
115,28,zh,首先，纽约时报那玩意儿，屁股本来就是歪的，铁了心要黑天主教，为了带节奏什么瞎话都敢编。伯克枢机是传统派，而方济各天天被那帮白左捧臭脚，纽时喜欢谁还用问？再说伯克,0.177535,0.174279,0.069777,0.104163,0.156257,-0.039732,-0.065984
116,1,zh,那帮挺川普的福音派，真是脸都不要了。还天天把上帝挂嘴边，简直是给基督徒这个词抹黑。,0.17669,0.173764,0.099721,0.099884,0.167043,-0.026508,-0.070892
117,38,zh,基督犹太伊斯兰回都不是正道势力的,0.17123,0.169217,0.079587,0.087683,0.175283,-0.020477,-0.05614
118,29,zh,额第耶稣呀,0.175766,0.184484,0.121963,0.141901,0.180295,0.006932,-0.00965
119,2,zh,"现在的毛病在哪？就是没人觉得当个“神职人员”是啥天职了。说白了，就是一男的，搭上一辈子，全职投入，还得守身如玉当光棍。

按我们的规矩，你要想被“祝圣”当上",0.192939,0.196584,0.150146,0.160864,0.199239,-0.015961,-0.01818
120,35,zh,"“我寻思基督徒都...”？呵呵，你再多说两句？

一边连自己交的税用来救济穷人都不愿意，一边又天天把“爱”和“奉献”挂在嘴上，装什么大善人？你们那套玩意儿自",0.196869,0.179412,0.127827,0.121077,0.169662,-0.022416,-0.013491
121,11,zh,搞没搞错啊，现在信耶稣那帮人，再怎么说，也没天天喊着上帝的口号去搞人体炸弹吧？,0.169466,0.175942,0.094132,0.099337,0.162331,-0.023831,-0.079046
122,22,zh,现在一说圣母，基本都指圣母婊,0.172649,0.181929,0.103329,0.120941,0.155676,-0.016093,-0.057439
